Search Term,restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,73
2020-02-01,75
2020-02-08,84
2020-02-15,80
2020-02-22,75
2020-02-29,70
2020-03-07,61
2020-03-14,58
2020-03-21,42
2020-03-28,43
2020-04-04,44
2020-04-11,46
2020-04-18,46
2020-04-25,49
2020-05-02,55
2020-05-09,59
2020-05-16,54
2020-05-23,55
2020-05-30,60
2020-06-06,66
2020-06-13,68
2020-06-20,74
2020-06-27,71
2020-07-04,64
2020-07-11,68
2020-07-18,68
2020-07-25,67
2020-08-01,67
2020-08-08,66
2020-08-15,69
2020-08-22,66
2020-08-29,69
2020-09-05,67
2020-09-12,64
2020-09-19,66
2020-09-26,65
2020-10-03,67
2020-10-10,71
2020-10-17,72
2020-10-24,63
2020-10-31,52
2020-11-07,66
2020-11-14,63
2020-11-21,60
2020-11-28,56
2020-12-05,60
2020-12-12,59
2020-12-19,66
2020-12-26,75
2021-01-02,61
2021-01-09,63
2021-01-16,63
2021-01-23,67
2021-01-30,68
2021-02-06,70
2021-02-13,74
2021-02-20,74
2021-02-27,73
2021-03-06,73
2021-03-13,79
2021-03-20,82
2021-03-27,84
2021-04-03,83
2021-04-10,82
2021-04-17,83
2021-04-24,84
2021-05-01,92
2021-05-08,87
2021-05-15,86
2021-05-22,89
2021-05-29,87
2021-06-05,86
2021-06-12,96
2021-06-19,95
2021-06-26,91
2021-07-03,95
2021-07-10,98
2021-07-17,97
2021-07-24,99
2021-07-31,93
2021-08-07,90
2021-08-14,87
2021-08-21,84
2021-08-28,82
2021-09-04,87
2021-09-11,83
2021-09-18,82
2021-09-25,87
2021-10-02,84
2021-10-09,86
2021-10-16,82
2021-10-23,78
2021-10-30,84
2021-11-06,87
2021-11-13,84
2021-11-20,82
2021-11-27,73
2021-12-04,82
2021-12-11,82
2021-12-18,87
2021-12-25,92
2022-01-01,76
2022-01-08,75
2022-01-15,74
2022-01-22,73
2022-01-29,80
2022-02-05,92
2022-02-12,94
2022-02-19,92
2022-02-26,89
2022-03-05,90
2022-03-12,98
2022-03-19,93
2022-03-26,88
2022-04-02,89
2022-04-09,89
2022-04-16,86
2022-04-23,91
2022-04-30,95
2022-05-07,92
2022-05-14,84
2022-05-21,88
2022-05-28,90
2022-06-04,88
2022-06-11,92
2022-06-18,100
2022-06-25,95
2022-07-02,96
2022-07-09,97
2022-07-16,98
2022-07-23,98
2022-07-30,95
2022-08-06,93
2022-08-13,93
2022-08-20,91
2022-08-27,84
2022-09-03,88
2022-09-10,78
2022-09-17,81
2022-09-24,81
2022-10-01,83
2022-10-08,89
2022-10-15,82
2022-10-22,83
2022-10-29,78
2022-11-05,77
2022-11-12,74
2022-11-19,75
2022-11-26,72
2022-12-03,75
2022-12-10,77
2022-12-17,81
2022-12-24,97
2022-12-31,82
2023-01-07,83
2023-01-14,90
2023-01-21,83
2023-01-28,84
2023-02-04,85
2023-02-11,89
2023-02-18,90
2023-02-25,85
2023-03-04,85
2023-03-11,88
2023-03-18,84
2023-03-25,86
2023-04-01,83
2023-04-08,85
2023-04-15,82
2023-04-22,84
2023-04-29,85
2023-05-06,90
2023-05-13,90
2023-05-20,87
2023-05-27,87
2023-06-03,86
2023-06-10,93
2023-06-17,88
2023-06-24,91
2023-07-01,97
2023-07-08,89
2023-07-15,89
2023-07-22,94
2023-07-29,92
2023-08-05,86
2023-08-12,87
2023-08-19,83
2023-08-26,79
2023-09-02,84
2023-09-09,74
2023-09-16,75
2023-09-23,75
2023-09-30,79
2023-10-07,78
2023-10-14,79
2023-10-21,78
2023-10-28,75
2023-11-04,79
2023-11-11,79
2023-11-18,78
2023-11-25,75
2023-12-02,79
2023-12-09,77
2023-12-16,79
2023-12-23,89
2023-12-30,81
2024-01-06,71
2024-01-13,77
2024-01-20,75
2024-01-27,77
2024-02-03,76
2024-02-10,82
2024-02-17,82
2024-02-24,80
2024-03-02,75
2024-03-09,81
2024-03-16,77
2024-03-23,84
2024-03-30,78
2024-04-06,76
2024-04-13,78
2024-04-20,78
2024-04-27,79
2024-05-04,82
2024-05-11,81
2024-05-18,78
2024-05-25,82
