Search Term,restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-27,69
2004-01-03,64
2004-01-10,66
2004-01-17,67
2004-01-24,63
2004-01-31,71
2004-02-07,100
2004-02-14,67
2004-02-21,64
2004-02-28,64
2004-03-06,69
2004-03-13,66
2004-03-20,70
2004-03-27,64
2004-04-03,63
2004-04-10,68
2004-04-17,68
2004-04-24,63
2004-05-01,74
2004-05-08,63
2004-05-15,64
2004-05-22,65
2004-05-29,64
2004-06-05,67
2004-06-12,68
2004-06-19,68
2004-06-26,66
2004-07-03,75
2004-07-10,71
2004-07-17,68
2004-07-24,69
2004-07-31,64
2004-08-07,67
2004-08-14,63
2004-08-21,61
2004-08-28,64
2004-09-04,61
2004-09-11,59
2004-09-18,62
2004-09-25,79
2004-10-02,60
2004-10-09,68
2004-10-16,64
2004-10-23,61
2004-10-30,63
2004-11-06,69
2004-11-13,64
2004-11-20,59
2004-11-27,60
2004-12-04,60
2004-12-11,65
2004-12-18,70
2004-12-25,73
2005-01-01,56
2005-01-08,64
2005-01-15,64
2005-01-22,66
2005-01-29,62
2005-02-05,75
2005-02-12,75
2005-02-19,62
2005-02-26,61
2005-03-05,64
2005-03-12,67
2005-03-19,66
2005-03-26,63
2005-04-02,72
2005-04-09,61
2005-04-16,66
2005-04-23,65
2005-04-30,75
2005-05-07,67
2005-05-14,64
2005-05-21,61
2005-05-28,63
2005-06-04,61
2005-06-11,69
2005-06-18,68
2005-06-25,62
2005-07-02,62
2005-07-09,66
2005-07-16,70
2005-07-23,70
2005-07-30,67
2005-08-06,67
2005-08-13,77
2005-08-20,62
2005-08-27,54
2005-09-03,59
2005-09-10,58
2005-09-17,58
2005-09-24,63
2005-10-01,66
2005-10-08,65
2005-10-15,65
2005-10-22,60
2005-10-29,62
2005-11-05,62
2005-11-12,64
2005-11-19,57
2005-11-26,58
2005-12-03,62
2005-12-10,65
2005-12-17,68
2005-12-24,77
2005-12-31,58
2006-01-07,69
2006-01-14,70
2006-01-21,69
2006-01-28,66
2006-02-04,75
2006-02-11,85
2006-02-18,68
2006-02-25,63
2006-03-04,67
2006-03-11,71
2006-03-18,71
2006-03-25,66
2006-04-01,69
2006-04-08,65
2006-04-15,66
2006-04-22,68
2006-04-29,71
2006-05-06,78
2006-05-13,77
2006-05-20,65
2006-05-27,68
2006-06-03,70
2006-06-10,73
2006-06-17,71
2006-06-24,71
2006-07-01,72
2006-07-08,73
2006-07-15,77
2006-07-22,75
2006-07-29,75
2006-08-05,76
2006-08-12,71
2006-08-19,69
2006-08-26,65
2006-09-02,66
2006-09-09,66
2006-09-16,65
2006-09-23,69
2006-09-30,71
2006-10-07,70
2006-10-14,74
2006-10-21,68
2006-10-28,70
2006-11-04,72
2006-11-11,67
2006-11-18,68
2006-11-25,61
2006-12-02,67
2006-12-09,71
2006-12-16,72
2006-12-23,79
2006-12-30,66
2007-01-06,72
2007-01-13,71
2007-01-20,72
2007-01-27,72
2007-02-03,73
2007-02-10,89
2007-02-17,67
2007-02-24,66
2007-03-03,70
2007-03-10,67
2007-03-17,70
2007-03-24,71
2007-03-31,73
2007-04-07,70
2007-04-14,70
2007-04-21,70
2007-04-28,74
2007-05-05,82
2007-05-12,74
2007-05-19,72
2007-05-26,75
2007-06-02,71
2007-06-09,77
2007-06-16,75
2007-06-23,76
2007-06-30,76
2007-07-07,77
2007-07-14,80
2007-07-21,78
2007-07-28,75
2007-08-04,78
2007-08-11,81
2007-08-18,76
2007-08-25,71
2007-09-01,68
2007-09-08,67
2007-09-15,75
2007-09-22,69
2007-09-29,71
2007-10-06,73
2007-10-13,73
2007-10-20,66
2007-10-27,64
2007-11-03,70
2007-11-10,70
2007-11-17,64
2007-11-24,62
2007-12-01,63
2007-12-08,69
2007-12-15,70
2007-12-22,80
2007-12-29,78
2008-01-05,69
2008-01-12,70
2008-01-19,67
2008-01-26,67
2008-02-02,72
2008-02-09,94
2008-02-16,72
2008-02-23,69
2008-03-01,71
2008-03-08,72
2008-03-15,71
2008-03-22,70
2008-03-29,65
2008-04-05,70
2008-04-12,67
2008-04-19,68
2008-04-26,68
2008-05-03,76
2008-05-10,69
2008-05-17,65
2008-05-24,69
2008-05-31,68
2008-06-07,74
2008-06-14,73
2008-06-21,69
2008-06-28,69
2008-07-05,73
2008-07-12,72
2008-07-19,74
2008-07-26,74
2008-08-02,71
2008-08-09,67
2008-08-16,67
2008-08-23,67
2008-08-30,65
2008-09-06,71
2008-09-13,67
2008-09-20,67
2008-09-27,64
2008-10-04,68
2008-10-11,68
2008-10-18,69
2008-10-25,62
2008-11-01,66
2008-11-08,69
2008-11-15,68
2008-11-22,61
2008-11-29,64
2008-12-06,66
2008-12-13,65
2008-12-20,76
2008-12-27,84
