,Search Term,restaurants
0,2003-12-27,28.450700861940593
1,2004-01-03,26.3890558719449
2,2004-01-10,27.213713867943174
3,2004-01-17,27.626042865942313
4,2004-01-24,25.97672687394576
5,2004-01-31,29.275358857938873
6,2004-02-07,41.23289979991391
7,2004-02-14,27.626042865942313
8,2004-02-21,26.3890558719449
9,2004-02-28,26.3890558719449
10,2004-03-06,28.450700861940593
11,2004-03-13,27.213713867943174
12,2004-03-20,28.863029859939733
13,2004-03-27,26.3890558719449
14,2004-04-03,25.97672687394576
15,2004-04-10,28.038371863941453
16,2004-04-17,28.038371863941453
17,2004-04-24,25.97672687394576
18,2004-05-01,30.51234585193629
19,2004-05-08,25.97672687394576
20,2004-05-15,26.3890558719449
21,2004-05-22,26.80138486994404
22,2004-05-29,26.3890558719449
23,2004-06-05,27.626042865942313
24,2004-06-12,28.038371863941453
25,2004-06-19,28.038371863941453
26,2004-06-26,27.213713867943174
27,2004-07-03,30.924674849935425
28,2004-07-10,29.275358857938873
29,2004-07-17,28.038371863941453
30,2004-07-24,28.450700861940593
31,2004-07-31,26.3890558719449
32,2004-08-07,27.626042865942313
33,2004-08-14,25.97672687394576
34,2004-08-21,25.15206887794748
35,2004-08-28,26.3890558719449
36,2004-09-04,25.15206887794748
37,2004-09-11,24.327410881949206
38,2004-09-18,25.56439787594662
39,2004-09-25,32.57399084193199
40,2004-10-02,24.739739879948342
41,2004-10-09,28.038371863941453
42,2004-10-16,26.3890558719449
43,2004-10-23,25.15206887794748
44,2004-10-30,25.97672687394576
45,2004-11-06,28.450700861940593
46,2004-11-13,26.3890558719449
47,2004-11-20,24.327410881949206
48,2004-11-27,24.739739879948342
49,2004-12-04,24.739739879948342
50,2004-12-11,26.80138486994404
51,2004-12-18,28.863029859939733
52,2004-12-25,30.10001685393715
53,2005-01-01,23.090423887951786
54,2005-01-08,26.3890558719449
55,2005-01-15,26.3890558719449
56,2005-01-22,27.213713867943174
57,2005-01-29,25.56439787594662
58,2005-02-05,30.924674849935425
59,2005-02-12,30.924674849935425
60,2005-02-19,25.56439787594662
61,2005-02-26,25.15206887794748
62,2005-03-05,26.3890558719449
63,2005-03-12,27.626042865942313
64,2005-03-19,27.213713867943174
65,2005-03-26,25.97672687394576
66,2005-04-02,29.687687855938012
67,2005-04-09,25.15206887794748
68,2005-04-16,27.213713867943174
69,2005-04-23,26.80138486994404
70,2005-04-30,30.924674849935425
71,2005-05-07,27.626042865942313
72,2005-05-14,26.3890558719449
73,2005-05-21,25.15206887794748
74,2005-05-28,25.97672687394576
75,2005-06-04,25.15206887794748
76,2005-06-11,28.450700861940593
77,2005-06-18,28.038371863941453
78,2005-06-25,25.56439787594662
