,Search Term,restaurant
0,2003-12-27,67.64588921310443
1,2004-01-03,58.97333931398847
2,2004-01-10,65.04412424336964
3,2004-01-17,65.91137923328122
4,2004-01-24,65.91137923328122
5,2004-01-31,65.04412424336964
6,2004-02-07,86.72549899115951
7,2004-02-14,62.44235927363485
8,2004-02-21,58.97333931398847
9,2004-02-28,57.238829334165274
10,2004-03-06,65.91137923328122
11,2004-03-13,58.10608432407688
12,2004-03-20,63.30961426354644
13,2004-03-27,58.10608432407688
14,2004-04-03,57.238829334165274
15,2004-04-10,59.84059430390006
16,2004-04-17,65.91137923328122
17,2004-04-24,62.44235927363485
18,2004-05-01,68.51314420301601
19,2004-05-08,60.707849293811655
20,2004-05-15,60.707849293811655
21,2004-05-22,60.707849293811655
22,2004-05-29,61.575104283723256
23,2004-06-05,64.17686925345804
24,2004-06-12,67.64588921310443
25,2004-06-19,70.2476541828392
26,2004-06-26,64.17686925345804
27,2004-07-03,62.44235927363485
28,2004-07-10,66.77863422319282
29,2004-07-17,68.51314420301601
30,2004-07-24,71.1149091727508
31,2004-07-31,65.04412424336964
32,2004-08-07,69.38039919292761
33,2004-08-14,62.44235927363485
34,2004-08-21,62.44235927363485
35,2004-08-28,58.97333931398847
36,2004-09-04,52.902554384607306
37,2004-09-11,58.97333931398847
38,2004-09-18,61.575104283723256
39,2004-09-25,63.30961426354644
40,2004-10-02,60.707849293811655
41,2004-10-09,60.707849293811655
42,2004-10-16,59.84059430390006
43,2004-10-23,53.76980937451889
44,2004-10-30,59.84059430390006
45,2004-11-06,63.30961426354644
46,2004-11-13,63.30961426354644
47,2004-11-20,57.238829334165274
48,2004-11-27,65.04412424336964
49,2004-12-04,64.17686925345804
50,2004-12-11,67.64588921310443
51,2004-12-18,68.51314420301601
52,2004-12-25,74.58392913239717
53,2005-01-01,60.707849293811655
54,2005-01-08,74.58392913239717
55,2005-01-15,66.77863422319282
56,2005-01-22,71.1149091727508
57,2005-01-29,68.51314420301601
58,2005-02-05,75.45118412230877
59,2005-02-12,72.84941915257399
60,2005-02-19,62.44235927363485
61,2005-02-26,60.707849293811655
62,2005-03-05,66.77863422319282
63,2005-03-12,66.77863422319282
64,2005-03-19,68.51314420301601
65,2005-03-26,65.91137923328122
66,2005-04-02,65.91137923328122
67,2005-04-09,64.17686925345804
68,2005-04-16,66.77863422319282
69,2005-04-23,70.2476541828392
70,2005-04-30,73.71667414248559
71,2005-05-07,68.51314420301601
72,2005-05-14,66.77863422319282
73,2005-05-21,63.30961426354644
74,2005-05-28,63.30961426354644
75,2005-06-04,65.91137923328122
76,2005-06-11,70.2476541828392
77,2005-06-18,74.58392913239717
78,2005-06-25,67.64588921310443
79,2005-07-02,66.77863422319282
80,2005-07-09,66.77863422319282
81,2005-07-16,71.9821641626624
82,2005-07-23,71.1149091727508
83,2005-07-30,74.58392913239717
84,2005-08-06,72.84941915257399
85,2005-08-13,70.2476541828392
86,2005-08-20,66.77863422319282
87,2005-08-27,59.84059430390006
88,2005-09-03,61.575104283723256
89,2005-09-10,63.30961426354644
90,2005-09-17,63.30961426354644
91,2005-09-24,65.04412424336964
92,2005-10-01,65.04412424336964
93,2005-10-08,69.38039919292761
94,2005-10-15,65.04412424336964
95,2005-10-22,63.30961426354644
96,2005-10-29,65.04412424336964
97,2005-11-05,69.38039919292761
98,2005-11-12,67.64588921310443
99,2005-11-19,59.84059430390006
100,2005-11-26,61.575104283723256
101,2005-12-03,64.17686925345804
102,2005-12-10,66.77863422319282
103,2005-12-17,70.2476541828392
104,2005-12-24,78.92020408195515
105,2005-12-31,66.77863422319282
106,2006-01-07,71.9821641626624
107,2006-01-14,70.2476541828392
108,2006-01-21,74.58392913239717
109,2006-01-28,71.9821641626624
110,2006-02-04,69.38039919292761
111,2006-02-11,81.52196905168994
112,2006-02-18,68.51314420301601
113,2006-02-25,66.77863422319282
114,2006-03-04,65.04412424336964
115,2006-03-11,65.04412424336964
116,2006-03-18,70.2476541828392
117,2006-03-25,65.04412424336964
118,2006-04-01,66.77863422319282
119,2006-04-08,63.30961426354644
120,2006-04-15,66.77863422319282
121,2006-04-22,64.17686925345804
122,2006-04-29,65.04412424336964
123,2006-05-06,73.71667414248559
124,2006-05-13,71.1149091727508
125,2006-05-20,67.64588921310443
126,2006-05-27,65.04412424336964
127,2006-06-03,65.91137923328122
128,2006-06-10,70.2476541828392
129,2006-06-17,71.9821641626624
130,2006-06-24,67.64588921310443
131,2006-07-01,66.77863422319282
132,2006-07-08,71.9821641626624
133,2006-07-15,72.84941915257399
134,2006-07-22,71.1149091727508
135,2006-07-29,67.64588921310443
136,2006-08-05,71.9821641626624
137,2006-08-12,72.84941915257399
138,2006-08-19,70.2476541828392
139,2006-08-26,63.30961426354644
140,2006-09-02,63.30961426354644
141,2006-09-09,65.04412424336964
142,2006-09-16,66.77863422319282
143,2006-09-23,67.64588921310443
144,2006-09-30,67.64588921310443
145,2006-10-07,66.77863422319282
146,2006-10-14,73.71667414248559
147,2006-10-21,69.38039919292761
148,2006-10-28,69.38039919292761
149,2006-11-04,71.1149091727508
150,2006-11-11,70.2476541828392
151,2006-11-18,64.17686925345804
152,2006-11-25,64.17686925345804
153,2006-12-02,69.38039919292761
154,2006-12-09,73.71667414248559
155,2006-12-16,76.31843911222037
156,2006-12-23,79.78745907186675
157,2006-12-30,74.58392913239717
158,2007-01-06,75.45118412230877
159,2007-01-13,70.2476541828392
160,2007-01-20,75.45118412230877
161,2007-01-27,72.84941915257399
162,2007-02-03,73.71667414248559
163,2007-02-10,84.99098901133632
