,Search Term,diet plan
0,2003-12-27,15.71542279747058
1,2004-01-03,10.476948531647054
2,2004-01-10,10.695218292723032
3,2004-01-17,11.350027575950973
4,2004-01-24,9.603869487343133
5,2004-01-31,9.38559972626715
6,2004-02-07,8.51252068196323
7,2004-02-14,8.07598115981127
8,2004-02-21,8.949060204115192
9,2004-02-28,10.040409009495093
10,2004-03-06,7.85771139873529
11,2004-03-13,9.16732996519117
12,2004-03-20,10.913488053799012
13,2004-03-27,7.42117187658333
14,2004-04-03,6.984632354431368
15,2004-04-10,9.822139248419111
16,2004-04-17,12.441376381330874
17,2004-04-24,10.695218292723032
18,2004-05-01,8.73079044303921
19,2004-05-08,9.822139248419111
20,2004-05-15,7.42117187658333
21,2004-05-22,9.822139248419111
22,2004-05-29,8.51252068196323
23,2004-06-05,9.603869487343133
24,2004-06-12,7.639441637659308
25,2004-06-19,7.85771139873529
26,2004-06-26,7.202902115507349
27,2004-07-03,9.38559972626715
28,2004-07-10,9.603869487343133
29,2004-07-17,8.07598115981127
30,2004-07-24,6.329823071203427
31,2004-07-31,8.29425092088725
32,2004-08-07,6.766362593355388
33,2004-08-14,6.111553310127447
34,2004-08-21,7.202902115507349
35,2004-08-28,5.6750137879754865
36,2004-09-04,6.329823071203427
37,2004-09-11,5.238474265823527
38,2004-09-18,6.329823071203427
39,2004-09-25,7.639441637659308
40,2004-10-02,6.766362593355388
41,2004-10-09,4.583664982595585
42,2004-10-16,7.202902115507349
43,2004-10-23,8.949060204115192
44,2004-10-30,6.111553310127447
45,2004-11-06,11.350027575950973
46,2004-11-13,7.42117187658333
47,2004-11-20,5.238474265823527
48,2004-11-27,5.893283549051468
49,2004-12-04,5.893283549051468
50,2004-12-11,3.710585938291665
51,2004-12-18,6.111553310127447
52,2004-12-25,11.786567098102935
53,2005-01-01,13.750994947786758
54,2005-01-08,8.73079044303921
55,2005-01-15,10.695218292723032
56,2005-01-22,8.07598115981127
57,2005-01-29,6.984632354431368
58,2005-02-05,7.42117187658333
59,2005-02-12,6.984632354431368
60,2005-02-19,9.38559972626715
61,2005-02-26,8.73079044303921
62,2005-03-05,7.85771139873529
63,2005-03-12,10.258678770571073
64,2005-03-19,9.16732996519117
65,2005-03-26,10.476948531647054
66,2005-04-02,8.73079044303921
67,2005-04-09,10.040409009495093
68,2005-04-16,7.85771139873529
69,2005-04-23,8.73079044303921
70,2005-04-30,7.202902115507349
71,2005-05-07,7.202902115507349
72,2005-05-14,8.51252068196323
73,2005-05-21,8.29425092088725
74,2005-05-28,8.73079044303921
75,2005-06-04,8.73079044303921
76,2005-06-11,8.51252068196323
77,2005-06-18,7.639441637659308
78,2005-06-25,7.85771139873529
79,2005-07-02,7.639441637659308
80,2005-07-09,7.85771139873529
81,2005-07-16,9.38559972626715
82,2005-07-23,8.73079044303921
83,2005-07-30,10.040409009495093
84,2005-08-06,6.329823071203427
85,2005-08-13,7.639441637659308
86,2005-08-20,5.238474265823527
87,2005-08-27,5.0202045047475465
88,2005-09-03,6.111553310127447
89,2005-09-10,7.42117187658333
90,2005-09-17,8.29425092088725
91,2005-09-24,8.51252068196323
92,2005-10-01,5.456744026899506
93,2005-10-08,7.42117187658333
94,2005-10-15,6.111553310127447
95,2005-10-22,7.42117187658333
96,2005-10-29,6.984632354431368
97,2005-11-05,6.766362593355388
98,2005-11-12,6.984632354431368
99,2005-11-19,5.893283549051468
100,2005-11-26,6.766362593355388
101,2005-12-03,5.893283549051468
102,2005-12-10,4.801934743671566
103,2005-12-17,4.801934743671566
104,2005-12-24,10.040409009495093
105,2005-12-31,13.969264708862736
106,2006-01-07,10.476948531647054
107,2006-01-14,10.476948531647054
108,2006-01-21,9.16732996519117
109,2006-01-28,7.42117187658333
110,2006-02-04,8.29425092088725
111,2006-02-11,5.893283549051468
112,2006-02-18,8.07598115981127
113,2006-02-25,7.639441637659308
114,2006-03-04,8.29425092088725
115,2006-03-11,6.548092832279408
116,2006-03-18,8.949060204115192
117,2006-03-25,9.603869487343133
118,2006-04-01,7.639441637659308
119,2006-04-08,7.202902115507349
120,2006-04-15,6.984632354431368
121,2006-04-22,8.51252068196323
122,2006-04-29,9.38559972626715
123,2006-05-06,7.42117187658333
124,2006-05-13,7.85771139873529
125,2006-05-20,6.548092832279408
126,2006-05-27,9.38559972626715
127,2006-06-03,6.984632354431368
128,2006-06-10,7.42117187658333
129,2006-06-17,6.766362593355388
130,2006-06-24,6.984632354431368
131,2006-07-01,7.202902115507349
132,2006-07-08,8.07598115981127
133,2006-07-15,7.85771139873529
134,2006-07-22,6.984632354431368
135,2006-07-29,7.639441637659308
136,2006-08-05,6.984632354431368
137,2006-08-12,6.548092832279408
138,2006-08-19,7.85771139873529
139,2006-08-26,5.6750137879754865
140,2006-09-02,7.85771139873529
141,2006-09-09,5.456744026899506
142,2006-09-16,7.85771139873529
143,2006-09-23,7.639441637659308
144,2006-09-30,6.548092832279408
145,2006-10-07,8.73079044303921
146,2006-10-14,6.766362593355388
147,2006-10-21,6.766362593355388
148,2006-10-28,6.766362593355388
149,2006-11-04,8.07598115981127
150,2006-11-11,8.07598115981127
151,2006-11-18,5.6750137879754865
152,2006-11-25,7.639441637659308
153,2006-12-02,6.111553310127447
154,2006-12-09,5.6750137879754865
155,2006-12-16,4.801934743671566
156,2006-12-23,8.949060204115192
157,2006-12-30,12.877915903482837
158,2007-01-06,12.004836859178914
159,2007-01-13,9.16732996519117
160,2007-01-20,9.603869487343133
161,2007-01-27,8.51252068196323
162,2007-02-03,8.73079044303921
