Search Term,diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,58
2012-12-01,56
2012-12-08,50
2012-12-15,45
2012-12-22,60
2012-12-29,100
2013-01-05,97
2013-01-12,83
2013-01-19,78
2013-01-26,69
2013-02-02,73
2013-02-09,66
2013-02-16,80
2013-02-23,81
2013-03-02,80
2013-03-09,72
2013-03-16,73
2013-03-23,76
2013-03-30,79
2013-04-06,86
2013-04-13,85
2013-04-20,81
2013-04-27,76
2013-05-04,73
2013-05-11,74
2013-05-18,77
2013-05-25,80
2013-06-01,73
2013-06-08,77
2013-06-15,71
2013-06-22,73
2013-06-29,67
2013-07-06,76
2013-07-13,69
2013-07-20,69
2013-07-27,72
2013-08-03,71
2013-08-10,70
2013-08-17,71
2013-08-24,62
2013-08-31,66
2013-09-07,61
2013-09-14,61
2013-09-21,57
2013-09-28,58
2013-10-05,61
2013-10-12,61
2013-10-19,56
2013-10-26,57
2013-11-02,62
2013-11-09,60
2013-11-16,53
2013-11-23,41
2013-11-30,58
2013-12-07,49
2013-12-14,44
2013-12-21,54
2013-12-28,92
2014-01-04,98
2014-01-11,85
2014-01-18,77
2014-01-25,74
2014-02-01,71
2014-02-08,68
2014-02-15,74
2014-02-22,78
2014-03-01,76
2014-03-08,75
2014-03-15,78
2014-03-22,72
2014-03-29,74
2014-04-05,67
2014-04-12,64
2014-04-19,73
2014-04-26,69
2014-05-03,66
2014-05-10,68
2014-05-17,65
2014-05-24,70
2014-05-31,63
2014-06-07,62
2014-06-14,62
2014-06-21,60
2014-06-28,59
2014-07-05,64
2014-07-12,63
2014-07-19,63
2014-07-26,66
2014-08-02,62
2014-08-09,61
2014-08-16,57
2014-08-23,52
2014-08-30,52
2014-09-06,54
2014-09-13,51
2014-09-20,56
2014-09-27,55
2014-10-04,52
2014-10-11,49
2014-10-18,49
2014-10-25,49
2014-11-01,51
2014-11-08,47
2014-11-15,41
2014-11-22,36
2014-11-29,52
2014-12-06,46
2014-12-13,42
2014-12-20,42
2014-12-27,79
2015-01-03,96
2015-01-10,68
2015-01-17,68
2015-01-24,62
2015-01-31,60
2015-02-07,58
2015-02-14,63
2015-02-21,64
2015-02-28,66
2015-03-07,65
2015-03-14,64
2015-03-21,64
2015-03-28,60
2015-04-04,67
2015-04-11,66
2015-04-18,70
2015-04-25,64
2015-05-02,63
2015-05-09,64
2015-05-16,58
2015-05-23,64
2015-05-30,62
2015-06-06,64
2015-06-13,62
2015-06-20,62
2015-06-27,57
2015-07-04,65
2015-07-11,62
2015-07-18,63
2015-07-25,63
2015-08-01,61
2015-08-08,61
2015-08-15,56
2015-08-22,55
2015-08-29,53
2015-09-05,56
2015-09-12,59
2015-09-19,56
2015-09-26,52
2015-10-03,52
2015-10-10,50
2015-10-17,46
2015-10-24,46
2015-10-31,50
2015-11-07,46
2015-11-14,41
2015-11-21,36
2015-11-28,42
2015-12-05,43
2015-12-12,37
2015-12-19,39
2015-12-26,70
2016-01-02,80
2016-01-09,72
2016-01-16,60
2016-01-23,76
2016-01-30,66
2016-02-06,64
2016-02-13,66
2016-02-20,70
2016-02-27,78
2016-03-05,70
2016-03-12,75
2016-03-19,61
2016-03-26,63
2016-04-02,76
2016-04-09,60
2016-04-16,59
2016-04-23,67
2016-04-30,58
2016-05-07,63
2016-05-14,61
2016-05-21,59
2016-05-28,63
2016-06-04,56
2016-06-11,55
2016-06-18,59
2016-06-25,57
2016-07-02,61
2016-07-09,61
2016-07-16,66
2016-07-23,65
2016-07-30,62
2016-08-06,63
2016-08-13,55
2016-08-20,56
2016-08-27,52
2016-09-03,55
2016-09-10,52
2016-09-17,49
2016-09-24,51
2016-10-01,47
2016-10-08,45
2016-10-15,47
2016-10-22,48
2016-10-29,47
2016-11-05,43
2016-11-12,49
2016-11-19,37
2016-11-26,52
2016-12-03,50
2016-12-10,43
2016-12-17,40
2016-12-24,64
2016-12-31,97
