Search Term,diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,90
2020-02-01,93
2020-02-08,95
2020-02-15,97
2020-02-22,87
2020-02-29,81
2020-03-07,69
2020-03-14,45
2020-03-21,51
2020-03-28,56
2020-04-04,56
2020-04-11,71
2020-04-18,75
2020-04-25,74
2020-05-02,78
2020-05-09,79
2020-05-16,83
2020-05-23,81
2020-05-30,80
2020-06-06,85
2020-06-13,83
2020-06-20,85
2020-06-27,83
2020-07-04,85
2020-07-11,83
2020-07-18,81
2020-07-25,82
2020-08-01,78
2020-08-08,71
2020-08-15,74
2020-08-22,71
2020-08-29,73
2020-09-05,70
2020-09-12,71
2020-09-19,69
2020-09-26,63
2020-10-03,72
2020-10-10,78
2020-10-17,78
2020-10-24,72
2020-10-31,62
2020-11-07,67
2020-11-14,65
2020-11-21,61
2020-11-28,68
2020-12-05,65
2020-12-12,63
2020-12-19,57
2020-12-26,93
2021-01-02,100
2021-01-09,88
2021-01-16,90
2021-01-23,94
2021-01-30,86
2021-02-06,90
2021-02-13,83
2021-02-20,82
2021-02-27,93
2021-03-06,91
2021-03-13,82
2021-03-20,84
2021-03-27,89
2021-04-03,85
2021-04-10,83
2021-04-17,80
2021-04-24,81
2021-05-01,81
2021-05-08,80
2021-05-15,78
2021-05-22,85
2021-05-29,85
2021-06-05,74
2021-06-12,77
2021-06-19,81
2021-06-26,81
2021-07-03,73
2021-07-10,77
2021-07-17,76
2021-07-24,72
2021-07-31,71
2021-08-07,70
2021-08-14,67
2021-08-21,68
2021-08-28,68
2021-09-04,67
2021-09-11,64
2021-09-18,66
2021-09-25,66
2021-10-02,65
2021-10-09,64
2021-10-16,66
2021-10-23,61
2021-10-30,62
2021-11-06,58
2021-11-13,59
2021-11-20,47
2021-11-27,63
2021-12-04,58
2021-12-11,54
2021-12-18,46
2021-12-25,77
2022-01-01,89
2022-01-08,74
2022-01-15,68
2022-01-22,77
2022-01-29,74
2022-02-05,75
2022-02-12,77
2022-02-19,71
2022-02-26,74
2022-03-05,71
2022-03-12,70
2022-03-19,73
2022-03-26,71
2022-04-02,69
2022-04-09,65
2022-04-16,76
2022-04-23,66
2022-04-30,66
2022-05-07,69
2022-05-14,70
2022-05-21,65
2022-05-28,69
2022-06-04,69
2022-06-11,72
2022-06-18,69
2022-06-25,65
2022-07-02,74
2022-07-09,69
2022-07-16,70
2022-07-23,66
2022-07-30,78
2022-08-06,63
2022-08-13,63
2022-08-20,65
2022-08-27,61
2022-09-03,61
2022-09-10,57
2022-09-17,59
2022-09-24,56
2022-10-01,56
2022-10-08,53
2022-10-15,55
2022-10-22,58
2022-10-29,56
2022-11-05,53
2022-11-12,49
2022-11-19,46
2022-11-26,58
2022-12-03,53
2022-12-10,48
2022-12-17,44
2022-12-24,71
2022-12-31,82
2023-01-07,71
2023-01-14,66
2023-01-21,68
2023-01-28,67
2023-02-04,75
2023-02-11,58
2023-02-18,61
2023-02-25,64
2023-03-04,68
2023-03-11,66
2023-03-18,68
2023-03-25,65
2023-04-01,63
2023-04-08,68
2023-04-15,64
2023-04-22,63
2023-04-29,60
2023-05-06,61
2023-05-13,62
2023-05-20,62
2023-05-27,64
2023-06-03,61
2023-06-10,62
2023-06-17,59
2023-06-24,63
2023-07-01,64
2023-07-08,60
2023-07-15,61
2023-07-22,64
2023-07-29,60
2023-08-05,59
2023-08-12,58
2023-08-19,57
2023-08-26,55
2023-09-02,56
2023-09-09,55
2023-09-16,55
2023-09-23,55
2023-09-30,54
2023-10-07,50
2023-10-14,52
2023-10-21,55
2023-10-28,50
2023-11-04,49
2023-11-11,52
2023-11-18,41
2023-11-25,60
2023-12-02,52
2023-12-09,50
2023-12-16,45
2023-12-23,66
2023-12-30,81
2024-01-06,67
2024-01-13,61
2024-01-20,61
2024-01-27,58
2024-02-03,58
2024-02-10,54
2024-02-17,61
2024-02-24,63
2024-03-02,56
2024-03-09,60
2024-03-16,56
2024-03-23,57
2024-03-30,60
2024-04-06,60
2024-04-13,56
2024-04-20,59
2024-04-27,58
2024-05-04,58
2024-05-11,54
2024-05-18,53
2024-05-25,58
