Search Term,vegetarian
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,65
2008-12-06,73
2008-12-13,65
2008-12-20,70
2008-12-27,84
2009-01-03,83
2009-01-10,78
2009-01-17,72
2009-01-24,73
2009-01-31,74
2009-02-07,72
2009-02-14,66
2009-02-21,70
2009-02-28,70
2009-03-07,69
2009-03-14,72
2009-03-21,71
2009-03-28,72
2009-04-04,77
2009-04-11,70
2009-04-18,68
2009-04-25,74
2009-05-02,70
2009-05-09,67
2009-05-16,70
2009-05-23,67
2009-05-30,68
2009-06-06,75
2009-06-13,71
2009-06-20,66
2009-06-27,70
2009-07-04,71
2009-07-11,74
2009-07-18,74
2009-07-25,75
2009-08-01,74
2009-08-08,73
2009-08-15,76
2009-08-22,73
2009-08-29,72
2009-09-05,73
2009-09-12,75
2009-09-19,75
2009-09-26,79
2009-10-03,75
2009-10-10,81
2009-10-17,76
2009-10-24,76
2009-10-31,84
2009-11-07,83
2009-11-14,85
2009-11-21,94
2009-11-28,80
2009-12-05,79
2009-12-12,79
2009-12-19,89
2009-12-26,92
2010-01-02,88
2010-01-09,84
2010-01-16,88
2010-01-23,84
2010-01-30,85
2010-02-06,84
2010-02-13,83
2010-02-20,86
2010-02-27,80
2010-03-06,79
2010-03-13,84
2010-03-20,86
2010-03-27,89
2010-04-03,74
2010-04-10,79
2010-04-17,80
2010-04-24,82
2010-05-01,78
2010-05-08,78
2010-05-15,77
2010-05-22,75
2010-05-29,72
2010-06-05,72
2010-06-12,74
2010-06-19,70
2010-06-26,74
2010-07-03,77
2010-07-10,71
2010-07-17,78
2010-07-24,75
2010-07-31,77
2010-08-07,77
2010-08-14,76
2010-08-21,77
2010-08-28,74
2010-09-04,77
2010-09-11,78
2010-09-18,79
2010-09-25,78
2010-10-02,83
2010-10-09,78
2010-10-16,76
2010-10-23,78
2010-10-30,79
2010-11-06,81
2010-11-13,86
2010-11-20,89
2010-11-27,74
2010-12-04,72
2010-12-11,76
2010-12-18,87
2010-12-25,82
2011-01-01,92
2011-01-08,84
2011-01-15,84
2011-01-22,81
2011-01-29,87
2011-02-05,84
2011-02-12,80
2011-02-19,74
2011-02-26,75
2011-03-05,82
2011-03-12,76
2011-03-19,82
2011-03-26,78
2011-04-02,74
2011-04-09,79
2011-04-16,82
2011-04-23,74
2011-04-30,72
2011-05-07,76
2011-05-14,72
2011-05-21,74
2011-05-28,75
2011-06-04,72
2011-06-11,75
2011-06-18,71
2011-06-25,72
2011-07-02,73
2011-07-09,72
2011-07-16,76
2011-07-23,76
2011-07-30,80
2011-08-06,76
2011-08-13,79
2011-08-20,77
2011-08-27,75
2011-09-03,79
2011-09-10,80
2011-09-17,79
2011-09-24,88
2011-10-01,83
2011-10-08,81
2011-10-15,82
2011-10-22,78
2011-10-29,86
2011-11-05,84
2011-11-12,86
2011-11-19,95
2011-11-26,82
2011-12-03,75
2011-12-10,80
2011-12-17,100
2011-12-24,89
2011-12-31,95
2012-01-07,93
2012-01-14,92
2012-01-21,86
2012-01-28,85
2012-02-04,84
2012-02-11,82
2012-02-18,89
2012-02-25,85
2012-03-03,83
2012-03-10,82
2012-03-17,76
2012-03-24,79
2012-03-31,82
2012-04-07,75
2012-04-14,78
2012-04-21,74
2012-04-28,78
2012-05-05,77
2012-05-12,77
2012-05-19,81
2012-05-26,75
2012-06-02,76
2012-06-09,76
2012-06-16,73
2012-06-23,77
2012-06-30,76
2012-07-07,80
2012-07-14,76
2012-07-21,81
2012-07-28,78
2012-08-04,78
2012-08-11,81
2012-08-18,79
2012-08-25,81
2012-09-01,86
2012-09-08,80
2012-09-15,84
2012-09-22,83
2012-09-29,85
2012-10-06,77
2012-10-13,85
2012-10-20,78
2012-10-27,79
2012-11-03,76
2012-11-10,82
2012-11-17,90
2012-11-24,79
2012-12-01,76
2012-12-08,78
2012-12-15,83
2012-12-22,87
2012-12-29,96
