Search Term,plant-based
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,42
2012-12-01,39
2012-12-08,27
2012-12-15,36
2012-12-22,29
2012-12-29,33
2013-01-05,41
2013-01-12,50
2013-01-19,36
2013-01-26,78
2013-02-02,46
2013-02-09,40
2013-02-16,47
2013-02-23,52
2013-03-02,54
2013-03-09,39
2013-03-16,64
2013-03-23,62
2013-03-30,40
2013-04-06,42
2013-04-13,45
2013-04-20,51
2013-04-27,57
2013-05-04,50
2013-05-11,61
2013-05-18,46
2013-05-25,54
2013-06-01,59
2013-06-08,37
2013-06-15,55
2013-06-22,32
2013-06-29,29
2013-07-06,50
2013-07-13,38
2013-07-20,52
2013-07-27,39
2013-08-03,31
2013-08-10,42
2013-08-17,34
2013-08-24,39
2013-08-31,47
2013-09-07,65
2013-09-14,64
2013-09-21,48
2013-09-28,41
2013-10-05,44
2013-10-12,33
2013-10-19,53
2013-10-26,52
2013-11-02,28
2013-11-09,61
2013-11-16,31
2013-11-23,39
2013-11-30,62
2013-12-07,35
2013-12-14,43
2013-12-21,51
2013-12-28,50
2014-01-04,56
2014-01-11,57
2014-01-18,53
2014-01-25,50
2014-02-01,26
2014-02-08,42
2014-02-15,50
2014-02-22,48
2014-03-01,67
2014-03-08,58
2014-03-15,59
2014-03-22,49
2014-03-29,41
2014-04-05,59
2014-04-12,33
2014-04-19,44
2014-04-26,32
2014-05-03,40
2014-05-10,42
2014-05-17,49
2014-05-24,40
2014-05-31,42
2014-06-07,48
2014-06-14,41
2014-06-21,45
2014-06-28,36
2014-07-05,54
2014-07-12,43
2014-07-19,20
2014-07-26,63
2014-08-02,48
2014-08-09,44
2014-08-16,37
2014-08-23,25
2014-08-30,47
2014-09-06,44
2014-09-13,48
2014-09-20,45
2014-09-27,41
2014-10-04,45
2014-10-11,40
2014-10-18,56
2014-10-25,56
2014-11-01,33
2014-11-08,48
2014-11-15,46
2014-11-22,38
2014-11-29,45
2014-12-06,43
2014-12-13,40
2014-12-20,35
2014-12-27,52
2015-01-03,39
2015-01-10,45
2015-01-17,64
2015-01-24,58
2015-01-31,57
2015-02-07,45
2015-02-14,50
2015-02-21,64
2015-02-28,53
2015-03-07,48
2015-03-14,57
2015-03-21,75
2015-03-28,48
2015-04-04,53
2015-04-11,59
2015-04-18,55
2015-04-25,56
2015-05-02,56
2015-05-09,55
2015-05-16,48
2015-05-23,56
2015-05-30,51
2015-06-06,60
2015-06-13,55
2015-06-20,37
2015-06-27,34
2015-07-04,51
2015-07-11,61
2015-07-18,57
2015-07-25,54
2015-08-01,72
2015-08-08,44
2015-08-15,52
2015-08-22,54
2015-08-29,56
2015-09-05,52
2015-09-12,34
2015-09-19,54
2015-09-26,58
2015-10-03,64
2015-10-10,64
2015-10-17,61
2015-10-24,71
2015-10-31,80
2015-11-07,50
2015-11-14,70
2015-11-21,45
2015-11-28,62
2015-12-05,59
2015-12-12,59
2015-12-19,49
2015-12-26,64
2016-01-02,82
2016-01-09,57
2016-01-16,60
2016-01-23,64
2016-01-30,75
2016-02-06,67
2016-02-13,80
2016-02-20,67
2016-02-27,89
2016-03-05,72
2016-03-12,84
2016-03-19,72
2016-03-26,74
2016-04-02,88
2016-04-09,82
2016-04-16,81
2016-04-23,72
2016-04-30,79
2016-05-07,74
2016-05-14,82
2016-05-21,82
2016-05-28,65
2016-06-04,70
2016-06-11,64
2016-06-18,61
2016-06-25,61
2016-07-02,61
2016-07-09,80
2016-07-16,62
2016-07-23,78
2016-07-30,86
2016-08-06,69
2016-08-13,65
2016-08-20,63
2016-08-27,65
2016-09-03,67
2016-09-10,64
2016-09-17,65
2016-09-24,44
2016-10-01,74
2016-10-08,69
2016-10-15,93
2016-10-22,71
2016-10-29,67
2016-11-05,74
2016-11-12,86
2016-11-19,64
2016-11-26,86
2016-12-03,95
2016-12-10,90
2016-12-17,71
2016-12-24,50
2016-12-31,100
