,Search Term,plant-based
190,2012-07-21,8.821981982994396
191,2012-07-28,5.524877605511643
192,2012-08-04,6.95065247145013
193,2012-08-11,4.9902120307847095
194,2012-08-18,6.148654109359731
195,2012-08-25,7.57442897529822
196,2012-09-01,3.564437164846221
197,2012-09-08,6.95065247145013
198,2012-09-15,3.475326235725065
199,2012-09-22,5.97043225111742
200,2012-09-29,5.97043225111742
201,2012-10-06,3.475326235725065
202,2012-10-13,3.9208808813308433
203,2012-10-20,4.901101101663554
204,2012-10-27,4.099102739573154
205,2012-11-03,5.613988534632798
206,2012-11-10,8.198205479146308
207,2012-11-17,6.861541542328975
208,2012-11-24,5.286960076304673
209,2012-12-01,4.909320070854339
210,2012-12-08,3.3987600490530046
211,2012-12-15,4.5316800654040055
212,2012-12-22,3.65052005268656
213,2012-12-29,4.154040059953672
214,2013-01-05,5.161080074487896
215,2013-01-12,6.294000090838897
216,2013-01-19,4.5316800654040055
217,2013-01-26,9.818640141708679
218,2013-02-02,5.790480083571786
219,2013-02-09,5.035200072671118
220,2013-02-16,5.916360085388563
221,2013-02-23,6.5457600944724526
222,2013-03-02,6.797520098106009
223,2013-03-09,4.909320070854339
224,2013-03-16,8.056320116273788
225,2013-03-23,7.804560112640233
226,2013-03-30,5.035200072671118
227,2013-04-06,5.286960076304673
228,2013-04-13,5.664600081755007
229,2013-04-20,6.419880092655675
230,2013-04-27,7.175160103556342
231,2013-05-04,6.294000090838897
232,2013-05-11,7.678680110823455
233,2013-05-18,5.790480083571786
234,2013-05-25,6.797520098106009
235,2013-06-01,7.4269201071899
236,2013-06-08,4.657560067220784
237,2013-06-15,6.923400099922787
238,2013-06-22,4.028160058136894
239,2013-06-29,3.65052005268656
240,2013-07-06,6.294000090838897
241,2013-07-13,4.783440069037562
242,2013-07-20,6.5457600944724526
243,2013-07-27,4.909320070854339
244,2013-08-03,3.9022800563201163
245,2013-08-10,5.286960076304673
246,2013-08-17,4.27992006177045
247,2013-08-24,4.909320070854339
248,2013-08-31,5.916360085388563
249,2013-09-07,8.182200118090567
250,2013-09-14,8.056320116273788
251,2013-09-21,6.042240087205341
252,2013-09-28,5.161080074487896
253,2013-10-05,5.53872007993823
254,2013-10-12,4.154040059953672
255,2013-10-19,6.67164009628923
256,2013-10-26,6.5457600944724526
257,2013-11-02,3.5246400508697824
258,2013-11-09,7.678680110823455
259,2013-11-16,3.9022800563201163
260,2013-11-23,4.909320070854339
261,2013-11-30,7.804560112640233
262,2013-12-07,4.405800063587228
263,2013-12-14,5.412840078121452
264,2013-12-21,6.419880092655675
265,2013-12-28,6.294000090838897
266,2014-01-04,7.049280101739565
267,2014-01-11,7.175160103556342
268,2014-01-18,6.67164009628923
269,2014-01-25,6.294000090838897
270,2014-02-01,3.2728800472362263
271,2014-02-08,5.286960076304673
272,2014-02-15,6.294000090838897
273,2014-02-22,6.042240087205341
274,2014-03-01,8.433960121724121
275,2014-03-08,7.30104010537312
276,2014-03-15,7.4269201071899
277,2014-03-22,6.1681200890221195
278,2014-03-29,5.161080074487896
279,2014-04-05,7.4269201071899
280,2014-04-12,4.154040059953672
281,2014-04-19,5.53872007993823
282,2014-04-26,4.028160058136894
283,2014-05-03,5.035200072671118
284,2014-05-10,5.286960076304673
285,2014-05-17,6.1681200890221195
286,2014-05-24,5.035200072671118
287,2014-05-31,5.286960076304673
288,2014-06-07,6.042240087205341
289,2014-06-14,5.161080074487896
290,2014-06-21,5.664600081755007
291,2014-06-28,4.5316800654040055
292,2014-07-05,6.797520098106009
293,2014-07-12,5.412840078121452
294,2014-07-19,2.517600036335559
295,2014-07-26,7.93044011445701
296,2014-08-02,6.042240087205341
297,2014-08-09,5.53872007993823
298,2014-08-16,4.657560067220784
299,2014-08-23,3.1470000454194484
300,2014-08-30,5.916360085388563
301,2014-09-06,5.53872007993823
302,2014-09-13,6.042240087205341
303,2014-09-20,5.664600081755007
304,2014-09-27,5.161080074487896
305,2014-10-04,5.664600081755007
306,2014-10-11,5.035200072671118
307,2014-10-18,7.049280101739565
308,2014-10-25,7.049280101739565
309,2014-11-01,4.154040059953672
310,2014-11-08,6.042240087205341
311,2014-11-15,5.790480083571786
312,2014-11-22,4.783440069037562
313,2014-11-29,5.664600081755007
314,2014-12-06,5.412840078121452
315,2014-12-13,5.035200072671118
316,2014-12-20,4.405800063587228
317,2014-12-27,6.5457600944724526
318,2015-01-03,4.909320070854339
319,2015-01-10,5.664600081755007
320,2015-01-17,8.056320116273788
321,2015-01-24,7.30104010537312
322,2015-01-31,7.175160103556342
323,2015-02-07,5.664600081755007
324,2015-02-14,6.294000090838897
325,2015-02-21,8.056320116273788
326,2015-02-28,6.67164009628923
327,2015-03-07,6.042240087205341
328,2015-03-14,7.175160103556342
329,2015-03-21,9.441000136258346
330,2015-03-28,6.042240087205341
331,2015-04-04,6.67164009628923
332,2015-04-11,7.4269201071899
333,2015-04-18,6.923400099922787
334,2015-04-25,7.049280101739565
335,2015-05-02,7.049280101739565
336,2015-05-09,6.923400099922787
337,2015-05-16,6.042240087205341
338,2015-05-23,7.049280101739565
339,2015-05-30,6.419880092655675
340,2015-06-06,7.552800109006677
341,2015-06-13,6.923400099922787
342,2015-06-20,4.657560067220784
343,2015-06-27,4.27992006177045
344,2015-07-04,6.419880092655675
345,2015-07-11,7.678680110823455
346,2015-07-18,7.175160103556342
347,2015-07-25,6.797520098106009
348,2015-08-01,9.063360130808011
349,2015-08-08,5.53872007993823
350,2015-08-15,6.5457600944724526
351,2015-08-22,6.797520098106009
352,2015-08-29,7.049280101739565
353,2015-09-05,6.5457600944724526
354,2015-09-12,4.27992006177045
355,2015-09-19,6.797520098106009
356,2015-09-26,7.30104010537312
357,2015-10-03,8.056320116273788
358,2015-10-10,8.056320116273788
359,2015-10-17,7.678680110823455
360,2015-10-24,8.937480128991234
361,2015-10-31,10.070400145342235
362,2015-11-07,6.294000090838897
363,2015-11-14,8.811600127174456
364,2015-11-21,5.664600081755007
365,2015-11-28,7.804560112640233
366,2015-12-05,7.4269201071899
367,2015-12-12,7.4269201071899
368,2015-12-19,6.1681200890221195
369,2015-12-26,8.056320116273788
370,2016-01-02,10.322160148975792
371,2016-01-09,7.175160103556342
372,2016-01-16,7.552800109006677
373,2016-01-23,8.056320116273788
374,2016-01-30,9.441000136258346
375,2016-02-06,8.433960121724121
376,2016-02-13,10.070400145342235
377,2016-02-20,8.433960121724121
378,2016-02-27,11.203320161693236
379,2016-03-05,9.063360130808011
380,2016-03-12,10.573920152609347
381,2016-03-19,9.063360130808011
382,2016-03-26,9.315120134441568
383,2016-04-02,11.07744015987646
384,2016-04-09,10.322160148975792
385,2016-04-16,10.196280147159014
386,2016-04-23,9.063360130808011
387,2016-04-30,9.944520143525457
388,2016-05-07,9.315120134441568
389,2016-05-14,10.322160148975792
390,2016-05-21,10.322160148975792
391,2016-05-28,8.182200118090567
392,2016-06-04,8.811600127174456
393,2016-06-11,8.056320116273788
394,2016-06-18,7.678680110823455
395,2016-06-25,7.678680110823455
396,2016-07-02,7.678680110823455
397,2016-07-09,10.070400145342235
398,2016-07-16,7.804560112640233
399,2016-07-23,9.818640141708679
400,2016-07-30,10.825680156242903
401,2016-08-06,8.685720125357678
402,2016-08-13,8.182200118090567
403,2016-08-20,7.93044011445701
404,2016-08-27,8.182200118090567
405,2016-09-03,8.433960121724121
406,2016-09-10,8.056320116273788
407,2016-09-17,8.182200118090567
408,2016-09-24,5.53872007993823
409,2016-10-01,9.315120134441568
410,2016-10-08,8.685720125357678
411,2016-10-15,11.70684016896035
412,2016-10-22,8.937480128991234
413,2016-10-29,8.433960121724121
414,2016-11-05,9.315120134441568
415,2016-11-12,10.825680156242903
416,2016-11-19,8.056320116273788
417,2016-11-26,10.77094972067039
418,2016-12-03,12.11731843575419
419,2016-12-10,11.21973929236499
420,2016-12-17,8.975791433891992
421,2016-12-24,6.283054003724393
422,2016-12-31,12.566108007448786
423,2017-01-07,12.11731843575419
424,2017-01-14,12.566108007448786
425,2017-01-21,11.66852886405959
426,2017-01-28,11.66852886405959
427,2017-02-04,8.527001862197393
428,2017-02-11,11.21973929236499
429,2017-02-18,13.912476722532588
430,2017-02-25,13.463687150837988
431,2017-03-04,11.21973929236499
432,2017-03-11,10.77094972067039
433,2017-03-18,14.361266294227187
434,2017-03-25,9.424581005586592
435,2017-04-01,14.361266294227187
436,2017-04-08,13.014897579143389
437,2017-04-15,10.32216014897579
438,2017-04-22,12.566108007448786
439,2017-04-29,13.014897579143389
440,2017-05-06,8.975791433891992
441,2017-05-13,9.873370577281191
442,2017-05-20,9.873370577281191
443,2017-05-27,10.77094972067039
444,2017-06-03,10.32216014897579
445,2017-06-10,11.66852886405959
446,2017-06-17,12.566108007448786
447,2017-06-24,14.361266294227187
448,2017-07-01,17.054003724394786
449,2017-07-08,19.297951582867782
450,2017-07-15,18.400372439478584
451,2017-07-22,17.951582867783983
452,2017-07-29,18.849162011173185
453,2017-08-05,19.746741154562383
454,2017-08-12,18.400372439478584
455,2017-08-19,16.156424581005584
456,2017-08-26,13.912476722532588
457,2017-09-02,16.156424581005584
458,2017-09-09,16.605214152700185
459,2017-09-16,16.156424581005584
460,2017-09-23,13.912476722532588
461,2017-09-30,13.463687150837988
462,2017-10-07,14.810055865921786
463,2017-10-14,14.810055865921786
464,2017-10-21,13.463687150837988
465,2017-10-28,13.912476722532588
466,2017-11-04,13.912476722532588
467,2017-11-11,15.258845437616387
468,2017-11-18,11.21973929236499
469,2017-11-25,17.502793296089383
470,2017-12-02,13.912476722532588
471,2017-12-09,11.21973929236499
472,2017-12-16,10.77094972067039
473,2017-12-23,13.014897579143389
