Search Term,plant based
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,18
2008-12-06,21
2008-12-13,16
2008-12-20,22
2008-12-27,21
2009-01-03,21
2009-01-10,16
2009-01-17,23
2009-01-24,18
2009-01-31,27
2009-02-07,25
2009-02-14,26
2009-02-21,29
2009-02-28,25
2009-03-07,20
2009-03-14,13
2009-03-21,24
2009-03-28,25
2009-04-04,28
2009-04-11,25
2009-04-18,30
2009-04-25,19
2009-05-02,22
2009-05-09,24
2009-05-16,25
2009-05-23,26
2009-05-30,29
2009-06-06,26
2009-06-13,24
2009-06-20,15
2009-06-27,18
2009-07-04,30
2009-07-11,20
2009-07-18,31
2009-07-25,25
2009-08-01,23
2009-08-08,27
2009-08-15,23
2009-08-22,22
2009-08-29,19
2009-09-05,23
2009-09-12,21
2009-09-19,25
2009-09-26,28
2009-10-03,33
2009-10-10,22
2009-10-17,24
2009-10-24,28
2009-10-31,21
2009-11-07,20
2009-11-14,22
2009-11-21,21
2009-11-28,23
2009-12-05,21
2009-12-12,18
2009-12-19,21
2009-12-26,17
2010-01-02,28
2010-01-09,23
2010-01-16,31
2010-01-23,28
2010-01-30,25
2010-02-06,32
2010-02-13,22
2010-02-20,23
2010-02-27,32
2010-03-06,25
2010-03-13,36
2010-03-20,28
2010-03-27,30
2010-04-03,33
2010-04-10,31
2010-04-17,33
2010-04-24,29
2010-05-01,29
2010-05-08,28
2010-05-15,29
2010-05-22,22
2010-05-29,26
2010-06-05,30
2010-06-12,23
2010-06-19,24
2010-06-26,25
2010-07-03,26
2010-07-10,26
2010-07-17,24
2010-07-24,28
2010-07-31,23
2010-08-07,29
2010-08-14,29
2010-08-21,25
2010-08-28,26
2010-09-04,28
2010-09-11,29
2010-09-18,100
2010-09-25,54
2010-10-02,34
2010-10-09,29
2010-10-16,31
2010-10-23,32
2010-10-30,29
2010-11-06,31
2010-11-13,34
2010-11-20,30
2010-11-27,37
2010-12-04,26
2010-12-11,24
2010-12-18,23
2010-12-25,26
2011-01-01,34
2011-01-08,40
2011-01-15,37
2011-01-22,30
2011-01-29,38
2011-02-05,36
2011-02-12,33
2011-02-19,33
2011-02-26,34
2011-03-05,29
2011-03-12,33
2011-03-19,41
2011-03-26,35
2011-04-02,36
2011-04-09,37
2011-04-16,35
2011-04-23,53
2011-04-30,37
2011-05-07,38
2011-05-14,41
2011-05-21,34
2011-05-28,32
2011-06-04,33
2011-06-11,38
2011-06-18,33
2011-06-25,31
2011-07-02,33
2011-07-09,33
2011-07-16,38
2011-07-23,32
2011-07-30,33
2011-08-06,33
2011-08-13,39
2011-08-20,37
2011-08-27,65
2011-09-03,98
2011-09-10,83
2011-09-17,91
2011-09-24,89
2011-10-01,71
2011-10-08,71
2011-10-15,69
2011-10-22,69
2011-10-29,71
2011-11-05,65
2011-11-12,62
2011-11-19,49
2011-11-26,64
2011-12-03,56
2011-12-10,60
2011-12-17,57
2011-12-24,68
2011-12-31,75
2012-01-07,88
2012-01-14,77
2012-01-21,84
2012-01-28,83
2012-02-04,78
2012-02-11,75
2012-02-18,80
2012-02-25,88
2012-03-03,76
2012-03-10,79
2012-03-17,74
2012-03-24,72
2012-03-31,64
2012-04-07,75
2012-04-14,83
2012-04-21,81
2012-04-28,79
2012-05-05,65
2012-05-12,62
2012-05-19,68
2012-05-26,66
2012-06-02,71
2012-06-09,62
2012-06-16,60
2012-06-23,76
2012-06-30,67
2012-07-07,73
2012-07-14,60
2012-07-21,62
2012-07-28,58
2012-08-04,63
2012-08-11,61
2012-08-18,70
2012-08-25,77
2012-09-01,69
2012-09-08,63
2012-09-15,72
2012-09-22,65
2012-09-29,66
2012-10-06,67
2012-10-13,59
2012-10-20,61
2012-10-27,64
2012-11-03,57
2012-11-10,55
2012-11-17,55
2012-11-24,59
2012-12-01,66
2012-12-08,57
2012-12-15,50
2012-12-22,66
2012-12-29,79
