,Search Term,cowspiracy: the sustainability secret
196,2016-09-03,8.0
197,2016-09-10,10.0
198,2016-09-17,8.0
199,2016-09-24,7.000000000000001
200,2016-10-01,8.0
201,2016-10-08,7.000000000000001
202,2016-10-15,10.0
203,2016-10-22,8.0
204,2016-10-29,9.000000000000002
205,2016-11-05,11.0
206,2016-11-12,11.0
207,2016-11-19,10.0
208,2016-11-26,11.0
209,2016-12-03,10.647619047619047
210,2016-12-10,7.234920634920634
211,2016-12-17,8.736507936507936
212,2016-12-24,7.917460317460318
213,2016-12-31,8.463492063492064
214,2017-01-07,8.6
215,2017-01-14,7.644444444444444
216,2017-01-21,9.692063492063491
217,2017-01-28,7.917460317460318
218,2017-02-04,5.5968253968253965
219,2017-02-11,10.101587301587301
220,2017-02-18,10.647619047619047
221,2017-02-25,9.692063492063491
222,2017-03-04,8.19047619047619
223,2017-03-11,9.146031746031746
224,2017-03-18,9.965079365079363
225,2017-03-25,9.282539682539683
226,2017-04-01,9.146031746031746
227,2017-04-08,8.463492063492064
228,2017-04-15,8.19047619047619
229,2017-04-22,10.92063492063492
230,2017-04-29,9.41904761904762
231,2017-05-06,10.647619047619047
232,2017-05-13,5.8698412698412685
233,2017-05-20,4.231746031746032
234,2017-05-27,9.009523809523808
235,2017-06-03,7.37142857142857
236,2017-06-10,6.415873015873015
237,2017-06-17,9.009523809523808
238,2017-06-24,9.828571428571427
239,2017-07-01,12.149206349206349
240,2017-07-08,13.65079365079365
241,2017-07-15,10.51111111111111
242,2017-07-22,12.012698412698413
243,2017-07-29,10.92063492063492
244,2017-08-05,8.326984126984128
245,2017-08-12,8.463492063492064
246,2017-08-19,5.46031746031746
247,2017-08-26,6.415873015873015
248,2017-09-02,8.053968253968254
249,2017-09-09,5.050793650793651
250,2017-09-16,5.3238095238095235
251,2017-09-23,4.914285714285714
252,2017-09-30,6.415873015873015
253,2017-10-07,5.050793650793651
254,2017-10-14,5.3238095238095235
255,2017-10-21,6.006349206349206
256,2017-10-28,7.234920634920634
257,2017-11-04,5.3238095238095235
258,2017-11-11,5.8698412698412685
259,2017-11-18,3.1396825396825396
260,2017-11-25,5.46031746031746
261,2017-12-02,7.917460317460318
262,2017-12-09,6.142857142857142
263,2017-12-16,3.685714285714285
264,2017-12-23,4.504761904761904
265,2017-12-30,5.7333333333333325
266,2018-01-06,5.8698412698412685
267,2018-01-13,4.641269841269842
268,2018-01-20,5.187301587301587
269,2018-01-27,6.961904761904762
270,2018-02-03,4.777777777777778
271,2018-02-10,5.187301587301587
272,2018-02-17,4.641269841269842
273,2018-02-24,7.917460317460318
274,2018-03-03,4.504761904761904
275,2018-03-10,6.552380952380952
276,2018-03-17,5.7333333333333325
277,2018-03-24,4.777777777777778
278,2018-03-31,6.142857142857142
279,2018-04-07,6.142857142857142
280,2018-04-14,6.825396825396825
281,2018-04-21,7.78095238095238
282,2018-04-28,5.050793650793651
283,2018-05-05,4.641269841269842
284,2018-05-12,3.1396825396825396
285,2018-05-19,3.549206349206349
286,2018-05-26,5.46031746031746
287,2018-06-02,3.276190476190476
288,2018-06-09,4.095238095238095
289,2018-06-16,4.504761904761904
290,2018-06-23,3.276190476190476
291,2018-06-30,2.73015873015873
292,2018-07-07,2.8666666666666663
293,2018-07-14,2.457142857142857
294,2018-07-21,3.276190476190476
295,2018-07-28,4.231746031746032
296,2018-08-04,4.231746031746032
297,2018-08-11,2.457142857142857
298,2018-08-18,2.8666666666666663
299,2018-08-25,3.4126984126984126
300,2018-09-01,4.777777777777778
301,2018-09-08,3.958730158730159
302,2018-09-15,3.685714285714285
303,2018-09-22,3.003174603174603
304,2018-09-29,3.549206349206349
305,2018-10-06,5.8698412698412685
306,2018-10-13,4.095238095238095
307,2018-10-20,3.4126984126984126
308,2018-10-27,4.641269841269842
309,2018-11-03,5.5968253968253965
310,2018-11-10,4.368253968253968
311,2018-11-17,3.4126984126984126
312,2018-11-24,6.279365079365079
313,2018-12-01,4.777777777777778
314,2018-12-08,4.368253968253968
315,2018-12-15,3.549206349206349
316,2018-12-22,2.320634920634921
317,2018-12-29,3.276190476190476
318,2019-01-05,3.685714285714285
319,2019-01-12,4.095238095238095
320,2019-01-19,3.4126984126984126
321,2019-01-26,3.4126984126984126
322,2019-02-02,4.641269841269842
323,2019-02-09,4.504761904761904
324,2019-02-16,4.777777777777778
325,2019-02-23,4.777777777777778
326,2019-03-02,2.73015873015873
327,2019-03-09,4.777777777777778
328,2019-03-16,3.549206349206349
329,2019-03-23,3.685714285714285
330,2019-03-30,4.368253968253968
331,2019-04-06,5.7333333333333325
332,2019-04-13,4.368253968253968
333,2019-04-20,4.777777777777778
334,2019-04-27,3.958730158730159
335,2019-05-04,3.4126984126984126
336,2019-05-11,5.3238095238095235
337,2019-05-18,4.368253968253968
338,2019-05-25,5.050793650793651
339,2019-06-01,2.5936507936507933
340,2019-06-08,5.46031746031746
341,2019-06-15,5.7333333333333325
342,2019-06-22,3.4126984126984126
343,2019-06-29,1.911111111111111
344,2019-07-06,3.822222222222222
345,2019-07-13,3.4126984126984126
346,2019-07-20,2.5936507936507933
347,2019-07-27,1.911111111111111
348,2019-08-03,2.184126984126984
349,2019-08-10,2.184126984126984
350,2019-08-17,5.050793650793651
351,2019-08-24,5.5968253968253965
352,2019-08-31,3.549206349206349
353,2019-09-07,3.1396825396825396
354,2019-09-14,2.457142857142857
355,2019-09-21,4.777777777777778
356,2019-09-28,3.822222222222222
357,2019-10-05,3.4126984126984126
358,2019-10-12,3.549206349206349
359,2019-10-19,2.457142857142857
360,2019-10-26,4.504761904761904
361,2019-11-02,4.368253968253968
362,2019-11-09,4.095238095238095
363,2019-11-16,3.4126984126984126
364,2019-11-23,3.685714285714285
365,2019-11-30,4.368253968253968
366,2019-12-07,2.8666666666666663
367,2019-12-14,3.4126984126984126
368,2019-12-21,3.003174603174603
369,2019-12-28,3.003174603174603
370,2020-01-04,3.685714285714285
371,2020-01-11,3.276190476190476
372,2020-01-18,3.958730158730159
373,2020-01-25,3.7220669427191155
374,2020-02-01,3.337025534851621
375,2020-02-08,4.235455486542442
376,2020-02-15,4.748844030365769
377,2020-02-22,3.4653726708074526
378,2020-02-29,4.107108350586611
379,2020-03-07,2.0535541752933053
380,2020-03-14,1.540165631469979
381,2020-03-21,2.4385955831608004
382,2020-03-28,3.4653726708074526
383,2020-04-04,3.2086783988957897
384,2020-04-11,2.3102484472049682
385,2020-04-18,3.080331262939958
386,2020-04-25,4.235455486542442
387,2020-05-02,3.7220669427191155
388,2020-05-09,2.9519841269841263
389,2020-05-16,3.2086783988957897
390,2020-05-23,2.5669427191166316
391,2020-05-30,2.4385955831608004
392,2020-06-06,2.5669427191166316
393,2020-06-13,1.6685127674258105
394,2020-06-20,2.181901311249137
395,2020-06-27,2.0535541752933053
396,2020-07-04,2.4385955831608004
397,2020-07-11,2.0535541752933053
398,2020-07-18,2.4385955831608004
399,2020-07-25,2.0535541752933053
400,2020-08-01,1.796859903381642
401,2020-08-08,1.9252070393374738
402,2020-08-15,2.3102484472049682
403,2020-08-22,2.181901311249137
404,2020-08-29,2.0535541752933053
405,2020-09-05,2.9519841269841263
406,2020-09-12,4.6204968944099365
407,2020-09-19,4.107108350586611
408,2020-09-26,2.181901311249137
409,2020-10-03,3.080331262939958
410,2020-10-10,2.4385955831608004
411,2020-10-17,1.9252070393374738
412,2020-10-24,2.4385955831608004
413,2020-10-31,2.6952898550724633
414,2020-11-07,1.9252070393374738
415,2020-11-14,3.4653726708074526
416,2020-11-21,0.0
417,2020-11-28,2.4385955831608004
418,2020-12-05,1.4118184955141473
419,2020-12-12,2.5669427191166316
420,2020-12-19,0.0
421,2020-12-26,2.6952898550724633
422,2021-01-02,0.0
423,2021-01-09,1.796859903381642
424,2021-01-16,0.0
425,2021-01-23,1.4118184955141473
426,2021-01-30,1.796859903381642
427,2021-02-06,2.181901311249137
428,2021-02-13,1.540165631469979
429,2021-02-20,2.8236369910282946
430,2021-02-27,1.796859903381642
431,2021-03-06,2.0535541752933053
432,2021-03-13,1.9252070393374738
433,2021-03-20,5.133885438233263
434,2021-03-27,12.834713595583159
435,2021-04-03,7.700828157349895
436,2021-04-10,6.930745341614905
437,2021-04-17,5.647273982056589
438,2021-04-24,4.235455486542442
439,2021-05-01,2.181901311249137
440,2021-05-08,3.8504140786749477
441,2021-05-15,2.5669427191166316
442,2021-05-22,3.8504140786749477
443,2021-05-29,2.181901311249137
444,2021-06-05,0.0
445,2021-06-12,1.4118184955141473
446,2021-06-19,0.0
447,2021-06-26,1.796859903381642
448,2021-07-03,0.0
449,2021-07-10,1.796859903381642
450,2021-07-17,0.0
451,2021-07-24,1.9252070393374738
452,2021-07-31,0.0
453,2021-08-07,1.540165631469979
454,2021-08-14,0.0
455,2021-08-21,1.9252070393374738
456,2021-08-28,1.6685127674258105
457,2021-09-04,1.4118184955141473
458,2021-09-11,1.540165631469979
459,2021-09-18,2.3102484472049682
460,2021-09-25,1.796859903381642
461,2021-10-02,1.6685127674258105
462,2021-10-09,2.3102484472049682
463,2021-10-16,2.181901311249137
464,2021-10-23,1.796859903381642
465,2021-10-30,1.4118184955141473
466,2021-11-06,2.0535541752933053
467,2021-11-13,1.6685127674258105
468,2021-11-20,1.9252070393374738
469,2021-11-27,1.9252070393374738
470,2021-12-04,0.0
471,2021-12-11,0.0
472,2021-12-18,1.796859903381642
473,2021-12-25,1.540165631469979
474,2022-01-01,1.9252070393374738
475,2022-01-08,2.0535541752933053
476,2022-01-15,1.9252070393374738
477,2022-01-22,2.0535541752933053
478,2022-01-29,3.080331262939958
479,2022-02-05,2.3102484472049682
480,2022-02-12,1.540165631469979
481,2022-02-19,1.6685127674258105
482,2022-02-26,2.181901311249137
483,2022-03-05,1.2834713595583158
484,2022-03-12,2.0535541752933053
485,2022-03-19,1.6685127674258105
486,2022-03-26,2.181901311249137
487,2022-04-02,1.796859903381642
488,2022-04-09,1.6685127674258105
489,2022-04-16,2.8236369910282946
490,2022-04-23,1.796859903381642
491,2022-04-30,2.181901311249137
492,2022-05-07,2.0535541752933053
493,2022-05-14,1.6685127674258105
494,2022-05-21,0.0
495,2022-05-28,1.6685127674258105
496,2022-06-04,0.0
497,2022-06-11,1.4118184955141473
498,2022-06-18,2.181901311249137
499,2022-06-25,0.0
500,2022-07-02,0.0
501,2022-07-09,1.2834713595583158
502,2022-07-16,0.0
503,2022-07-23,1.796859903381642
504,2022-07-30,0.0
505,2022-08-06,1.4118184955141473
506,2022-08-13,1.2834713595583158
507,2022-08-20,1.9252070393374738
508,2022-08-27,1.4118184955141473
509,2022-09-03,1.4118184955141473
510,2022-09-10,0.0
511,2022-09-17,1.540165631469979
512,2022-09-24,1.4118184955141473
513,2022-10-01,1.6685127674258105
514,2022-10-08,1.6685127674258105
515,2022-10-15,1.4118184955141473
516,2022-10-22,1.2834713595583158
517,2022-10-29,1.540165631469979
518,2022-11-05,1.2834713595583158
519,2022-11-12,0.0
520,2022-11-19,1.1551242236024841
521,2022-11-26,1.1551242236024841
522,2022-12-03,1.6685127674258105
523,2022-12-10,2.181901311249137
524,2022-12-17,1.2834713595583158
525,2022-12-24,0.0
526,2022-12-31,1.6685127674258105
527,2023-01-07,1.9252070393374738
528,2023-01-14,1.2834713595583158
529,2023-01-21,2.3102484472049682
530,2023-01-28,2.5669427191166316
531,2023-02-04,1.540165631469979
532,2023-02-11,1.540165631469979
533,2023-02-18,1.2834713595583158
534,2023-02-25,0.0
535,2023-03-04,0.0
536,2023-03-11,0.0
537,2023-03-18,1.796859903381642
538,2023-03-25,1.4118184955141473
539,2023-04-01,0.0
540,2023-04-08,1.2834713595583158
541,2023-04-15,1.540165631469979
542,2023-04-22,0.0
543,2023-04-29,1.4118184955141473
544,2023-05-06,1.540165631469979
545,2023-05-13,1.4118184955141473
546,2023-05-20,0.0
547,2023-05-27,0.0
548,2023-06-03,1.2834713595583158
549,2023-06-10,0.0
550,2023-06-17,0.0
551,2023-06-24,0.0
552,2023-07-01,0.0
553,2023-07-08,1.9252070393374738
554,2023-07-15,0.0
555,2023-07-22,0.0
556,2023-07-29,0.0
557,2023-08-05,0.0
558,2023-08-12,0.0
559,2023-08-19,0.0
560,2023-08-26,1.2834713595583158
561,2023-09-02,1.4118184955141473
562,2023-09-09,0.0
563,2023-09-16,0.0
564,2023-09-23,1.4118184955141473
565,2023-09-30,0.0
566,2023-10-07,0.0
567,2023-10-14,1.4118184955141473
568,2023-10-21,0.0
569,2023-10-28,1.4118184955141473
570,2023-11-04,1.796859903381642
571,2023-11-11,1.1551242236024841
572,2023-11-18,2.181901311249137
573,2023-11-25,1.4118184955141473
574,2023-12-02,0.0
575,2023-12-09,0.0
576,2023-12-16,0.0
577,2023-12-23,0.0
578,2023-12-30,1.540165631469979
579,2024-01-06,0.0
580,2024-01-13,0.0
581,2024-01-20,1.6685127674258105
582,2024-01-27,0.0
583,2024-02-03,1.4118184955141473
584,2024-02-10,1.9252070393374738
585,2024-02-17,2.181901311249137
586,2024-02-24,1.2834713595583158
587,2024-03-02,1.4118184955141473
588,2024-03-09,0.0
589,2024-03-16,1.9252070393374738
590,2024-03-23,0.0
591,2024-03-30,1.2834713595583158
592,2024-04-06,1.6685127674258105
593,2024-04-13,0.0
594,2024-04-20,1.540165631469979
595,2024-04-27,0.0
596,2024-05-04,0.0
597,2024-05-11,2.0535541752933053
598,2024-05-18,0.0
599,2024-05-25,1.4118184955141473
