,Search Term,the game changers
195,2020-08-29,6.787418655097616
196,2020-09-05,7.110629067245121
197,2020-09-12,6.787418655097616
198,2020-09-19,6.464208242950109
199,2020-09-26,6.464208242950109
200,2020-10-03,6.464208242950109
201,2020-10-10,5.494577006507593
202,2020-10-17,5.817787418655099
203,2020-10-24,5.817787418655099
204,2020-10-31,5.494577006507593
205,2020-11-07,5.817787418655099
206,2020-11-14,4.848156182212582
207,2020-11-21,5.494577006507593
208,2020-11-28,4.848156182212582
209,2020-12-05,7.433839479392626
210,2020-12-12,4.201735357917571
211,2020-12-19,5.171366594360087
212,2020-12-26,6.140997830802604
213,2021-01-02,7.110629067245121
214,2021-01-09,6.140997830802604
215,2021-01-16,5.817787418655099
216,2021-01-23,7.110629067245121
217,2021-01-30,7.110629067245121
218,2021-02-06,6.787418655097616
219,2021-02-13,6.787418655097616
220,2021-02-20,7.110629067245121
221,2021-02-27,7.433839479392626
222,2021-03-06,7.110629067245121
223,2021-03-13,7.433839479392626
224,2021-03-20,8.403470715835143
225,2021-03-27,9.373101952277658
226,2021-04-03,8.726681127982648
227,2021-04-10,9.696312364425165
228,2021-04-17,10.01952277657267
229,2021-04-24,8.726681127982648
230,2021-05-01,8.726681127982648
231,2021-05-08,7.433839479392626
232,2021-05-15,7.433839479392626
233,2021-05-22,7.433839479392626
234,2021-05-29,8.080260303687636
235,2021-06-05,7.110629067245121
236,2021-06-12,7.110629067245121
237,2021-06-19,6.140997830802604
238,2021-06-26,6.140997830802604
239,2021-07-03,5.817787418655099
240,2021-07-10,6.140997830802604
241,2021-07-17,7.433839479392626
242,2021-07-24,5.817787418655099
243,2021-07-31,6.464208242950109
244,2021-08-07,6.140997830802604
245,2021-08-14,6.140997830802604
246,2021-08-21,6.140997830802604
247,2021-08-28,5.494577006507593
248,2021-09-04,5.171366594360087
249,2021-09-11,4.848156182212582
250,2021-09-18,4.848156182212582
251,2021-09-25,5.494577006507593
252,2021-10-02,4.848156182212582
253,2021-10-09,4.524945770065076
254,2021-10-16,4.524945770065076
255,2021-10-23,4.524945770065076
256,2021-10-30,4.524945770065076
257,2021-11-06,4.848156182212582
258,2021-11-13,4.848156182212582
259,2021-11-20,3.8785249457700655
260,2021-11-27,4.848156182212582
261,2021-12-04,4.848156182212582
262,2021-12-11,5.171366594360087
263,2021-12-18,5.494577006507593
264,2021-12-25,5.817787418655099
265,2022-01-01,9.049891540130153
266,2022-01-08,8.403470715835143
267,2022-01-15,6.140997830802604
268,2022-01-22,6.140997830802604
269,2022-01-29,6.464208242950109
270,2022-02-05,6.787418655097616
271,2022-02-12,5.171366594360087
272,2022-02-19,5.817787418655099
273,2022-02-26,5.817787418655099
274,2022-03-05,5.494577006507593
275,2022-03-12,4.848156182212582
276,2022-03-19,5.494577006507593
277,2022-03-26,5.171366594360087
278,2022-04-02,3.8785249457700655
279,2022-04-09,4.524945770065076
280,2022-04-16,5.494577006507593
281,2022-04-23,6.140997830802604
282,2022-04-30,5.171366594360087
283,2022-05-07,5.171366594360087
284,2022-05-14,4.848156182212582
285,2022-05-21,4.524945770065076
286,2022-05-28,4.201735357917571
287,2022-06-04,5.171366594360087
288,2022-06-11,7.433839479392626
289,2022-06-18,7.433839479392626
290,2022-06-25,5.817787418655099
291,2022-07-02,4.201735357917571
292,2022-07-09,4.524945770065076
293,2022-07-16,4.848156182212582
294,2022-07-23,4.201735357917571
295,2022-07-30,4.201735357917571
296,2022-08-06,4.848156182212582
297,2022-08-13,4.848156182212582
298,2022-08-20,3.5553145336225604
299,2022-08-27,4.201735357917571
300,2022-09-03,4.201735357917571
301,2022-09-10,3.5553145336225604
302,2022-09-17,3.8785249457700655
303,2022-09-24,4.201735357917571
304,2022-10-01,4.201735357917571
305,2022-10-08,4.848156182212582
306,2022-10-15,3.8785249457700655
307,2022-10-22,3.5553145336225604
308,2022-10-29,3.8785249457700655
309,2022-11-05,2.9088937093275495
310,2022-11-12,3.5553145336225604
311,2022-11-19,3.8785249457700655
312,2022-11-26,4.524945770065076
313,2022-12-03,3.8785249457700655
314,2022-12-10,2.9088937093275495
315,2022-12-17,2.9088937093275495
316,2022-12-24,3.8785249457700655
317,2022-12-31,3.8785249457700655
318,2023-01-07,3.5553145336225604
319,2023-01-14,3.5553145336225604
320,2023-01-21,3.5553145336225604
321,2023-01-28,3.8785249457700655
322,2023-02-04,3.5553145336225604
323,2023-02-11,2.9088937093275495
324,2023-02-18,3.2321041214750545
325,2023-02-25,4.524945770065076
326,2023-03-04,4.201735357917571
327,2023-03-11,4.201735357917571
328,2023-03-18,4.848156182212582
329,2023-03-25,5.171366594360087
330,2023-04-01,5.171366594360087
331,2023-04-08,7.110629067245121
332,2023-04-15,8.080260303687636
333,2023-04-22,6.140997830802604
334,2023-04-29,4.848156182212582
335,2023-05-06,3.8785249457700655
336,2023-05-13,4.201735357917571
337,2023-05-20,4.201735357917571
338,2023-05-27,4.201735357917571
339,2023-06-03,4.848156182212582
340,2023-06-10,4.524945770065076
341,2023-06-17,5.494577006507593
342,2023-06-24,4.848156182212582
343,2023-07-01,4.524945770065076
344,2023-07-08,4.524945770065076
345,2023-07-15,4.524945770065076
346,2023-07-22,3.5553145336225604
347,2023-07-29,3.8785249457700655
348,2023-08-05,3.5553145336225604
349,2023-08-12,3.5553145336225604
350,2023-08-19,4.524945770065076
351,2023-08-26,3.5553145336225604
352,2023-09-02,4.201735357917571
353,2023-09-09,3.2321041214750545
354,2023-09-16,2.9088937093275495
355,2023-09-23,2.5856832971800436
356,2023-09-30,2.9088937093275495
357,2023-10-07,3.2321041214750545
358,2023-10-14,3.5553145336225604
359,2023-10-21,3.2321041214750545
360,2023-10-28,2.5856832971800436
361,2023-11-04,2.5856832971800436
362,2023-11-11,3.2321041214750545
363,2023-11-18,3.5553145336225604
364,2023-11-25,3.2321041214750545
365,2023-12-02,3.8785249457700655
366,2023-12-09,3.8785249457700655
367,2023-12-16,2.9088937093275495
368,2023-12-23,2.262472885032538
369,2023-12-30,4.524945770065076
370,2024-01-06,5.494577006507593
371,2024-01-13,4.201735357917571
372,2024-01-20,3.8785249457700655
373,2024-01-27,3.2321041214750545
374,2024-02-03,3.5553145336225604
375,2024-02-10,3.5553145336225604
376,2024-02-17,3.5553145336225604
377,2024-02-24,2.5856832971800436
378,2024-03-02,3.2321041214750545
379,2024-03-09,3.2321041214750545
380,2024-03-16,3.5553145336225604
381,2024-03-23,2.262472885032538
382,2024-03-30,2.5856832971800436
383,2024-04-06,2.9088937093275495
384,2024-04-13,2.9088937093275495
385,2024-04-20,3.2321041214750545
386,2024-04-27,3.5553145336225604
387,2024-05-04,2.5856832971800436
388,2024-05-11,2.9088937093275495
389,2024-05-18,3.2321041214750545
390,2024-05-25,2.9088937093275495
