Search Term,okja
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,1
2017-03-11,1
2017-03-18,1
2017-03-25,1
2017-04-01,1
2017-04-08,1
2017-04-15,1
2017-04-22,1
2017-04-29,1
2017-05-06,2
2017-05-13,11
2017-05-20,8
2017-05-27,5
2017-06-03,7
2017-06-10,7
2017-06-17,11
2017-06-24,81
2017-07-01,100
2017-07-08,49
2017-07-15,33
2017-07-22,22
2017-07-29,16
2017-08-05,13
2017-08-12,10
2017-08-19,8
2017-08-26,7
2017-09-02,7
2017-09-09,5
2017-09-16,4
2017-09-23,4
2017-09-30,4
2017-10-07,5
2017-10-14,5
2017-10-21,4
2017-10-28,4
2017-11-04,5
2017-11-11,3
2017-11-18,1
2017-11-25,2
2017-12-02,3
2017-12-09,4
2017-12-16,4
2017-12-23,7
2017-12-30,7
2018-01-06,4
2018-01-13,4
2018-01-20,4
2018-01-27,4
2018-02-03,3
2018-02-10,4
2018-02-17,3
2018-02-24,3
2018-03-03,3
2018-03-10,2
2018-03-17,2
2018-03-24,3
2018-03-31,2
2018-04-07,2
2018-04-14,2
2018-04-21,2
2018-04-28,2
2018-05-05,2
2018-05-12,1
2018-05-19,2
2018-05-26,2
2018-06-02,2
2018-06-09,2
2018-06-16,1
2018-06-23,2
2018-06-30,2
2018-07-07,2
2018-07-14,2
2018-07-21,2
2018-07-28,2
2018-08-04,2
2018-08-11,2
2018-08-18,1
2018-08-25,1
2018-09-01,1
2018-09-08,1
2018-09-15,1
2018-09-22,1
2018-09-29,1
2018-10-06,2
2018-10-13,1
2018-10-20,1
2018-10-27,1
2018-11-03,1
2018-11-10,1
2018-11-17,2
2018-11-24,1
2018-12-01,1
2018-12-08,1
2018-12-15,1
2018-12-22,2
2018-12-29,2
2019-01-05,1
2019-01-12,1
2019-01-19,1
2019-01-26,1
2019-02-02,1
2019-02-09,1
2019-02-16,1
2019-02-23,1
2019-03-02,1
2019-03-09,1
2019-03-16,1
2019-03-23,1
2019-03-30,1
2019-04-06,1
2019-04-13,1
2019-04-20,1
2019-04-27,1
2019-05-04,1
2019-05-11,1
2019-05-18,1
2019-05-25,1
2019-06-01,1
2019-06-08,1
2019-06-15,1
2019-06-22,1
2019-06-29,1
2019-07-06,1
2019-07-13,1
2019-07-20,1
2019-07-27,1
2019-08-03,1
2019-08-10,1
2019-08-17,1
2019-08-24,1
2019-08-31,1
2019-09-07,1
2019-09-14,1
2019-09-21,1
2019-09-28,1
2019-10-05,2
2019-10-12,1
2019-10-19,1
2019-10-26,1
2019-11-02,2
2019-11-09,2
2019-11-16,1
2019-11-23,2
2019-11-30,1
2019-12-07,1
2019-12-14,1
2019-12-21,2
2019-12-28,2
2020-01-04,2
2020-01-11,2
2020-01-18,2
2020-01-25,2
2020-02-01,3
2020-02-08,8
2020-02-15,5
2020-02-22,3
2020-02-29,2
