Search Term,cowspiracy: the sustainability secret
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,1
2012-12-29,2
2013-01-05,0
2013-01-12,0
2013-01-19,1
2013-01-26,0
2013-02-02,0
2013-02-09,1
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,0
2013-05-04,1
2013-05-11,1
2013-05-18,1
2013-05-25,0
2013-06-01,0
2013-06-08,1
2013-06-15,0
2013-06-22,0
2013-06-29,0
2013-07-06,0
2013-07-13,1
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,1
2013-08-31,0
2013-09-07,0
2013-09-14,0
2013-09-21,0
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,0
2013-12-28,0
2014-01-04,0
2014-01-11,0
2014-01-18,0
2014-01-25,0
2014-02-01,0
2014-02-08,0
2014-02-15,0
2014-02-22,0
2014-03-01,0
2014-03-08,1
2014-03-15,0
2014-03-22,1
2014-03-29,0
2014-04-05,0
2014-04-12,0
2014-04-19,3
2014-04-26,0
2014-05-03,1
2014-05-10,0
2014-05-17,0
2014-05-24,2
2014-05-31,1
2014-06-07,0
2014-06-14,2
2014-06-21,3
2014-06-28,3
2014-07-05,1
2014-07-12,6
2014-07-19,7
2014-07-26,1
2014-08-02,3
2014-08-09,7
2014-08-16,6
2014-08-23,8
2014-08-30,7
2014-09-06,10
2014-09-13,8
2014-09-20,10
2014-09-27,9
2014-10-04,5
2014-10-11,7
2014-10-18,6
2014-10-25,4
2014-11-01,7
2014-11-08,8
2014-11-15,9
2014-11-22,4
2014-11-29,6
2014-12-06,7
2014-12-13,6
2014-12-20,5
2014-12-27,8
2015-01-03,9
2015-01-10,6
2015-01-17,7
2015-01-24,9
2015-01-31,4
2015-02-07,5
2015-02-14,6
2015-02-21,10
2015-02-28,7
2015-03-07,5
2015-03-14,6
2015-03-21,5
2015-03-28,8
2015-04-04,15
2015-04-11,7
2015-04-18,19
2015-04-25,10
2015-05-02,8
2015-05-09,8
2015-05-16,5
2015-05-23,5
2015-05-30,4
2015-06-06,5
2015-06-13,4
2015-06-20,3
2015-06-27,4
2015-07-04,6
2015-07-11,4
2015-07-18,4
2015-07-25,3
2015-08-01,4
2015-08-08,5
2015-08-15,3
2015-08-22,7
2015-08-29,5
2015-09-05,9
2015-09-12,45
2015-09-19,100
2015-09-26,71
2015-10-03,48
2015-10-10,33
2015-10-17,24
2015-10-24,22
2015-10-31,24
2015-11-07,24
2015-11-14,25
2015-11-21,17
2015-11-28,25
2015-12-05,17
2015-12-12,18
2015-12-19,15
2015-12-26,14
2016-01-02,15
2016-01-09,13
2016-01-16,25
2016-01-23,25
2016-01-30,15
2016-02-06,15
2016-02-13,13
2016-02-20,14
2016-02-27,21
2016-03-05,14
2016-03-12,14
2016-03-19,14
2016-03-26,15
2016-04-02,13
2016-04-09,15
2016-04-16,20
2016-04-23,15
2016-04-30,15
2016-05-07,12
2016-05-14,16
2016-05-21,10
2016-05-28,12
2016-06-04,10
2016-06-11,9
2016-06-18,7
2016-06-25,7
2016-07-02,8
2016-07-09,8
2016-07-16,5
2016-07-23,7
2016-07-30,7
2016-08-06,5
2016-08-13,6
2016-08-20,7
2016-08-27,7
2016-09-03,8
2016-09-10,10
2016-09-17,8
2016-09-24,7
2016-10-01,8
2016-10-08,7
2016-10-15,10
2016-10-22,8
2016-10-29,9
2016-11-05,11
2016-11-12,11
2016-11-19,10
2016-11-26,11
2016-12-03,11
2016-12-10,7
2016-12-17,9
2016-12-24,8
2016-12-31,8
