Search Term,diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,37
2004-01-31,28
2004-02-29,29
2004-03-31,28
2004-04-30,31
2004-05-31,26
2004-06-30,29
2004-07-31,22
2004-08-31,22
2004-09-30,23
2004-10-31,23
2004-11-30,20
2004-12-31,32
2005-01-31,25
2005-02-28,29
2005-03-31,28
2005-04-30,27
2005-05-31,27
2005-06-30,26
2005-07-31,24
2005-08-31,23
2005-09-30,22
2005-10-31,21
2005-11-30,19
2005-12-31,32
2006-01-31,25
2006-02-28,26
2006-03-31,26
2006-04-30,26
2006-05-31,24
2006-06-30,25
2006-07-31,22
2006-08-31,22
2006-09-30,23
2006-10-31,23
2006-11-30,21
2006-12-31,35
2007-01-31,26
2007-02-28,29
2007-03-31,31
2007-04-30,31
2007-05-31,37
2007-06-30,33
2007-07-31,29
2007-08-31,30
2007-09-30,30
2007-10-31,25
2007-11-30,27
2007-12-31,42
2008-01-31,30
2008-02-29,31
2008-03-31,34
2008-04-30,26
2008-05-31,27
2008-06-30,28
2008-07-31,26
2008-08-31,30
2008-09-30,29
2008-10-31,32
2008-11-30,36
2008-12-31,55
2009-01-31,49
2009-02-28,59
2009-03-31,46
2009-04-30,53
2009-05-31,56
2009-06-30,56
2009-07-31,50
2009-08-31,55
2009-09-30,60
2009-10-31,53
2009-11-30,48
2009-12-31,86
2010-01-31,71
2010-02-28,74
2010-03-31,71
2010-04-30,65
2010-05-31,58
2010-06-30,56
2010-07-31,49
2010-08-31,51
2010-09-30,47
2010-10-31,44
2010-11-30,44
2010-12-31,89
2011-01-31,77
2011-02-28,88
2011-03-31,89
2011-04-30,93
2011-05-31,91
2011-06-30,86
2011-07-31,79
2011-08-31,72
2011-09-30,64
2011-10-31,62
2011-11-30,59
2011-12-31,95
2012-01-31,78
2012-02-29,80
2012-03-31,94
2012-04-30,80
2012-05-31,83
2012-06-30,85
2012-07-31,73
2012-08-31,72
2012-09-30,58
2012-10-31,56
2012-11-30,60
2012-12-31,97
2013-01-31,80
2013-02-28,81
2013-03-31,87
2013-04-30,73
2013-05-31,78
2013-06-30,76
2013-07-31,75
2013-08-31,66
2013-09-30,61
2013-10-31,57
2013-11-30,58
2013-12-31,96
2014-01-31,82
2014-02-28,77
2014-03-31,75
2014-04-30,73
2014-05-31,68
2014-06-30,67
2014-07-31,61
2014-08-31,56
2014-09-30,51
2014-10-31,46
2014-11-30,54
2014-12-31,81
2015-01-31,63
2015-02-28,70
2015-03-31,72
2015-04-30,66
2015-05-31,65
2015-06-30,67
2015-07-31,61
2015-08-31,60
2015-09-30,51
2015-10-31,47
2015-11-30,49
2015-12-31,81
2016-01-31,75
2016-02-29,70
2016-03-31,68
2016-04-30,63
2016-05-31,66
2016-06-30,66
2016-07-31,63
2016-08-31,55
2016-09-30,50
2016-10-31,49
2016-11-30,53
2016-12-31,81
2017-01-31,74
2017-02-28,75
2017-03-31,78
2017-04-30,69
2017-05-31,76
2017-06-30,81
2017-07-31,66
2017-08-31,62
2017-09-30,64
2017-10-31,56
2017-11-30,57
2017-12-31,93
2018-01-31,85
2018-02-28,75
2018-03-31,74
2018-04-30,72
2018-05-31,72
2018-06-30,81
2018-07-31,77
2018-08-31,63
2018-09-30,62
2018-10-31,58
2018-11-30,63
2018-12-31,100
2019-01-31,77
2019-02-28,72
2019-03-31,71
2019-04-30,64
2019-05-31,64
2019-06-30,70
2019-07-31,60
2019-08-31,58
2019-09-30,53
2019-10-31,50
2019-11-30,53
2019-12-31,81
2020-01-31,68
2020-02-29,43
2020-03-31,45
2020-04-30,62
2020-05-31,63
2020-06-30,59
2020-07-31,49
2020-08-31,50
2020-09-30,50
2020-10-31,44
2020-11-30,45
2020-12-31,68
2021-01-31,61
2021-02-28,60
2021-03-31,61
2021-04-30,57
2021-05-31,53
2021-06-30,52
2021-07-31,47
2021-08-31,45
2021-09-30,44
2021-10-31,38
2021-11-30,41
2021-12-31,55
2022-01-31,50
2022-02-28,50
2022-03-31,48
2022-04-30,46
2022-05-31,46
2022-06-30,47
2022-07-31,45
2022-08-31,39
2022-09-30,38
2022-10-31,36
2022-11-30,36
2022-12-31,50
2023-01-31,45
2023-02-28,44
2023-03-31,43
2023-04-30,40
2023-05-31,41
2023-06-30,42
2023-07-31,39
2023-08-31,37
2023-09-30,36
2023-10-31,34
2023-11-30,34
2023-12-31,45
2024-01-31,39
2024-02-29,38
2024-03-31,40
2024-04-30,37
