Year,Month,Index
2017,8,107.08
2017,9,105.4
2017,10,103.77
2017,11,90.04
2017,12,96.56
2018,1,109.45
2018,2,90.61
2018,3,98.98
2018,4,91.12
2018,5,92.29
2018,6,82.44
2018,7,87.44
2018,8,108.76
2018,9,89.5
2018,10,107.43
2018,11,97.29
2018,12,94.34
2019,1,109.72
2019,2,99.44
2019,3,99.33
2019,4,97.33
2019,5,95.32
2019,6,89.76
2019,7,91.93
2019,8,96.99
2019,9,98.21
2019,10,117.44
2019,11,95.22
2019,12,94.24
2020,1,104.76
2020,2,89.31
2020,3,97.09
2020,4,72.55
2020,5,57.94
2020,6,106.6
2020,7,101.39
2020,8,101.7
2020,9,99.11
2020,10,110.51
2020,11,96
2020,12,102.76
2021,1,106.65
2021,2,93.92
2021,3,96.83
2021,4,93.89
2021,5,74.91
2021,6,94.95
2021,7,88.45
2021,8,99.48
2021,9,104.3
2021,10,105.78
2021,11,105.06
2021,12,109.22
2022,1,106.11
2022,2,102.17
2022,3,113.16
2022,4,102.4
2022,5,95.96
2022,6,99.8
2022,7,85.28
2022,8,105.3
2022,9,100.56
2022,10,101.83
2022,11,96.41
2022,12,94.25
2023,1,109.56
2023,2,93.04
2023,3,105.27
2023,4,86.87
2023,5,87.6
2023,6,85.42
2023,7,82.45
2023,8,98.8
2023,9,93.77
2023,10,102.88
2023,11,97.22
2023,12,93.54
2024,1,106.73
2024,2,97.05
2024,3,89.66
