Search Term,plant based
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,90
2020-02-08,85
2020-02-15,84
2020-02-22,79
2020-02-29,68
2020-03-07,58
2020-03-14,46
2020-03-21,42
2020-03-28,44
2020-04-04,46
2020-04-11,45
2020-04-18,46
2020-04-25,53
2020-05-02,55
2020-05-09,54
2020-05-16,54
2020-05-23,54
2020-05-30,47
2020-06-06,51
2020-06-13,51
2020-06-20,54
2020-06-27,54
2020-07-04,60
2020-07-11,63
2020-07-18,61
2020-07-25,58
2020-08-01,55
2020-08-08,58
2020-08-15,53
2020-08-22,53
2020-08-29,51
2020-09-05,53
2020-09-12,52
2020-09-19,49
2020-09-26,51
2020-10-03,50
2020-10-10,51
2020-10-17,45
2020-10-24,51
2020-10-31,41
2020-11-07,51
2020-11-14,54
2020-11-21,45
2020-11-28,49
2020-12-05,48
2020-12-12,48
2020-12-19,41
2020-12-26,57
2021-01-02,62
2021-01-09,61
2021-01-16,60
2021-01-23,64
2021-01-30,62
2021-02-06,58
2021-02-13,58
2021-02-20,75
2021-02-27,59
2021-03-06,60
2021-03-13,57
2021-03-20,64
2021-03-27,63
2021-04-03,56
2021-04-10,61
2021-04-17,64
2021-04-24,68
2021-05-01,58
2021-05-08,59
2021-05-15,55
2021-05-22,58
2021-05-29,55
2021-06-05,58
2021-06-12,57
2021-06-19,59
2021-06-26,57
2021-07-03,58
2021-07-10,55
2021-07-17,56
2021-07-24,54
2021-07-31,55
2021-08-07,53
2021-08-14,58
2021-08-21,54
2021-08-28,47
2021-09-04,54
2021-09-11,51
2021-09-18,51
2021-09-25,53
2021-10-02,53
2021-10-09,52
2021-10-16,54
2021-10-23,52
2021-10-30,51
2021-11-06,52
2021-11-13,49
2021-11-20,48
2021-11-27,47
2021-12-04,52
2021-12-11,48
2021-12-18,43
2021-12-25,51
2022-01-01,80
2022-01-08,82
2022-01-15,72
2022-01-22,69
2022-01-29,74
2022-02-05,73
2022-02-12,60
2022-02-19,64
2022-02-26,60
2022-03-05,63
2022-03-12,59
2022-03-19,54
2022-03-26,59
2022-04-02,63
2022-04-09,60
2022-04-16,58
2022-04-23,58
2022-04-30,58
2022-05-07,54
2022-05-14,59
2022-05-21,58
2022-05-28,55
2022-06-04,57
2022-06-11,54
2022-06-18,55
2022-06-25,55
2022-07-02,52
2022-07-09,57
2022-07-16,56
2022-07-23,58
2022-07-30,57
2022-08-06,52
2022-08-13,53
2022-08-20,58
2022-08-27,53
2022-09-03,54
2022-09-10,53
2022-09-17,53
2022-09-24,52
2022-10-01,51
2022-10-08,49
2022-10-15,51
2022-10-22,48
2022-10-29,49
2022-11-05,47
2022-11-12,51
2022-11-19,43
2022-11-26,46
2022-12-03,50
2022-12-10,47
2022-12-17,43
2022-12-24,45
2022-12-31,49
2023-01-07,54
2023-01-14,54
2023-01-21,55
2023-01-28,54
2023-02-04,57
2023-02-11,58
2023-02-18,62
2023-02-25,62
2023-03-04,62
2023-03-11,50
2023-03-18,56
2023-03-25,57
2023-04-01,55
2023-04-08,59
2023-04-15,60
2023-04-22,59
2023-04-29,56
2023-05-06,51
2023-05-13,54
2023-05-20,51
2023-05-27,52
2023-06-03,52
2023-06-10,53
2023-06-17,51
2023-06-24,50
2023-07-01,48
2023-07-08,52
2023-07-15,48
2023-07-22,48
2023-07-29,47
2023-08-05,51
2023-08-12,49
2023-08-19,48
2023-08-26,48
2023-09-02,50
2023-09-09,51
2023-09-16,50
2023-09-23,50
2023-09-30,48
2023-10-07,49
2023-10-14,47
2023-10-21,50
2023-10-28,46
2023-11-04,47
2023-11-11,54
2023-11-18,41
2023-11-25,47
2023-12-02,47
2023-12-09,43
2023-12-16,43
2023-12-23,42
2023-12-30,87
2024-01-06,95
2024-01-13,74
2024-01-20,66
2024-01-27,63
2024-02-03,70
2024-02-10,56
2024-02-17,57
2024-02-24,59
2024-03-02,57
2024-03-09,53
2024-03-16,60
2024-03-23,52
2024-03-30,51
2024-04-06,47
2024-04-13,53
2024-04-20,52
2024-04-27,56
2024-05-04,51
2024-05-11,53
2024-05-18,49
2024-05-25,47
