Search Term,vegetarian
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,64
2012-12-08,67
2012-12-15,67
2012-12-22,85
2012-12-29,100
2013-01-05,92
2013-01-12,87
2013-01-19,82
2013-01-26,84
2013-02-02,85
2013-02-09,82
2013-02-16,89
2013-02-23,78
2013-03-02,79
2013-03-09,84
2013-03-16,77
2013-03-23,80
2013-03-30,70
2013-04-06,69
2013-04-13,66
2013-04-20,69
2013-04-27,71
2013-05-04,67
2013-05-11,67
2013-05-18,71
2013-05-25,63
2013-06-01,68
2013-06-08,65
2013-06-15,65
2013-06-22,69
2013-06-29,69
2013-07-06,68
2013-07-13,65
2013-07-20,68
2013-07-27,66
2013-08-03,67
2013-08-10,68
2013-08-17,65
2013-08-24,62
2013-08-31,67
2013-09-07,67
2013-09-14,69
2013-09-21,72
2013-09-28,72
2013-10-05,70
2013-10-12,72
2013-10-19,74
2013-10-26,71
2013-11-02,69
2013-11-09,78
2013-11-16,85
2013-11-23,91
2013-11-30,64
2013-12-07,71
2013-12-14,72
2013-12-21,77
2013-12-28,95
2014-01-04,97
2014-01-11,92
2014-01-18,84
2014-01-25,87
2014-02-01,78
2014-02-08,85
2014-02-15,76
2014-02-22,75
2014-03-01,83
2014-03-08,76
2014-03-15,71
2014-03-22,75
2014-03-29,75
2014-04-05,72
2014-04-12,76
2014-04-19,68
2014-04-26,62
2014-05-03,64
2014-05-10,63
2014-05-17,65
2014-05-24,66
2014-05-31,62
2014-06-07,61
2014-06-14,60
2014-06-21,63
2014-06-28,67
2014-07-05,67
2014-07-12,64
2014-07-19,64
2014-07-26,65
2014-08-02,68
2014-08-09,65
2014-08-16,64
2014-08-23,63
2014-08-30,68
2014-09-06,58
2014-09-13,63
2014-09-20,66
2014-09-27,70
2014-10-04,69
2014-10-11,62
2014-10-18,70
2014-10-25,63
2014-11-01,71
2014-11-08,73
2014-11-15,72
2014-11-22,80
2014-11-29,60
2014-12-06,62
2014-12-13,64
2014-12-20,78
2014-12-27,78
2015-01-03,77
2015-01-10,70
2015-01-17,68
2015-01-24,68
2015-01-31,62
2015-02-07,63
2015-02-14,68
2015-02-21,64
2015-02-28,64
2015-03-07,66
2015-03-14,69
2015-03-21,62
2015-03-28,67
2015-04-04,61
2015-04-11,55
2015-04-18,59
2015-04-25,53
2015-05-02,58
2015-05-09,59
2015-05-16,63
2015-05-23,58
2015-05-30,60
2015-06-06,58
2015-06-13,60
2015-06-20,56
2015-06-27,63
2015-07-04,61
2015-07-11,61
2015-07-18,65
2015-07-25,67
2015-08-01,71
2015-08-08,68
2015-08-15,59
2015-08-22,64
2015-08-29,59
2015-09-05,65
2015-09-12,60
2015-09-19,64
2015-09-26,71
2015-10-03,65
2015-10-10,68
2015-10-17,65
2015-10-24,71
2015-10-31,76
2015-11-07,73
2015-11-14,78
2015-11-21,90
2015-11-28,63
2015-12-05,66
2015-12-12,70
2015-12-19,82
2015-12-26,91
2016-01-02,95
2016-01-09,81
2016-01-16,87
2016-01-23,78
2016-01-30,84
2016-02-06,82
2016-02-13,80
2016-02-20,79
2016-02-27,75
2016-03-05,79
2016-03-12,78
2016-03-19,81
2016-03-26,80
2016-04-02,73
2016-04-09,80
2016-04-16,75
2016-04-23,75
2016-04-30,77
2016-05-07,73
2016-05-14,80
2016-05-21,72
2016-05-28,74
2016-06-04,71
2016-06-11,67
2016-06-18,68
2016-06-25,71
2016-07-02,68
2016-07-09,66
2016-07-16,66
2016-07-23,70
2016-07-30,69
2016-08-06,62
2016-08-13,63
2016-08-20,62
2016-08-27,65
2016-09-03,68
2016-09-10,70
2016-09-17,65
2016-09-24,70
2016-10-01,68
2016-10-08,68
2016-10-15,71
2016-10-22,71
2016-10-29,69
2016-11-05,66
2016-11-12,84
2016-11-19,93
2016-11-26,70
2016-12-03,73
2016-12-10,73
2016-12-17,85
2016-12-24,83
2016-12-31,95
