Search Term,plant based
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,16
2016-12-10,12
2016-12-17,11
2016-12-24,15
2016-12-31,26
2017-01-07,20
2017-01-14,18
2017-01-21,18
2017-01-28,17
2017-02-04,17
2017-02-11,18
2017-02-18,19
2017-02-25,18
2017-03-04,18
2017-03-11,19
2017-03-18,17
2017-03-25,21
2017-04-01,17
2017-04-08,18
2017-04-15,17
2017-04-22,18
2017-04-29,18
2017-05-06,16
2017-05-13,18
2017-05-20,18
2017-05-27,17
2017-06-03,16
2017-06-10,19
2017-06-17,34
2017-06-24,49
2017-07-01,53
2017-07-08,60
2017-07-15,61
2017-07-22,61
2017-07-29,62
2017-08-05,55
2017-08-12,48
2017-08-19,43
2017-08-26,37
2017-09-02,36
2017-09-09,30
2017-09-16,31
2017-09-23,30
2017-09-30,26
2017-10-07,31
2017-10-14,28
2017-10-21,28
2017-10-28,25
2017-11-04,27
2017-11-11,30
2017-11-18,22
2017-11-25,27
2017-12-02,25
2017-12-09,23
2017-12-16,20
2017-12-23,30
2017-12-30,40
2018-01-06,37
2018-01-13,32
2018-01-20,32
2018-01-27,32
2018-02-03,33
2018-02-10,29
2018-02-17,31
2018-02-24,33
2018-03-03,32
2018-03-10,30
2018-03-17,32
2018-03-24,30
2018-03-31,31
2018-04-07,27
2018-04-14,30
2018-04-21,31
2018-04-28,30
2018-05-05,29
2018-05-12,27
2018-05-19,26
2018-05-26,27
2018-06-02,26
2018-06-09,27
2018-06-16,27
2018-06-23,26
2018-06-30,25
2018-07-07,28
2018-07-14,28
2018-07-21,31
2018-07-28,28
2018-08-04,27
2018-08-11,30
2018-08-18,28
2018-08-25,27
2018-09-01,27
2018-09-08,25
2018-09-15,27
2018-09-22,27
2018-09-29,26
2018-10-06,27
2018-10-13,25
2018-10-20,26
2018-10-27,26
2018-11-03,26
2018-11-10,24
2018-11-17,20
2018-11-24,25
2018-12-01,22
2018-12-08,24
2018-12-15,22
2018-12-22,25
2018-12-29,38
2019-01-05,39
2019-01-12,34
2019-01-19,35
2019-01-26,36
2019-02-02,33
2019-02-09,35
2019-02-16,34
2019-02-23,37
2019-03-02,34
2019-03-09,33
2019-03-16,33
2019-03-23,33
2019-03-30,35
2019-04-06,37
2019-04-13,35
2019-04-20,34
2019-04-27,41
2019-05-04,36
2019-05-11,33
2019-05-18,33
2019-05-25,36
2019-06-01,41
2019-06-08,43
2019-06-15,37
2019-06-22,40
2019-06-29,39
2019-07-06,40
2019-07-13,40
2019-07-20,48
2019-07-27,43
2019-08-03,46
2019-08-10,47
2019-08-17,47
2019-08-24,54
2019-08-31,43
2019-09-07,42
2019-09-14,47
2019-09-21,46
2019-09-28,47
2019-10-05,51
2019-10-12,55
2019-10-19,99
2019-10-26,95
2019-11-02,99
2019-11-09,95
2019-11-16,95
2019-11-23,74
2019-11-30,73
2019-12-07,70
2019-12-14,62
2019-12-21,72
2019-12-28,100
2020-01-04,99
2020-01-11,86
2020-01-18,94
2020-01-25,75
2020-02-01,89
2020-02-08,72
2020-02-15,75
2020-02-22,72
2020-02-29,63
