Search Term,vegetarian
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-12-06,68
2008-12-13,67
2008-12-20,76
2008-12-27,90
2009-01-03,84
2009-01-10,79
2009-01-17,73
2009-01-24,80
2009-01-31,69
2009-02-07,70
2009-02-14,65
2009-02-21,74
2009-02-28,68
2009-03-07,67
2009-03-14,68
2009-03-21,72
2009-03-28,72
2009-04-04,78
2009-04-11,65
2009-04-18,67
2009-04-25,68
2009-05-02,63
2009-05-09,65
2009-05-16,67
2009-05-23,66
2009-05-30,64
2009-06-06,67
2009-06-13,68
2009-06-20,64
2009-06-27,68
2009-07-04,67
2009-07-11,66
2009-07-18,70
2009-07-25,70
2009-08-01,67
2009-08-08,67
2009-08-15,69
2009-08-22,68
2009-08-29,64
2009-09-05,65
2009-09-12,64
2009-09-19,72
2009-09-26,75
2009-10-03,75
2009-10-10,76
2009-10-17,75
2009-10-24,75
2009-10-31,82
2009-11-07,82
2009-11-14,86
2009-11-21,100
2009-11-28,71
2009-12-05,75
2009-12-12,71
2009-12-19,87
2009-12-26,93
2010-01-02,92
2010-01-09,85
2010-01-16,82
2010-01-23,79
2010-01-30,80
2010-02-06,82
2010-02-13,87
2010-02-20,82
2010-02-27,78
2010-03-06,77
2010-03-13,82
2010-03-20,79
2010-03-27,82
2010-04-03,70
2010-04-10,73
2010-04-17,72
2010-04-24,72
2010-05-01,70
2010-05-08,74
2010-05-15,70
2010-05-22,70
2010-05-29,71
2010-06-05,70
2010-06-12,68
2010-06-19,69
2010-06-26,68
2010-07-03,61
2010-07-10,66
2010-07-17,65
2010-07-24,67
2010-07-31,67
2010-08-07,67
2010-08-14,66
2010-08-21,64
2010-08-28,64
2010-09-04,68
2010-09-11,68
2010-09-18,73
2010-09-25,72
2010-10-02,70
2010-10-09,70
2010-10-16,71
2010-10-23,69
2010-10-30,74
2010-11-06,78
2010-11-13,80
2010-11-20,89
2010-11-27,64
2010-12-04,65
2010-12-11,66
2010-12-18,77
2010-12-25,89
2011-01-01,93
2011-01-08,82
2011-01-15,83
2011-01-22,78
2011-01-29,80
2011-02-05,85
2011-02-12,71
2011-02-19,74
2011-02-26,69
2011-03-05,72
2011-03-12,77
2011-03-19,80
2011-03-26,94
2011-04-02,77
2011-04-09,81
2011-04-16,87
2011-04-23,67
2011-04-30,72
2011-05-07,70
2011-05-14,70
2011-05-21,69
2011-05-28,68
2011-06-04,72
2011-06-11,70
2011-06-18,69
2011-06-25,85
2011-07-02,75
2011-07-09,73
2011-07-16,66
2011-07-23,68
2011-07-30,69
2011-08-06,74
2011-08-13,72
2011-08-20,72
2011-08-27,69
2011-09-03,77
2011-09-10,75
2011-09-17,75
2011-09-24,80
2011-10-01,74
2011-10-08,78
2011-10-15,80
2011-10-22,75
2011-10-29,77
2011-11-05,77
2011-11-12,83
2011-11-19,84
2011-11-26,74
2011-12-03,68
2011-12-10,70
2011-12-17,78
2011-12-24,83
2011-12-31,99
2012-01-07,90
2012-01-14,85
2012-01-21,80
2012-01-28,78
2012-02-04,75
2012-02-11,73
2012-02-18,81
2012-02-25,83
2012-03-03,78
2012-03-10,76
2012-03-17,70
2012-03-24,67
2012-03-31,76
2012-04-07,72
2012-04-14,70
2012-04-21,77
2012-04-28,71
2012-05-05,67
2012-05-12,69
2012-05-19,78
2012-05-26,67
2012-06-02,70
2012-06-09,77
2012-06-16,70
2012-06-23,67
2012-06-30,84
2012-07-07,71
2012-07-14,70
2012-07-21,68
2012-07-28,66
2012-08-04,65
2012-08-11,66
2012-08-18,63
2012-08-25,66
2012-09-01,69
2012-09-08,68
2012-09-15,67
2012-09-22,72
2012-09-29,70
2012-10-06,70
2012-10-13,70
2012-10-20,66
2012-10-27,65
2012-11-03,68
2012-11-10,80
2012-11-17,92
2012-11-24,66
2012-12-01,64
2012-12-08,67
2012-12-15,67
2012-12-22,84
2012-12-29,99
