,Search Term,vegan
0,2004-01-03,5.292199488491049
1,2004-01-10,4.601912598687869
2,2004-01-17,6.2125820082286225
3,2004-01-24,5.177151673523851
4,2004-01-31,5.062103858556655
5,2004-02-07,5.982486378294229
6,2004-02-14,5.522295118425442
7,2004-02-21,4.947056043589459
8,2004-02-28,4.832008228622262
9,2004-03-06,4.256769153786278
10,2004-03-13,5.7523907483598355
11,2004-03-20,5.982486378294229
12,2004-03-27,5.177151673523851
13,2004-04-03,5.177151673523851
14,2004-04-10,4.486864783720671
15,2004-04-17,4.716960413655065
16,2004-04-24,5.522295118425442
17,2004-05-01,4.716960413655065
18,2004-05-08,5.292199488491049
19,2004-05-15,4.601912598687869
20,2004-05-22,4.947056043589459
21,2004-05-29,5.407247303458245
22,2004-06-05,5.522295118425442
23,2004-06-12,4.947056043589459
24,2004-06-19,4.716960413655065
25,2004-06-26,5.177151673523851
26,2004-07-03,4.947056043589459
27,2004-07-10,5.982486378294229
28,2004-07-17,5.982486378294229
29,2004-07-24,5.522295118425442
30,2004-07-31,5.867438563327032
31,2004-08-07,5.062103858556655
32,2004-08-14,5.637342933392638
33,2004-08-21,5.407247303458245
34,2004-08-28,4.716960413655065
35,2004-09-04,5.407247303458245
36,2004-09-11,6.097534193261426
37,2004-09-18,4.716960413655065
38,2004-09-25,5.7523907483598355
39,2004-10-02,5.292199488491049
40,2004-10-09,5.637342933392638
41,2004-10-16,6.9028688980318025
42,2004-10-23,5.7523907483598355
43,2004-10-30,5.407247303458245
44,2004-11-06,6.2125820082286225
45,2004-11-13,7.248012342933392
46,2004-11-20,9.77906427221172
47,2004-11-27,5.867438563327032
48,2004-12-04,5.867438563327032
49,2004-12-11,5.982486378294229
50,2004-12-18,8.513538307572556
51,2004-12-25,6.097534193261426
52,2005-01-01,5.407247303458245
53,2005-01-08,5.637342933392638
54,2005-01-15,4.947056043589459
55,2005-01-22,5.522295118425442
56,2005-01-29,5.522295118425442
57,2005-02-05,5.867438563327032
58,2005-02-12,5.292199488491049
59,2005-02-19,5.7523907483598355
60,2005-02-26,5.177151673523851
61,2005-03-05,5.177151673523851
62,2005-03-12,5.867438563327032
63,2005-03-19,5.7523907483598355
64,2005-03-26,5.292199488491049
65,2005-04-02,5.407247303458245
66,2005-04-09,5.177151673523851
67,2005-04-16,5.407247303458245
68,2005-04-23,5.062103858556655
69,2005-04-30,4.947056043589459
70,2005-05-07,5.637342933392638
71,2005-05-14,5.7523907483598355
72,2005-05-21,5.292199488491049
73,2005-05-28,6.442677638163015
74,2005-06-04,5.867438563327032
75,2005-06-11,5.637342933392638
76,2005-06-18,5.292199488491049
77,2005-06-25,5.982486378294229
78,2005-07-02,6.097534193261426
79,2005-07-09,5.867438563327032
80,2005-07-16,4.947056043589459
81,2005-07-23,5.637342933392638
82,2005-07-30,5.867438563327032
83,2005-08-06,6.442677638163015
84,2005-08-13,5.867438563327032
85,2005-08-20,5.637342933392638
86,2005-08-27,5.062103858556655
87,2005-09-03,5.407247303458245
88,2005-09-10,5.407247303458245
89,2005-09-17,4.832008228622262
90,2005-09-24,5.637342933392638
91,2005-10-01,5.292199488491049
92,2005-10-08,5.062103858556655
93,2005-10-15,5.637342933392638
94,2005-10-22,5.637342933392638
95,2005-10-29,5.7523907483598355
96,2005-11-05,6.557725453130211
97,2005-11-12,6.672773268097408
98,2005-11-19,8.628586122539753
99,2005-11-26,5.867438563327032
100,2005-12-03,6.442677638163015
101,2005-12-10,6.2125820082286225
102,2005-12-17,7.248012342933392
103,2005-12-24,7.017916712998999
104,2005-12-31,5.407247303458245
105,2006-01-07,5.982486378294229
106,2006-01-14,5.062103858556655
107,2006-01-21,5.177151673523851
108,2006-01-28,5.7523907483598355
109,2006-02-04,5.637342933392638
110,2006-02-11,5.7523907483598355
111,2006-02-18,5.867438563327032
112,2006-02-25,5.407247303458245
113,2006-03-04,5.522295118425442
114,2006-03-11,6.2125820082286225
115,2006-03-18,5.982486378294229
116,2006-03-25,5.867438563327032
117,2006-04-01,5.177151673523851
118,2006-04-08,5.7523907483598355
119,2006-04-15,5.407247303458245
120,2006-04-22,5.522295118425442
121,2006-04-29,5.522295118425442
122,2006-05-06,5.292199488491049
123,2006-05-13,5.062103858556655
124,2006-05-20,5.407247303458245
125,2006-05-27,5.7523907483598355
126,2006-06-03,5.292199488491049
127,2006-06-10,5.7523907483598355
128,2006-06-17,5.522295118425442
129,2006-06-24,5.7523907483598355
130,2006-07-01,5.982486378294229
131,2006-07-08,5.292199488491049
132,2006-07-15,5.292199488491049
133,2006-07-22,7.478107972867785
134,2006-07-29,6.32762982319582
135,2006-08-05,6.097534193261426
136,2006-08-12,5.522295118425442
137,2006-08-19,5.407247303458245
138,2006-08-26,5.292199488491049
139,2006-09-02,5.637342933392638
140,2006-09-09,5.177151673523851
141,2006-09-16,5.062103858556655
142,2006-09-23,5.407247303458245
143,2006-09-30,5.982486378294229
144,2006-10-07,5.867438563327032
145,2006-10-14,5.982486378294229
146,2006-10-21,6.097534193261426
147,2006-10-28,6.097534193261426
148,2006-11-04,5.982486378294229
149,2006-11-11,6.9028688980318025
150,2006-11-18,8.74363393750695
151,2006-11-25,5.407247303458245
152,2006-12-02,5.7523907483598355
153,2006-12-09,5.7523907483598355
154,2006-12-16,6.32762982319582
155,2006-12-23,6.9028688980318025
156,2006-12-30,6.442677638163015
157,2007-01-06,6.097534193261426
158,2007-01-13,5.867438563327032
159,2007-01-20,6.097534193261426
160,2007-01-27,6.097534193261426
161,2007-02-03,5.7523907483598355
