Search Term,plant-based
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-12-06,0
2008-12-13,0
2008-12-20,31
2008-12-27,0
2009-01-03,0
2009-01-10,0
2009-01-17,34
2009-01-24,0
2009-01-31,45
2009-02-07,24
2009-02-14,0
2009-02-21,38
2009-02-28,29
2009-03-07,27
2009-03-14,0
2009-03-21,0
2009-03-28,19
2009-04-04,54
2009-04-11,0
2009-04-18,20
2009-04-25,0
2009-05-02,26
2009-05-09,22
2009-05-16,0
2009-05-23,23
2009-05-30,0
2009-06-06,0
2009-06-13,47
2009-06-20,58
2009-06-27,68
2009-07-04,65
2009-07-11,0
2009-07-18,37
2009-07-25,0
2009-08-01,0
2009-08-08,0
2009-08-15,0
2009-08-22,0
2009-08-29,0
2009-09-05,73
2009-09-12,0
2009-09-19,27
2009-09-26,21
2009-10-03,0
2009-10-10,0
2009-10-17,0
2009-10-24,0
2009-10-31,0
2009-11-07,29
2009-11-14,22
2009-11-21,0
2009-11-28,21
2009-12-05,0
2009-12-12,0
2009-12-19,24
2009-12-26,0
2010-01-02,25
2010-01-09,0
2010-01-16,22
2010-01-23,0
2010-01-30,0
2010-02-06,30
2010-02-13,0
2010-02-20,33
2010-02-27,0
2010-03-06,0
2010-03-13,26
2010-03-20,0
2010-03-27,24
2010-04-03,0
2010-04-10,28
2010-04-17,46
2010-04-24,0
2010-05-01,0
2010-05-08,48
2010-05-15,0
2010-05-22,0
2010-05-29,0
2010-06-05,28
2010-06-12,0
2010-06-19,32
2010-06-26,0
2010-07-03,0
2010-07-10,23
2010-07-17,0
2010-07-24,21
2010-07-31,22
2010-08-07,0
2010-08-14,0
2010-08-21,32
2010-08-28,0
2010-09-04,0
2010-09-11,0
2010-09-18,100
2010-09-25,36
2010-10-02,0
2010-10-09,25
2010-10-16,38
2010-10-23,22
2010-10-30,27
2010-11-06,16
2010-11-13,14
2010-11-20,33
2010-11-27,0
2010-12-04,23
2010-12-11,20
2010-12-18,21
2010-12-25,16
2011-01-01,0
2011-01-08,17
2011-01-15,0
2011-01-22,20
2011-01-29,54
2011-02-05,34
2011-02-12,0
2011-02-19,44
2011-02-26,13
2011-03-05,22
2011-03-12,23
2011-03-19,44
2011-03-26,20
2011-04-02,29
2011-04-09,24
2011-04-16,14
2011-04-23,44
2011-04-30,0
2011-05-07,27
2011-05-14,15
2011-05-21,0
2011-05-28,0
2011-06-04,0
2011-06-11,29
2011-06-18,0
2011-06-25,18
2011-07-02,0
2011-07-09,27
2011-07-16,20
2011-07-23,20
2011-07-30,16
2011-08-06,22
2011-08-13,0
2011-08-20,20
2011-08-27,45
2011-09-03,52
2011-09-10,44
2011-09-17,31
2011-09-24,54
2011-10-01,0
2011-10-08,39
2011-10-15,49
2011-10-22,15
2011-10-29,22
2011-11-05,35
2011-11-12,37
2011-11-19,28
2011-11-26,10
2011-12-03,40
2011-12-10,0
2011-12-17,19
2011-12-24,0
2011-12-31,26
2012-01-07,19
2012-01-14,47
2012-01-21,50
2012-01-28,42
2012-02-04,53
2012-02-11,34
2012-02-18,42
2012-02-25,35
2012-03-03,29
2012-03-10,34
2012-03-17,36
2012-03-24,9
2012-03-31,53
2012-04-07,46
2012-04-14,20
2012-04-21,45
2012-04-28,26
2012-05-05,26
2012-05-12,19
2012-05-19,0
2012-05-26,39
2012-06-02,44
2012-06-09,27
2012-06-16,24
2012-06-23,21
2012-06-30,9
2012-07-07,56
2012-07-14,37
2012-07-21,13
2012-07-28,18
2012-08-04,28
2012-08-11,23
2012-08-18,39
2012-08-25,42
2012-09-01,42
2012-09-08,48
2012-09-15,31
2012-09-22,30
2012-09-29,61
2012-10-06,18
2012-10-13,30
2012-10-20,37
2012-10-27,24
2012-11-03,14
2012-11-10,36
2012-11-17,39
2012-11-24,14
2012-12-01,11
2012-12-08,28
2012-12-15,49
2012-12-22,0
2012-12-29,40
