Search Term,plant based
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-12-06,25
2008-12-13,13
2008-12-20,0
2008-12-27,5
2009-01-03,12
2009-01-10,7
2009-01-17,8
2009-01-24,11
2009-01-31,9
2009-02-07,19
2009-02-14,13
2009-02-21,9
2009-02-28,8
2009-03-07,12
2009-03-14,7
2009-03-21,10
2009-03-28,12
2009-04-04,7
2009-04-11,15
2009-04-18,15
2009-04-25,9
2009-05-02,7
2009-05-09,0
2009-05-16,12
2009-05-23,17
2009-05-30,17
2009-06-06,14
2009-06-13,9
2009-06-20,8
2009-06-27,14
2009-07-04,15
2009-07-11,8
2009-07-18,11
2009-07-25,17
2009-08-01,11
2009-08-08,13
2009-08-15,15
2009-08-22,7
2009-08-29,11
2009-09-05,8
2009-09-12,13
2009-09-19,22
2009-09-26,9
2009-10-03,8
2009-10-10,8
2009-10-17,13
2009-10-24,11
2009-10-31,18
2009-11-07,16
2009-11-14,14
2009-11-21,13
2009-11-28,17
2009-12-05,8
2009-12-12,9
2009-12-19,19
2009-12-26,10
2010-01-02,12
2010-01-09,14
2010-01-16,13
2010-01-23,11
2010-01-30,16
2010-02-06,16
2010-02-13,10
2010-02-20,18
2010-02-27,19
2010-03-06,15
2010-03-13,18
2010-03-20,20
2010-03-27,20
2010-04-03,20
2010-04-10,10
2010-04-17,24
2010-04-24,27
2010-05-01,16
2010-05-08,18
2010-05-15,11
2010-05-22,0
2010-05-29,11
2010-06-05,22
2010-06-12,17
2010-06-19,20
2010-06-26,9
2010-07-03,9
2010-07-10,4
2010-07-17,9
2010-07-24,16
2010-07-31,14
2010-08-07,11
2010-08-14,16
2010-08-21,8
2010-08-28,13
2010-09-04,21
2010-09-11,16
2010-09-18,74
2010-09-25,35
2010-10-02,28
2010-10-09,10
2010-10-16,15
2010-10-23,16
2010-10-30,13
2010-11-06,13
2010-11-13,18
2010-11-20,10
2010-11-27,19
2010-12-04,10
2010-12-11,9
2010-12-18,11
2010-12-25,15
2011-01-01,22
2011-01-08,24
2011-01-15,20
2011-01-22,23
2011-01-29,33
2011-02-05,17
2011-02-12,25
2011-02-19,18
2011-02-26,24
2011-03-05,23
2011-03-12,26
2011-03-19,26
2011-03-26,25
2011-04-02,29
2011-04-09,29
2011-04-16,28
2011-04-23,47
2011-04-30,23
2011-05-07,30
2011-05-14,34
2011-05-21,24
2011-05-28,26
2011-06-04,17
2011-06-11,18
2011-06-18,20
2011-06-25,20
2011-07-02,24
2011-07-09,23
2011-07-16,23
2011-07-23,17
2011-07-30,19
2011-08-06,19
2011-08-13,28
2011-08-20,31
2011-08-27,55
2011-09-03,100
2011-09-10,81
2011-09-17,92
2011-09-24,87
2011-10-01,71
2011-10-08,69
2011-10-15,60
2011-10-22,69
2011-10-29,60
2011-11-05,68
2011-11-12,49
2011-11-19,47
2011-11-26,58
2011-12-03,42
2011-12-10,37
2011-12-17,50
2011-12-24,61
2011-12-31,60
2012-01-07,74
2012-01-14,73
2012-01-21,78
2012-01-28,73
2012-02-04,76
2012-02-11,71
2012-02-18,69
2012-02-25,84
2012-03-03,78
2012-03-10,66
2012-03-17,72
2012-03-24,65
2012-03-31,49
2012-04-07,78
2012-04-14,83
2012-04-21,74
2012-04-28,62
2012-05-05,51
2012-05-12,55
2012-05-19,68
2012-05-26,67
2012-06-02,64
2012-06-09,57
2012-06-16,50
2012-06-23,71
2012-06-30,61
2012-07-07,66
2012-07-14,66
2012-07-21,47
2012-07-28,57
2012-08-04,54
2012-08-11,43
2012-08-18,57
2012-08-25,78
2012-09-01,58
2012-09-08,53
2012-09-15,58
2012-09-22,61
2012-09-29,58
2012-10-06,54
2012-10-13,42
2012-10-20,52
2012-10-27,54
2012-11-03,51
2012-11-10,50
2012-11-17,55
2012-11-24,50
2012-12-01,57
2012-12-08,47
2012-12-15,37
2012-12-22,63
2012-12-29,74
