Search Term,diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,91
2020-02-01,88
2020-02-08,91
2020-02-15,93
2020-02-22,87
2020-02-29,81
2020-03-07,70
2020-03-14,50
2020-03-21,45
2020-03-28,57
2020-04-04,62
2020-04-11,71
2020-04-18,79
2020-04-25,81
2020-05-02,84
2020-05-09,86
2020-05-16,90
2020-05-23,92
2020-05-30,93
2020-06-06,88
2020-06-13,86
2020-06-20,92
2020-06-27,93
2020-07-04,95
2020-07-11,91
2020-07-18,94
2020-07-25,80
2020-08-01,86
2020-08-08,83
2020-08-15,82
2020-08-22,80
2020-08-29,87
2020-09-05,85
2020-09-12,84
2020-09-19,78
2020-09-26,77
2020-10-03,79
2020-10-10,75
2020-10-17,72
2020-10-24,69
2020-10-31,64
2020-11-07,66
2020-11-14,67
2020-11-21,61
2020-11-28,69
2020-12-05,67
2020-12-12,61
2020-12-19,61
2020-12-26,98
2021-01-02,100
2021-01-09,91
2021-01-16,89
2021-01-23,86
2021-01-30,81
2021-02-06,81
2021-02-13,76
2021-02-20,81
2021-02-27,84
2021-03-06,77
2021-03-13,79
2021-03-20,78
2021-03-27,77
2021-04-03,80
2021-04-10,76
2021-04-17,73
2021-04-24,72
2021-05-01,72
2021-05-08,76
2021-05-15,77
2021-05-22,79
2021-05-29,78
2021-06-05,73
2021-06-12,75
2021-06-19,74
2021-06-26,75
2021-07-03,72
2021-07-10,73
2021-07-17,71
2021-07-24,69
2021-07-31,68
2021-08-07,69
2021-08-14,65
2021-08-21,69
2021-08-28,64
2021-09-04,64
2021-09-11,62
2021-09-18,65
2021-09-25,64
2021-10-02,63
2021-10-09,60
2021-10-16,60
2021-10-23,56
2021-10-30,53
2021-11-06,59
2021-11-13,55
2021-11-20,49
2021-11-27,55
2021-12-04,54
2021-12-11,50
2021-12-18,46
2021-12-25,70
2022-01-01,80
2022-01-08,69
2022-01-15,62
2022-01-22,66
2022-01-29,70
2022-02-05,61
2022-02-12,65
2022-02-19,69
2022-02-26,66
2022-03-05,68
2022-03-12,66
2022-03-19,65
2022-03-26,64
2022-04-02,64
2022-04-09,60
2022-04-16,68
2022-04-23,63
2022-04-30,64
2022-05-07,63
2022-05-14,60
2022-05-21,59
2022-05-28,58
2022-06-04,62
2022-06-11,63
2022-06-18,62
2022-06-25,61
2022-07-02,62
2022-07-09,62
2022-07-16,63
2022-07-23,60
2022-07-30,60
2022-08-06,56
2022-08-13,59
2022-08-20,59
2022-08-27,57
2022-09-03,55
2022-09-10,56
2022-09-17,54
2022-09-24,55
2022-10-01,50
2022-10-08,53
2022-10-15,49
2022-10-22,50
2022-10-29,55
2022-11-05,53
2022-11-12,48
2022-11-19,46
2022-11-26,48
2022-12-03,48
2022-12-10,46
2022-12-17,41
2022-12-24,58
2022-12-31,73
2023-01-07,61
2023-01-14,60
2023-01-21,60
2023-01-28,58
2023-02-04,59
2023-02-11,56
2023-02-18,60
2023-02-25,59
2023-03-04,54
2023-03-11,59
2023-03-18,60
2023-03-25,57
2023-04-01,56
2023-04-08,58
2023-04-15,55
2023-04-22,60
2023-04-29,59
2023-05-06,56
2023-05-13,58
2023-05-20,55
2023-05-27,57
2023-06-03,59
2023-06-10,58
2023-06-17,57
2023-06-24,55
2023-07-01,60
2023-07-08,55
2023-07-15,60
2023-07-22,56
2023-07-29,57
2023-08-05,54
2023-08-12,57
2023-08-19,53
2023-08-26,54
2023-09-02,53
2023-09-09,53
2023-09-16,50
2023-09-23,52
2023-09-30,51
2023-10-07,52
2023-10-14,50
2023-10-21,48
2023-10-28,52
2023-11-04,46
2023-11-11,44
2023-11-18,47
2023-11-25,49
2023-12-02,46
2023-12-09,45
2023-12-16,45
2023-12-23,54
2023-12-30,69
2024-01-06,58
2024-01-13,53
2024-01-20,52
2024-01-27,52
2024-02-03,50
2024-02-10,50
2024-02-17,53
2024-02-24,52
2024-03-02,49
2024-03-09,49
2024-03-16,50
2024-03-23,49
2024-03-30,51
2024-04-06,51
2024-04-13,49
2024-04-20,52
2024-04-27,50
2024-05-04,49
2024-05-11,48
2024-05-18,47
2024-05-25,51
