,Search Term,restaurant
0,2003-12-27,56.458456638403845
1,2004-01-03,61.835452508728025
2,2004-01-10,69.9009463142143
3,2004-01-17,69.00478033582692
4,2004-01-24,69.9009463142143
5,2004-01-31,69.9009463142143
6,2004-02-07,89.61659783873627
7,2004-02-14,65.42011642227747
8,2004-02-21,63.62778446550274
9,2004-02-28,60.93928653034067
10,2004-03-06,66.31628240066483
11,2004-03-13,63.62778446550274
12,2004-03-20,63.62778446550274
13,2004-03-27,62.731618487115384
14,2004-04-03,62.731618487115384
15,2004-04-10,64.52395044389012
16,2004-04-17,62.731618487115384
17,2004-04-24,65.42011642227747
18,2004-05-01,69.9009463142143
19,2004-05-08,62.731618487115384
20,2004-05-15,60.93928653034067
21,2004-05-22,61.835452508728025
22,2004-05-29,63.62778446550274
23,2004-06-05,70.79711229260165
24,2004-06-12,62.731618487115384
25,2004-06-19,64.52395044389012
26,2004-06-26,63.62778446550274
27,2004-07-03,64.52395044389012
28,2004-07-10,64.52395044389012
29,2004-07-17,68.10861435743956
30,2004-07-24,69.9009463142143
31,2004-07-31,67.2124483790522
32,2004-08-07,69.9009463142143
33,2004-08-14,64.52395044389012
34,2004-08-21,66.31628240066483
35,2004-08-28,60.93928653034067
36,2004-09-04,60.0431205519533
37,2004-09-11,60.93928653034067
38,2004-09-18,61.835452508728025
39,2004-09-25,61.835452508728025
40,2004-10-02,63.62778446550274
41,2004-10-09,63.62778446550274
42,2004-10-16,67.2124483790522
43,2004-10-23,61.835452508728025
44,2004-10-30,67.2124483790522
45,2004-11-06,69.00478033582692
46,2004-11-13,69.00478033582692
47,2004-11-20,66.31628240066483
48,2004-11-27,69.9009463142143
49,2004-12-04,69.00478033582692
50,2004-12-11,71.69327827098901
51,2004-12-18,63.62778446550274
52,2004-12-25,68.10861435743956
53,2005-01-01,61.835452508728025
54,2005-01-08,70.79711229260165
55,2005-01-15,64.52395044389012
56,2005-01-22,68.10861435743956
57,2005-01-29,71.69327827098901
58,2005-02-05,79.75877207647528
59,2005-02-12,80.65493805486264
60,2005-02-19,69.9009463142143
61,2005-02-26,67.2124483790522
62,2005-03-05,65.42011642227747
63,2005-03-12,63.62778446550274
64,2005-03-19,66.31628240066483
65,2005-03-26,65.42011642227747
66,2005-04-02,65.42011642227747
67,2005-04-09,66.31628240066483
68,2005-04-16,66.31628240066483
69,2005-04-23,65.42011642227747
70,2005-04-30,75.27794218453846
71,2005-05-07,65.42011642227747
72,2005-05-14,60.0431205519533
73,2005-05-21,63.62778446550274
74,2005-05-28,65.42011642227747
75,2005-06-04,64.52395044389012
76,2005-06-11,66.31628240066483
77,2005-06-18,66.31628240066483
78,2005-06-25,62.731618487115384
79,2005-07-02,64.52395044389012
80,2005-07-09,66.31628240066483
81,2005-07-16,70.79711229260165
82,2005-07-23,67.2124483790522
83,2005-07-30,72.58944424937637
84,2005-08-06,69.9009463142143
85,2005-08-13,69.9009463142143
86,2005-08-20,70.79711229260165
87,2005-08-27,60.93928653034067
88,2005-09-03,60.93928653034067
89,2005-09-10,64.52395044389012
90,2005-09-17,65.42011642227747
91,2005-09-24,64.52395044389012
92,2005-10-01,68.10861435743956
93,2005-10-08,67.2124483790522
94,2005-10-15,67.2124483790522
95,2005-10-22,66.31628240066483
96,2005-10-29,69.00478033582692
97,2005-11-05,72.58944424937637
98,2005-11-12,72.58944424937637
99,2005-11-19,65.42011642227747
100,2005-11-26,70.79711229260165
101,2005-12-03,71.69327827098901
102,2005-12-10,75.27794218453846
103,2005-12-17,69.00478033582692
104,2005-12-24,69.00478033582692
105,2005-12-31,66.31628240066483
106,2006-01-07,69.9009463142143
107,2006-01-14,68.10861435743956
108,2006-01-21,71.69327827098901
109,2006-01-28,72.58944424937637
110,2006-02-04,70.79711229260165
111,2006-02-11,81.55110403325
112,2006-02-18,65.42011642227747
113,2006-02-25,65.42011642227747
114,2006-03-04,62.731618487115384
115,2006-03-11,62.731618487115384
116,2006-03-18,64.52395044389012
117,2006-03-25,66.31628240066483
118,2006-04-01,63.62778446550274
119,2006-04-08,62.731618487115384
120,2006-04-15,61.835452508728025
121,2006-04-22,63.62778446550274
122,2006-04-29,62.731618487115384
123,2006-05-06,68.10861435743956
124,2006-05-13,64.52395044389012
125,2006-05-20,64.52395044389012
126,2006-05-27,56.458456638403845
127,2006-06-03,60.93928653034067
128,2006-06-10,63.62778446550274
129,2006-06-17,63.62778446550274
130,2006-06-24,62.731618487115384
131,2006-07-01,62.731618487115384
132,2006-07-08,65.42011642227747
133,2006-07-15,65.42011642227747
134,2006-07-22,69.9009463142143
135,2006-07-29,65.42011642227747
136,2006-08-05,69.00478033582692
137,2006-08-12,70.79711229260165
138,2006-08-19,67.2124483790522
139,2006-08-26,60.0431205519533
140,2006-09-02,64.52395044389012
141,2006-09-09,61.835452508728025
142,2006-09-16,61.835452508728025
143,2006-09-23,64.52395044389012
144,2006-09-30,69.9009463142143
145,2006-10-07,66.31628240066483
146,2006-10-14,68.10861435743956
147,2006-10-21,68.10861435743956
148,2006-10-28,70.79711229260165
149,2006-11-04,66.31628240066483
150,2006-11-11,68.10861435743956
151,2006-11-18,65.42011642227747
152,2006-11-25,68.10861435743956
153,2006-12-02,72.58944424937637
154,2006-12-09,72.58944424937637
155,2006-12-16,67.2124483790522
156,2006-12-23,67.2124483790522
157,2006-12-30,64.52395044389012
158,2007-01-06,68.10861435743956
159,2007-01-13,62.731618487115384
160,2007-01-20,69.00478033582692
161,2007-01-27,71.69327827098901
162,2007-02-03,70.79711229260165
163,2007-02-10,83.34343599002473
