Search Term,recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,53
2008-12-06,62
2008-12-13,69
2008-12-20,83
2008-12-27,73
2009-01-03,62
2009-01-10,58
2009-01-17,54
2009-01-24,62
2009-01-31,52
2009-02-07,53
2009-02-14,51
2009-02-21,52
2009-02-28,51
2009-03-07,51
2009-03-14,49
2009-03-21,50
2009-03-28,52
2009-04-04,63
2009-04-11,51
2009-04-18,49
2009-04-25,50
2009-05-02,54
2009-05-09,49
2009-05-16,52
2009-05-23,51
2009-05-30,54
2009-06-06,56
2009-06-13,54
2009-06-20,53
2009-06-27,61
2009-07-04,57
2009-07-11,56
2009-07-18,59
2009-07-25,59
2009-08-01,55
2009-08-08,62
2009-08-15,57
2009-08-22,61
2009-08-29,57
2009-09-05,59
2009-09-12,58
2009-09-19,61
2009-09-26,60
2009-10-03,66
2009-10-10,65
2009-10-17,64
2009-10-24,70
2009-10-31,64
2009-11-07,65
2009-11-14,73
2009-11-21,94
2009-11-28,64
2009-12-05,70
2009-12-12,82
2009-12-19,100
2009-12-26,82
2010-01-02,75
2010-01-09,71
2010-01-16,70
2010-01-23,69
2010-01-30,71
2010-02-06,69
2010-02-13,66
2010-02-20,63
2010-02-27,61
2010-03-06,60
2010-03-13,60
2010-03-20,63
2010-03-27,75
2010-04-03,56
2010-04-10,56
2010-04-17,57
2010-04-24,59
2010-05-01,61
2010-05-08,58
2010-05-15,58
2010-05-22,55
2010-05-29,55
2010-06-05,56
2010-06-12,54
2010-06-19,57
2010-06-26,59
2010-07-03,59
2010-07-10,59
2010-07-17,58
2010-07-24,59
2010-07-31,56
2010-08-07,58
2010-08-14,58
2010-08-21,57
2010-08-28,56
2010-09-04,57
2010-09-11,59
2010-09-18,57
2010-09-25,58
2010-10-02,60
2010-10-09,54
2010-10-16,62
2010-10-23,64
2010-10-30,63
2010-11-06,62
2010-11-13,71
2010-11-20,84
2010-11-27,59
2010-12-04,63
2010-12-11,70
2010-12-18,95
2010-12-25,74
2011-01-01,68
2011-01-08,67
2011-01-15,70
2011-01-22,65
2011-01-29,67
2011-02-05,66
2011-02-12,56
2011-02-19,56
2011-02-26,55
2011-03-05,57
2011-03-12,54
2011-03-19,55
2011-03-26,55
2011-04-02,52
2011-04-09,56
2011-04-16,67
2011-04-23,51
2011-04-30,53
2011-05-07,51
2011-05-14,53
2011-05-21,55
2011-05-28,53
2011-06-04,52
2011-06-11,57
2011-06-18,57
2011-06-25,58
2011-07-02,58
2011-07-09,57
2011-07-16,59
2011-07-23,58
2011-07-30,62
2011-08-06,61
2011-08-13,60
2011-08-20,63
2011-08-27,60
2011-09-03,59
2011-09-10,59
2011-09-17,59
2011-09-24,67
2011-10-01,64
2011-10-08,62
2011-10-15,61
2011-10-22,68
2011-10-29,62
2011-11-05,65
2011-11-12,70
2011-11-19,83
2011-11-26,60
2011-12-03,63
2011-12-10,71
2011-12-17,95
2011-12-24,76
2011-12-31,70
2012-01-07,70
2012-01-14,69
2012-01-21,65
2012-01-28,67
2012-02-04,62
2012-02-11,61
2012-02-18,63
2012-02-25,59
2012-03-03,57
2012-03-10,56
2012-03-17,54
2012-03-24,53
2012-03-31,63
2012-04-07,53
2012-04-14,53
2012-04-21,55
2012-04-28,55
2012-05-05,54
2012-05-12,54
2012-05-19,57
2012-05-26,54
2012-06-02,54
2012-06-09,56
2012-06-16,56
2012-06-23,56
2012-06-30,60
2012-07-07,58
2012-07-14,57
2012-07-21,60
2012-07-28,55
2012-08-04,56
2012-08-11,58
2012-08-18,58
2012-08-25,57
2012-09-01,56
2012-09-08,58
2012-09-15,58
2012-09-22,57
2012-09-29,62
2012-10-06,60
2012-10-13,57
2012-10-20,62
2012-10-27,57
2012-11-03,57
2012-11-10,63
2012-11-17,74
2012-11-24,52
2012-12-01,57
2012-12-08,59
2012-12-15,68
2012-12-22,71
2012-12-29,70
