Search Term,recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,59
2016-12-03,64
2016-12-10,71
2016-12-17,98
2016-12-24,78
2016-12-31,67
2017-01-07,63
2017-01-14,63
2017-01-21,58
2017-01-28,58
2017-02-04,59
2017-02-11,58
2017-02-18,55
2017-02-25,58
2017-03-04,55
2017-03-11,58
2017-03-18,54
2017-03-25,55
2017-04-01,54
2017-04-08,64
2017-04-15,53
2017-04-22,52
2017-04-29,54
2017-05-06,54
2017-05-13,53
2017-05-20,56
2017-05-27,56
2017-06-03,55
2017-06-10,57
2017-06-17,58
2017-06-24,58
2017-07-01,66
2017-07-08,58
2017-07-15,59
2017-07-22,54
2017-07-29,57
2017-08-05,59
2017-08-12,56
2017-08-19,54
2017-08-26,58
2017-09-02,58
2017-09-09,54
2017-09-16,57
2017-09-23,60
2017-09-30,59
2017-10-07,61
2017-10-14,60
2017-10-21,56
2017-10-28,60
2017-11-04,60
2017-11-11,64
2017-11-18,88
2017-11-25,58
2017-12-02,62
2017-12-09,69
2017-12-16,93
2017-12-23,87
2017-12-30,74
2018-01-06,61
2018-01-13,62
2018-01-20,61
2018-01-27,61
2018-02-03,63
2018-02-10,64
2018-02-17,59
2018-02-24,59
2018-03-03,57
2018-03-10,58
2018-03-17,55
2018-03-24,64
2018-03-31,57
2018-04-07,55
2018-04-14,52
2018-04-21,51
2018-04-28,53
2018-05-05,53
2018-05-12,51
2018-05-19,57
2018-05-26,57
2018-06-02,54
2018-06-09,56
2018-06-16,53
2018-06-23,54
2018-06-30,58
2018-07-07,56
2018-07-14,56
2018-07-21,57
2018-07-28,55
2018-08-04,56
2018-08-11,57
2018-08-18,56
2018-08-25,56
2018-09-01,57
2018-09-08,54
2018-09-15,55
2018-09-22,54
2018-09-29,56
2018-10-06,55
2018-10-13,56
2018-10-20,55
2018-10-27,60
2018-11-03,56
2018-11-10,64
2018-11-17,87
2018-11-24,62
2018-12-01,64
2018-12-08,68
2018-12-15,81
2018-12-22,93
2018-12-29,71
2019-01-05,63
2019-01-12,61
2019-01-19,62
2019-01-26,62
2019-02-02,57
2019-02-09,59
2019-02-16,55
2019-02-23,57
2019-03-02,59
2019-03-09,54
2019-03-16,55
2019-03-23,52
2019-03-30,50
2019-04-06,50
2019-04-13,55
2019-04-20,51
2019-04-27,55
2019-05-04,57
2019-05-11,53
2019-05-18,53
2019-05-25,55
2019-06-01,51
2019-06-08,54
2019-06-15,55
2019-06-22,57
2019-06-29,57
2019-07-06,57
2019-07-13,58
2019-07-20,57
2019-07-27,55
2019-08-03,56
2019-08-10,56
2019-08-17,58
2019-08-24,57
2019-08-31,55
2019-09-07,55
2019-09-14,55
2019-09-21,56
2019-09-28,56
2019-10-05,58
2019-10-12,59
2019-10-19,58
2019-10-26,61
2019-11-02,61
2019-11-09,63
2019-11-16,69
2019-11-23,89
2019-11-30,59
2019-12-07,63
2019-12-14,78
2019-12-21,100
2019-12-28,75
2020-01-04,64
2020-01-11,64
2020-01-18,61
2020-01-25,58
2020-02-01,58
2020-02-08,58
2020-02-15,58
2020-02-22,59
2020-02-29,57
