Search Term,diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,27
2008-12-06,25
2008-12-13,25
2008-12-20,24
2008-12-27,53
2009-01-03,54
2009-01-10,46
2009-01-17,37
2009-01-24,40
2009-01-31,35
2009-02-07,34
2009-02-14,36
2009-02-21,39
2009-02-28,38
2009-03-07,36
2009-03-14,34
2009-03-21,46
2009-03-28,42
2009-04-04,43
2009-04-11,42
2009-04-18,42
2009-04-25,43
2009-05-02,42
2009-05-09,45
2009-05-16,43
2009-05-23,47
2009-05-30,48
2009-06-06,48
2009-06-13,46
2009-06-20,45
2009-06-27,47
2009-07-04,49
2009-07-11,51
2009-07-18,51
2009-07-25,52
2009-08-01,50
2009-08-08,54
2009-08-15,52
2009-08-22,49
2009-08-29,46
2009-09-05,45
2009-09-12,47
2009-09-19,52
2009-09-26,56
2009-10-03,48
2009-10-10,50
2009-10-17,49
2009-10-24,51
2009-10-31,51
2009-11-07,48
2009-11-14,47
2009-11-21,44
2009-11-28,48
2009-12-05,48
2009-12-12,43
2009-12-19,42
2009-12-26,77
2010-01-02,90
2010-01-09,70
2010-01-16,65
2010-01-23,67
2010-01-30,65
2010-02-06,63
2010-02-13,69
2010-02-20,63
2010-02-27,64
2010-03-06,63
2010-03-13,61
2010-03-20,65
2010-03-27,66
2010-04-03,68
2010-04-10,63
2010-04-17,66
2010-04-24,63
2010-05-01,61
2010-05-08,62
2010-05-15,58
2010-05-22,62
2010-05-29,63
2010-06-05,58
2010-06-12,56
2010-06-19,53
2010-06-26,64
2010-07-03,58
2010-07-10,63
2010-07-17,58
2010-07-24,57
2010-07-31,56
2010-08-07,56
2010-08-14,55
2010-08-21,53
2010-08-28,51
2010-09-04,51
2010-09-11,53
2010-09-18,50
2010-09-25,47
2010-10-02,56
2010-10-09,54
2010-10-16,48
2010-10-23,51
2010-10-30,50
2010-11-06,45
2010-11-13,44
2010-11-20,41
2010-11-27,45
2010-12-04,37
2010-12-11,39
2010-12-18,37
2010-12-25,61
2011-01-01,95
2011-01-08,72
2011-01-15,67
2011-01-22,64
2011-01-29,63
2011-02-05,59
2011-02-12,58
2011-02-19,65
2011-02-26,65
2011-03-05,63
2011-03-12,59
2011-03-19,73
2011-03-26,69
2011-04-02,70
2011-04-09,59
2011-04-16,80
2011-04-23,77
2011-04-30,78
2011-05-07,75
2011-05-14,68
2011-05-21,69
2011-05-28,75
2011-06-04,71
2011-06-11,72
2011-06-18,73
2011-06-25,68
2011-07-02,67
2011-07-09,74
2011-07-16,76
2011-07-23,71
2011-07-30,74
2011-08-06,65
2011-08-13,69
2011-08-20,64
2011-08-27,61
2011-09-03,66
2011-09-10,72
2011-09-17,68
2011-09-24,63
2011-10-01,55
2011-10-08,59
2011-10-15,52
2011-10-22,52
2011-10-29,50
2011-11-05,61
2011-11-12,55
2011-11-19,46
2011-11-26,56
2011-12-03,44
2011-12-10,43
2011-12-17,39
2011-12-24,62
2011-12-31,100
2012-01-07,79
2012-01-14,74
2012-01-21,70
2012-01-28,67
2012-02-04,67
2012-02-11,61
2012-02-18,72
2012-02-25,67
2012-03-03,69
2012-03-10,69
2012-03-17,70
2012-03-24,67
2012-03-31,69
2012-04-07,73
2012-04-14,79
2012-04-21,72
2012-04-28,75
2012-05-05,69
2012-05-12,74
2012-05-19,72
2012-05-26,73
2012-06-02,76
2012-06-09,78
2012-06-16,75
2012-06-23,79
2012-06-30,77
2012-07-07,81
2012-07-14,75
2012-07-21,79
2012-07-28,75
2012-08-04,78
2012-08-11,72
2012-08-18,71
2012-08-25,72
2012-09-01,70
2012-09-08,68
2012-09-15,63
2012-09-22,59
2012-09-29,60
2012-10-06,59
2012-10-13,58
2012-10-20,53
2012-10-27,54
2012-11-03,55
2012-11-10,58
2012-11-17,54
2012-11-24,63
2012-12-01,56
2012-12-08,47
2012-12-15,41
2012-12-22,58
2012-12-29,97
