Search Term,restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,65
2012-12-01,68
2012-12-08,67
2012-12-15,67
2012-12-22,83
2012-12-29,82
2013-01-05,69
2013-01-12,66
2013-01-19,72
2013-01-26,65
2013-02-02,71
2013-02-09,84
2013-02-16,73
2013-02-23,70
2013-03-02,70
2013-03-09,74
2013-03-16,73
2013-03-23,72
2013-03-30,72
2013-04-06,68
2013-04-13,71
2013-04-20,72
2013-04-27,74
2013-05-04,72
2013-05-11,77
2013-05-18,73
2013-05-25,75
2013-06-01,68
2013-06-08,75
2013-06-15,76
2013-06-22,79
2013-06-29,81
2013-07-06,78
2013-07-13,79
2013-07-20,80
2013-07-27,80
2013-08-03,76
2013-08-10,77
2013-08-17,71
2013-08-24,70
2013-08-31,62
2013-09-07,61
2013-09-14,61
2013-09-21,61
2013-09-28,61
2013-10-05,61
2013-10-12,63
2013-10-19,60
2013-10-26,60
2013-11-02,61
2013-11-09,60
2013-11-16,58
2013-11-23,57
2013-11-30,55
2013-12-07,56
2013-12-14,58
2013-12-21,75
2013-12-28,73
2014-01-04,60
2014-01-11,63
2014-01-18,59
2014-01-25,58
2014-02-01,60
2014-02-08,77
2014-02-15,63
2014-02-22,63
2014-03-01,62
2014-03-08,62
2014-03-15,62
2014-03-22,66
2014-03-29,61
2014-04-05,60
2014-04-12,67
2014-04-19,65
2014-04-26,65
2014-05-03,68
2014-05-10,65
2014-05-17,61
2014-05-24,66
2014-05-31,62
2014-06-07,67
2014-06-14,67
2014-06-21,67
2014-06-28,67
2014-07-05,73
2014-07-12,71
2014-07-19,73
2014-07-26,70
2014-08-02,73
2014-08-09,69
2014-08-16,73
2014-08-23,64
2014-08-30,62
2014-09-06,60
2014-09-13,62
2014-09-20,61
2014-09-27,61
2014-10-04,62
2014-10-11,62
2014-10-18,62
2014-10-25,59
2014-11-01,62
2014-11-08,64
2014-11-15,60
2014-11-22,56
2014-11-29,57
2014-12-06,58
2014-12-13,62
2014-12-20,72
2014-12-27,81
2015-01-03,59
2015-01-10,60
2015-01-17,64
2015-01-24,60
2015-01-31,61
2015-02-07,80
2015-02-14,71
2015-02-21,64
2015-02-28,66
2015-03-07,68
2015-03-14,66
2015-03-21,66
2015-03-28,67
2015-04-04,67
2015-04-11,64
2015-04-18,65
2015-04-25,68
2015-05-02,72
2015-05-09,70
2015-05-16,70
2015-05-23,68
2015-05-30,74
2015-06-06,70
2015-06-13,77
2015-06-20,79
2015-06-27,78
2015-07-04,81
2015-07-11,87
2015-07-18,87
2015-07-25,82
2015-08-01,82
2015-08-08,81
2015-08-15,79
2015-08-22,72
2015-08-29,71
2015-09-05,77
2015-09-12,66
2015-09-19,71
2015-09-26,69
2015-10-03,67
2015-10-10,74
2015-10-17,66
2015-10-24,63
2015-10-31,71
2015-11-07,70
2015-11-14,69
2015-11-21,66
2015-11-28,63
2015-12-05,64
2015-12-12,68
2015-12-19,83
2015-12-26,89
2016-01-02,63
2016-01-09,66
2016-01-16,64
2016-01-23,64
2016-01-30,69
2016-02-06,79
2016-02-13,80
2016-02-20,71
2016-02-27,69
2016-03-05,69
2016-03-12,76
2016-03-19,74
2016-03-26,77
2016-04-02,74
2016-04-09,69
2016-04-16,69
2016-04-23,71
2016-04-30,77
2016-05-07,75
2016-05-14,73
2016-05-21,73
2016-05-28,80
2016-06-04,75
2016-06-11,78
2016-06-18,81
2016-06-25,79
2016-07-02,86
2016-07-09,86
2016-07-16,87
2016-07-23,89
2016-07-30,84
2016-08-06,81
2016-08-13,79
2016-08-20,76
2016-08-27,78
2016-09-03,79
2016-09-10,76
2016-09-17,75
2016-09-24,72
2016-10-01,72
2016-10-08,74
2016-10-15,77
2016-10-22,72
2016-10-29,72
2016-11-05,72
2016-11-12,73
2016-11-19,71
2016-11-26,67
2016-12-03,70
2016-12-10,69
2016-12-17,74
2016-12-24,100
2016-12-31,77
