Search Term,restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,76
2008-12-06,84
2008-12-13,81
2008-12-20,74
2008-12-27,85
2009-01-03,72
2009-01-10,78
2009-01-17,80
2009-01-24,82
2009-01-31,81
2009-02-07,100
2009-02-14,76
2009-02-21,78
2009-02-28,75
2009-03-07,76
2009-03-14,76
2009-03-21,77
2009-03-28,74
2009-04-04,79
2009-04-11,77
2009-04-18,75
2009-04-25,77
2009-05-02,83
2009-05-09,80
2009-05-16,76
2009-05-23,76
2009-05-30,81
2009-06-06,79
2009-06-13,85
2009-06-20,78
2009-06-27,78
2009-07-04,81
2009-07-11,83
2009-07-18,85
2009-07-25,87
2009-08-01,84
2009-08-08,89
2009-08-15,93
2009-08-22,89
2009-08-29,80
2009-09-05,83
2009-09-12,84
2009-09-19,86
2009-09-26,86
2009-10-03,87
2009-10-10,88
2009-10-17,86
2009-10-24,84
2009-10-31,85
2009-11-07,87
2009-11-14,87
2009-11-21,83
2009-11-28,87
2009-12-05,86
2009-12-12,86
2009-12-19,76
2009-12-26,93
2010-01-02,78
2010-01-09,81
2010-01-16,87
2010-01-23,86
2010-01-30,85
2010-02-06,93
2010-02-13,91
2010-02-20,89
2010-02-27,85
2010-03-06,85
2010-03-13,79
2010-03-20,85
2010-03-27,83
2010-04-03,80
2010-04-10,83
2010-04-17,78
2010-04-24,81
2010-05-01,86
2010-05-08,81
2010-05-15,76
2010-05-22,72
2010-05-29,77
2010-06-05,78
2010-06-12,77
2010-06-19,77
2010-06-26,76
2010-07-03,87
2010-07-10,84
2010-07-17,90
2010-07-24,82
2010-07-31,86
2010-08-07,87
2010-08-14,86
2010-08-21,84
2010-08-28,80
2010-09-04,80
2010-09-11,82
2010-09-18,84
2010-09-25,79
2010-10-02,80
2010-10-09,77
2010-10-16,78
2010-10-23,80
2010-10-30,80
2010-11-06,82
2010-11-13,83
2010-11-20,74
2010-11-27,76
2010-12-04,79
2010-12-11,80
2010-12-18,78
2010-12-25,90
2011-01-01,78
2011-01-08,82
2011-01-15,81
2011-01-22,87
2011-01-29,80
2011-02-05,93
2011-02-12,88
2011-02-19,83
2011-02-26,84
2011-03-05,85
2011-03-12,79
2011-03-19,83
2011-03-26,80
2011-04-02,77
2011-04-09,81
2011-04-16,82
2011-04-23,73
2011-04-30,81
2011-05-07,84
2011-05-14,75
2011-05-21,83
2011-05-28,81
2011-06-04,80
2011-06-11,85
2011-06-18,84
2011-06-25,81
2011-07-02,82
2011-07-09,85
2011-07-16,88
2011-07-23,93
2011-07-30,89
2011-08-06,88
2011-08-13,90
2011-08-20,85
2011-08-27,82
2011-09-03,83
2011-09-10,79
2011-09-17,86
2011-09-24,81
2011-10-01,76
2011-10-08,79
2011-10-15,79
2011-10-22,81
2011-10-29,83
2011-11-05,84
2011-11-12,79
2011-11-19,74
2011-11-26,78
2011-12-03,81
2011-12-10,85
2011-12-17,82
2011-12-24,89
2011-12-31,82
2012-01-07,84
2012-01-14,82
2012-01-21,86
2012-01-28,80
2012-02-04,82
2012-02-11,91
2012-02-18,84
2012-02-25,77
2012-03-03,80
2012-03-10,78
2012-03-17,74
2012-03-24,77
2012-03-31,78
2012-04-07,77
2012-04-14,78
2012-04-21,80
2012-04-28,84
2012-05-05,82
2012-05-12,75
2012-05-19,76
2012-05-26,75
2012-06-02,75
2012-06-09,78
2012-06-16,80
2012-06-23,81
2012-06-30,81
2012-07-07,87
2012-07-14,87
2012-07-21,90
2012-07-28,84
2012-08-04,88
2012-08-11,87
2012-08-18,88
2012-08-25,85
2012-09-01,78
2012-09-08,77
2012-09-15,76
2012-09-22,78
2012-09-29,82
2012-10-06,83
2012-10-13,83
2012-10-20,76
2012-10-27,79
2012-11-03,73
2012-11-10,80
2012-11-17,77
2012-11-24,75
2012-12-01,77
2012-12-08,77
2012-12-15,77
2012-12-22,80
2012-12-29,86
