Search Term,restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,81
2020-02-01,79
2020-02-08,95
2020-02-15,81
2020-02-22,77
2020-02-29,75
2020-03-07,63
2020-03-14,46
2020-03-21,30
2020-03-28,31
2020-04-04,32
2020-04-11,34
2020-04-18,35
2020-04-25,38
2020-05-02,42
2020-05-09,43
2020-05-16,46
2020-05-23,48
2020-05-30,56
2020-06-06,62
2020-06-13,66
2020-06-20,68
2020-06-27,72
2020-07-04,74
2020-07-11,75
2020-07-18,72
2020-07-25,75
2020-08-01,78
2020-08-08,79
2020-08-15,84
2020-08-22,74
2020-08-29,76
2020-09-05,77
2020-09-12,71
2020-09-19,71
2020-09-26,69
2020-10-03,70
2020-10-10,68
2020-10-17,62
2020-10-24,58
2020-10-31,46
2020-11-07,52
2020-11-14,48
2020-11-21,49
2020-11-28,48
2020-12-05,51
2020-12-12,49
2020-12-19,51
2020-12-26,61
2021-01-02,47
2021-01-09,46
2021-01-16,48
2021-01-23,49
2021-01-30,48
2021-02-06,52
2021-02-13,54
2021-02-20,51
2021-02-27,55
2021-03-06,54
2021-03-13,54
2021-03-20,54
2021-03-27,60
2021-04-03,56
2021-04-10,55
2021-04-17,58
2021-04-24,57
2021-05-01,62
2021-05-08,65
2021-05-15,68
2021-05-22,75
2021-05-29,74
2021-06-05,80
2021-06-12,87
2021-06-19,91
2021-06-26,83
2021-07-03,89
2021-07-10,95
2021-07-17,100
2021-07-24,97
2021-07-31,91
2021-08-07,99
2021-08-14,95
2021-08-21,91
2021-08-28,85
2021-09-04,87
2021-09-11,84
2021-09-18,84
2021-09-25,81
2021-10-02,84
2021-10-09,85
2021-10-16,85
2021-10-23,81
2021-10-30,84
2021-11-06,83
2021-11-13,80
2021-11-20,75
2021-11-27,73
2021-12-04,77
2021-12-11,75
2021-12-18,75
2021-12-25,91
2022-01-01,70
2022-01-08,66
2022-01-15,66
2022-01-22,67
2022-01-29,78
2022-02-05,81
2022-02-12,86
2022-02-19,80
2022-02-26,81
2022-03-05,80
2022-03-12,81
2022-03-19,82
2022-03-26,86
2022-04-02,82
2022-04-09,88
2022-04-16,85
2022-04-23,85
2022-04-30,93
2022-05-07,84
2022-05-14,80
2022-05-21,85
2022-05-28,84
2022-06-04,84
2022-06-11,84
2022-06-18,89
2022-06-25,86
2022-07-02,88
2022-07-09,86
2022-07-16,94
2022-07-23,96
2022-07-30,96
2022-08-06,97
2022-08-13,99
2022-08-20,87
2022-08-27,87
2022-09-03,86
2022-09-10,81
2022-09-17,81
2022-09-24,77
2022-10-01,86
2022-10-08,86
2022-10-15,76
2022-10-22,82
2022-10-29,84
2022-11-05,79
2022-11-12,77
2022-11-19,71
2022-11-26,74
2022-12-03,75
2022-12-10,76
2022-12-17,78
2022-12-24,93
2022-12-31,86
2023-01-07,80
2023-01-14,77
2023-01-21,84
2023-01-28,79
2023-02-04,83
2023-02-11,93
2023-02-18,85
2023-02-25,83
2023-03-04,79
2023-03-11,81
2023-03-18,80
2023-03-25,80
2023-04-01,84
2023-04-08,84
2023-04-15,82
2023-04-22,87
2023-04-29,86
2023-05-06,80
2023-05-13,84
2023-05-20,80
2023-05-27,83
2023-06-03,84
2023-06-10,87
2023-06-17,87
2023-06-24,89
2023-07-01,90
2023-07-08,92
2023-07-15,93
2023-07-22,100
2023-07-29,97
2023-08-05,96
2023-08-12,98
2023-08-19,91
2023-08-26,85
2023-09-02,85
2023-09-09,77
2023-09-16,79
2023-09-23,82
2023-09-30,82
2023-10-07,79
2023-10-14,78
2023-10-21,80
2023-10-28,88
2023-11-04,80
2023-11-11,79
2023-11-18,77
2023-11-25,77
2023-12-02,78
2023-12-09,80
2023-12-16,78
2023-12-23,90
2023-12-30,81
2024-01-06,77
2024-01-13,74
2024-01-20,78
2024-01-27,82
2024-02-03,82
2024-02-10,92
2024-02-17,83
2024-02-24,80
2024-03-02,77
2024-03-09,76
2024-03-16,81
2024-03-23,85
2024-03-30,85
2024-04-06,82
2024-04-13,79
2024-04-20,82
2024-04-27,86
2024-05-04,87
2024-05-11,78
2024-05-18,82
2024-05-25,83
