Search Term,restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,49
2008-12-06,51
2008-12-13,50
2008-12-20,50
2008-12-27,60
2009-01-03,47
2009-01-10,50
2009-01-17,53
2009-01-24,51
2009-01-31,53
2009-02-07,74
2009-02-14,51
2009-02-21,49
2009-02-28,50
2009-03-07,47
2009-03-14,49
2009-03-21,50
2009-03-28,50
2009-04-04,53
2009-04-11,50
2009-04-18,50
2009-04-25,52
2009-05-02,56
2009-05-09,50
2009-05-16,53
2009-05-23,50
2009-05-30,55
2009-06-06,55
2009-06-13,56
2009-06-20,54
2009-06-27,52
2009-07-04,58
2009-07-11,57
2009-07-18,58
2009-07-25,59
2009-08-01,59
2009-08-08,64
2009-08-15,58
2009-08-22,57
2009-08-29,53
2009-09-05,50
2009-09-12,53
2009-09-19,55
2009-09-26,53
2009-10-03,57
2009-10-10,54
2009-10-17,54
2009-10-24,50
2009-10-31,54
2009-11-07,55
2009-11-14,55
2009-11-21,50
2009-11-28,52
2009-12-05,54
2009-12-12,52
2009-12-19,53
2009-12-26,63
2010-01-02,50
2010-01-09,52
2010-01-16,57
2010-01-23,54
2010-01-30,58
2010-02-06,68
2010-02-13,62
2010-02-20,54
2010-02-27,55
2010-03-06,56
2010-03-13,55
2010-03-20,56
2010-03-27,54
2010-04-03,53
2010-04-10,52
2010-04-17,55
2010-04-24,60
2010-05-01,61
2010-05-08,57
2010-05-15,55
2010-05-22,53
2010-05-29,56
2010-06-05,60
2010-06-12,56
2010-06-19,56
2010-06-26,58
2010-07-03,65
2010-07-10,72
2010-07-17,67
2010-07-24,66
2010-07-31,69
2010-08-07,67
2010-08-14,64
2010-08-21,63
2010-08-28,59
2010-09-04,57
2010-09-11,54
2010-09-18,60
2010-09-25,54
2010-10-02,57
2010-10-09,58
2010-10-16,57
2010-10-23,55
2010-10-30,54
2010-11-06,58
2010-11-13,57
2010-11-20,53
2010-11-27,51
2010-12-04,55
2010-12-11,56
2010-12-18,59
2010-12-25,69
2011-01-01,59
2011-01-08,54
2011-01-15,60
2011-01-22,57
2011-01-29,56
2011-02-05,69
2011-02-12,67
2011-02-19,58
2011-02-26,57
2011-03-05,58
2011-03-12,58
2011-03-19,60
2011-03-26,59
2011-04-02,58
2011-04-09,58
2011-04-16,64
2011-04-23,56
2011-04-30,62
2011-05-07,59
2011-05-14,57
2011-05-21,58
2011-05-28,60
2011-06-04,58
2011-06-11,80
2011-06-18,86
2011-06-25,85
2011-07-02,80
2011-07-09,82
2011-07-16,83
2011-07-23,86
2011-07-30,85
2011-08-06,82
2011-08-13,79
2011-08-20,77
2011-08-27,76
2011-09-03,72
2011-09-10,72
2011-09-17,74
2011-09-24,73
2011-10-01,68
2011-10-08,73
2011-10-15,74
2011-10-22,73
2011-10-29,71
2011-11-05,74
2011-11-12,72
2011-11-19,70
2011-11-26,71
2011-12-03,72
2011-12-10,73
2011-12-17,71
2011-12-24,100
2011-12-31,78
2012-01-07,75
2012-01-14,77
2012-01-21,80
2012-01-28,71
2012-02-04,75
2012-02-11,91
2012-02-18,81
2012-02-25,72
2012-03-03,79
2012-03-10,80
2012-03-17,77
2012-03-24,74
2012-03-31,81
2012-04-07,80
2012-04-14,69
2012-04-21,67
2012-04-28,68
2012-05-05,70
2012-05-12,74
2012-05-19,80
2012-05-26,79
2012-06-02,81
2012-06-09,85
2012-06-16,86
2012-06-23,89
2012-06-30,91
2012-07-07,92
2012-07-14,93
2012-07-21,94
2012-07-28,90
2012-08-04,89
2012-08-11,95
2012-08-18,91
2012-08-25,89
2012-09-01,85
2012-09-08,82
2012-09-15,80
2012-09-22,79
2012-09-29,84
2012-10-06,81
2012-10-13,79
2012-10-20,74
2012-10-27,73
2012-11-03,72
2012-11-10,76
2012-11-17,73
2012-11-24,70
2012-12-01,73
2012-12-08,71
2012-12-15,72
2012-12-22,89
2012-12-29,88
