Search Term,restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,67
2016-12-03,67
2016-12-10,72
2016-12-17,74
2016-12-24,84
2016-12-31,74
2017-01-07,70
2017-01-14,73
2017-01-21,74
2017-01-28,74
2017-02-04,69
2017-02-11,82
2017-02-18,73
2017-02-25,75
2017-03-04,74
2017-03-11,73
2017-03-18,75
2017-03-25,76
2017-04-01,75
2017-04-08,81
2017-04-15,71
2017-04-22,73
2017-04-29,78
2017-05-06,76
2017-05-13,78
2017-05-20,80
2017-05-27,75
2017-06-03,79
2017-06-10,79
2017-06-17,81
2017-06-24,79
2017-07-01,83
2017-07-08,84
2017-07-15,88
2017-07-22,88
2017-07-29,86
2017-08-05,89
2017-08-12,90
2017-08-19,82
2017-08-26,78
2017-09-02,78
2017-09-09,76
2017-09-16,77
2017-09-23,78
2017-09-30,78
2017-10-07,82
2017-10-14,79
2017-10-21,79
2017-10-28,79
2017-11-04,78
2017-11-11,77
2017-11-18,75
2017-11-25,76
2017-12-02,77
2017-12-09,76
2017-12-16,77
2017-12-23,85
2017-12-30,84
2018-01-06,74
2018-01-13,76
2018-01-20,77
2018-01-27,80
2018-02-03,80
2018-02-10,90
2018-02-17,77
2018-02-24,72
2018-03-03,77
2018-03-10,74
2018-03-17,75
2018-03-24,89
2018-03-31,78
2018-04-07,76
2018-04-14,77
2018-04-21,78
2018-04-28,80
2018-05-05,83
2018-05-12,79
2018-05-19,80
2018-05-26,82
2018-06-02,83
2018-06-09,86
2018-06-16,81
2018-06-23,83
2018-06-30,86
2018-07-07,86
2018-07-14,91
2018-07-21,88
2018-07-28,90
2018-08-04,95
2018-08-11,93
2018-08-18,85
2018-08-25,85
2018-09-01,79
2018-09-08,81
2018-09-15,77
2018-09-22,79
2018-09-29,82
2018-10-06,78
2018-10-13,82
2018-10-20,81
2018-10-27,84
2018-11-03,81
2018-11-10,77
2018-11-17,74
2018-11-24,79
2018-12-01,79
2018-12-08,79
2018-12-15,81
2018-12-22,92
2018-12-29,89
2019-01-05,78
2019-01-12,78
2019-01-19,81
2019-01-26,77
2019-02-02,79
2019-02-09,92
2019-02-16,81
2019-02-23,79
2019-03-02,85
2019-03-09,84
2019-03-16,84
2019-03-23,84
2019-03-30,84
2019-04-06,83
2019-04-13,87
2019-04-20,78
2019-04-27,81
2019-05-04,88
2019-05-11,85
2019-05-18,81
2019-05-25,86
2019-06-01,87
2019-06-08,90
2019-06-15,86
2019-06-22,87
2019-06-29,87
2019-07-06,90
2019-07-13,95
2019-07-20,99
2019-07-27,96
2019-08-03,99
2019-08-10,99
2019-08-17,93
2019-08-24,89
2019-08-31,85
2019-09-07,82
2019-09-14,84
2019-09-21,85
2019-09-28,83
2019-10-05,83
2019-10-12,85
2019-10-19,81
2019-10-26,83
2019-11-02,83
2019-11-09,82
2019-11-16,85
2019-11-23,79
2019-11-30,77
2019-12-07,81
2019-12-14,84
2019-12-21,97
2019-12-28,100
2020-01-04,80
2020-01-11,84
2020-01-18,85
2020-01-25,85
2020-02-01,83
2020-02-08,100
2020-02-15,85
2020-02-22,81
2020-02-29,79
