Search Term,recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,72
2016-12-03,79
2016-12-10,84
2016-12-17,99
2016-12-24,90
2016-12-31,96
2017-01-07,91
2017-01-14,86
2017-01-21,82
2017-01-28,87
2017-02-04,75
2017-02-11,77
2017-02-18,76
2017-02-25,75
2017-03-04,76
2017-03-11,76
2017-03-18,75
2017-03-25,72
2017-04-01,72
2017-04-08,86
2017-04-15,68
2017-04-22,68
2017-04-29,64
2017-05-06,70
2017-05-13,70
2017-05-20,70
2017-05-27,74
2017-06-03,72
2017-06-10,72
2017-06-17,71
2017-06-24,71
2017-07-01,78
2017-07-08,69
2017-07-15,77
2017-07-22,78
2017-07-29,75
2017-08-05,78
2017-08-12,76
2017-08-19,72
2017-08-26,72
2017-09-02,78
2017-09-09,74
2017-09-16,74
2017-09-23,74
2017-09-30,74
2017-10-07,79
2017-10-14,75
2017-10-21,77
2017-10-28,79
2017-11-04,83
2017-11-11,84
2017-11-18,94
2017-11-25,75
2017-12-02,79
2017-12-09,80
2017-12-16,97
2017-12-23,97
2017-12-30,97
2018-01-06,93
2018-01-13,88
2018-01-20,81
2018-01-27,83
2018-02-03,81
2018-02-10,78
2018-02-17,79
2018-02-24,73
2018-03-03,78
2018-03-10,76
2018-03-17,82
2018-03-24,85
2018-03-31,72
2018-04-07,69
2018-04-14,68
2018-04-21,67
2018-04-28,69
2018-05-05,68
2018-05-12,66
2018-05-19,66
2018-05-26,69
2018-06-02,71
2018-06-09,70
2018-06-16,63
2018-06-23,66
2018-06-30,72
2018-07-07,67
2018-07-14,71
2018-07-21,72
2018-07-28,69
2018-08-04,72
2018-08-11,71
2018-08-18,70
2018-08-25,68
2018-09-01,71
2018-09-08,71
2018-09-15,71
2018-09-22,70
2018-09-29,71
2018-10-06,70
2018-10-13,71
2018-10-20,72
2018-10-27,70
2018-11-03,72
2018-11-10,71
2018-11-17,84
2018-11-24,75
2018-12-01,71
2018-12-08,77
2018-12-15,82
2018-12-22,100
2018-12-29,93
2019-01-05,83
2019-01-12,84
2019-01-19,85
2019-01-26,80
2019-02-02,76
2019-02-09,72
2019-02-16,71
2019-02-23,70
2019-03-02,73
2019-03-09,72
2019-03-16,68
2019-03-23,68
2019-03-30,65
2019-04-06,67
2019-04-13,69
2019-04-20,62
2019-04-27,69
2019-05-04,64
2019-05-11,61
2019-05-18,62
2019-05-25,61
2019-06-01,63
2019-06-08,71
2019-06-15,61
2019-06-22,67
2019-06-29,62
2019-07-06,60
2019-07-13,71
2019-07-20,69
2019-07-27,61
2019-08-03,69
2019-08-10,70
2019-08-17,68
2019-08-24,64
2019-08-31,67
2019-09-07,68
2019-09-14,68
2019-09-21,67
2019-09-28,68
2019-10-05,70
2019-10-12,71
2019-10-19,73
2019-10-26,72
2019-11-02,72
2019-11-09,77
2019-11-16,77
2019-11-23,81
2019-11-30,71
2019-12-07,67
2019-12-14,82
2019-12-21,96
2019-12-28,95
2020-01-04,86
2020-01-11,83
2020-01-18,80
2020-01-25,78
2020-02-01,71
2020-02-08,71
2020-02-15,75
2020-02-22,71
2020-02-29,67
