ds,vegan,vegetarian,plant_based_plus_plant_based,vegan_informative,vegetarian_informative,plant based_informative,vegan_behavior,vegetarian_behavior,plant based_behavior,behavior_bare,informative_bare,food
2004-01-03,5.0,18.173836618248053,0.0,2.458379637044925,11.88658344481087,0.0,2.541620362955075,6.287253173437183,0.0,936.105071209051,,400.0
2004-01-10,4.0,18.401009575976158,0.534077562199031,4.0,13.373782612099697,0.534077562199031,0.0,5.02722696387646,0.0,1010.0501318253984,,420.0
2004-01-17,6.0,17.946663660519953,0.0,3.632147216130285,12.503191863073702,0.0,2.367852783869715,5.443471797446249,0.0,1011.4921760663259,,410.0
2004-01-24,5.0,17.719490702791855,0.4368000000000001,4.180901650409019,11.391229571085937,0.4368000000000001,0.8190983495909813,6.328261131705918,0.0,999.5938663196257,,400.0
2004-01-31,5.0,14.31189633687034,0.7250625282722869,3.4813392331402704,9.443619577075513,0.7250625282722869,1.5186607668597296,4.868276759794827,0.0,936.8018116218675,,380.0
2004-02-07,5.0,16.810798871879452,0.0,3.9918789543495614,10.535909707915406,0.0,1.0081210456504386,6.274889163964046,0.0,1183.310945453715,,420.0
2004-02-14,5.0,13.857550421414143,0.0,2.952200654132548,8.990763917464612,0.0,2.047799345867452,4.8667865039495295,0.0,925.4343963794721,,400.0
2004-02-21,4.0,15.674934083238949,0.184499521486938,3.1809016504090186,9.367537519265408,0.184499521486938,0.8190983495909813,6.30739656397354,0.0,872.0550677558408,,400.0
2004-02-28,4.0,13.403204505957941,0.0,4.0,9.880824612909814,0.0,0.0,3.5223798930481274,0.0,876.5664328235723,,370.0
2004-03-06,4.0,14.084723379142243,0.0,4.0,11.3154459994631,0.0,0.0,2.7692773796791434,0.0,940.9907334686294,,360.0
2004-03-13,5.0,16.12927999869515,0.0,2.980830734403981,10.604077099505934,0.0,2.019169265596019,5.525202899189216,0.0,866.7928018532568,,420.0
2004-03-20,5.0,16.12927999869515,0.0,3.6348360840150313,14.019354376082468,0.0,1.3651639159849687,2.109925622612681,0.0,931.719797644792,,370.0
2004-03-27,5.0,14.31189633687034,0.0,3.1949314866459413,10.445839644738943,0.0,1.8050685133540587,3.866056692131397,0.0,840.407547344271,,420.0
2004-04-03,5.0,14.084723379142243,0.0,2.9899218800386005,7.341433419397726,0.0,2.0100781199613995,6.7432899597445175,0.0,930.4206326914059,,390.0
2004-04-10,4.0,11.131474928676935,0.0,3.0128814761339457,8.889678954650961,0.0,0.9871185238660545,2.2417959740259734,0.0,846.171651338178,,360.0
2004-04-17,4.0,14.993415210054645,0.0,2.548630616156138,10.092689454506804,0.0,1.4513693838438622,4.90072575554784,0.0,891.0096838487594,,430.0
2004-04-24,5.0,14.993415210054645,0.38842004523565893,4.39092686825286,11.04398744027489,0.38842004523565893,0.6090731317471398,3.9494277697797546,0.0,865.1260367989543,,420.0
2004-05-01,4.0,12.49451267504554,0.0,2.56367744986564,8.738577517346098,0.0,1.43632255013436,3.755935157699443,0.0,957.8159092759507,,440.0
2004-05-08,5.0,12.948858590501741,0.0,3.9918789543495614,8.166717257596112,0.0,1.0081210456504386,4.7821413329056295,0.0,862.0466233928092,,420.0
2004-05-15,4.0,13.630377463686044,0.0,2.4703044747086906,9.16489172142386,0.0,1.5296955252913096,4.465485742262184,0.0,857.387701329995,,400.0
2004-05-22,4.0,13.403204505957941,0.0,3.39092686825286,9.087369151816286,0.0,0.6090731317471398,4.315835354141655,0.0,899.0194800447878,,410.0
2004-05-29,5.0,14.766242252326546,0.6498205237487209,3.033598794019536,10.846539910298826,0.6498205237487209,1.9664012059804639,3.919702342027719,0.0,888.9828369989067,,370.0
2004-06-05,5.0,13.857550421414143,0.7426520271413952,4.285914259330939,9.539291327485724,0.7426520271413952,0.7140857406690606,4.318259093928418,0.0,878.964965141035,,360.0
2004-06-12,4.0,13.630377463686044,0.3276,2.4066285749019496,9.497050719450966,0.3276,1.5933714250980504,4.133326744235077,0.0,899.376093735923,,330.0
2004-06-19,4.0,14.31189633687034,0.6110360361885271,3.3069167811153237,9.25131805583111,0.6110360361885271,0.6930832188846764,5.060578281039231,0.0,944.638244953972,,310.0
