Search Term,okja
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,1
2017-03-11,1
2017-03-18,1
2017-03-25,1
2017-04-01,1
2017-04-08,1
2017-04-15,1
2017-04-22,1
2017-04-29,1
2017-05-06,1
2017-05-13,13
2017-05-20,8
2017-05-27,4
2017-06-03,5
2017-06-10,6
2017-06-17,9
2017-06-24,85
2017-07-01,100
2017-07-08,62
2017-07-15,44
2017-07-22,31
2017-07-29,23
2017-08-05,17
2017-08-12,13
2017-08-19,11
2017-08-26,10
2017-09-02,9
2017-09-09,8
2017-09-16,7
2017-09-23,7
2017-09-30,7
2017-10-07,6
2017-10-14,6
2017-10-21,5
2017-10-28,5
2017-11-04,5
2017-11-11,5
2017-11-18,4
2017-11-25,4
2017-12-02,5
2017-12-09,5
2017-12-16,5
2017-12-23,8
2017-12-30,8
2018-01-06,6
2018-01-13,6
2018-01-20,5
2018-01-27,6
2018-02-03,5
2018-02-10,5
2018-02-17,4
2018-02-24,4
2018-03-03,4
2018-03-10,4
2018-03-17,4
2018-03-24,5
2018-03-31,4
2018-04-07,3
2018-04-14,3
2018-04-21,3
2018-04-28,3
2018-05-05,3
2018-05-12,2
2018-05-19,2
2018-05-26,3
2018-06-02,3
2018-06-09,2
2018-06-16,2
2018-06-23,3
2018-06-30,2
2018-07-07,3
2018-07-14,3
2018-07-21,3
2018-07-28,3
2018-08-04,3
2018-08-11,3
2018-08-18,3
2018-08-25,3
2018-09-01,3
2018-09-08,2
2018-09-15,2
2018-09-22,2
2018-09-29,2
2018-10-06,2
2018-10-13,2
2018-10-20,2
2018-10-27,2
2018-11-03,2
2018-11-10,2
2018-11-17,2
2018-11-24,2
2018-12-01,2
2018-12-08,2
2018-12-15,2
2018-12-22,3
2018-12-29,3
2019-01-05,2
2019-01-12,2
2019-01-19,2
2019-01-26,2
2019-02-02,2
2019-02-09,2
2019-02-16,2
2019-02-23,2
2019-03-02,2
2019-03-09,2
2019-03-16,2
2019-03-23,2
2019-03-30,2
2019-04-06,2
2019-04-13,2
2019-04-20,2
2019-04-27,2
2019-05-04,2
2019-05-11,2
2019-05-18,2
2019-05-25,3
2019-06-01,2
2019-06-08,2
2019-06-15,2
2019-06-22,2
2019-06-29,2
2019-07-06,2
2019-07-13,2
2019-07-20,2
2019-07-27,2
2019-08-03,2
2019-08-10,2
2019-08-17,2
2019-08-24,2
2019-08-31,2
2019-09-07,2
2019-09-14,1
2019-09-21,2
2019-09-28,2
2019-10-05,2
2019-10-12,2
2019-10-19,2
2019-10-26,2
2019-11-02,2
2019-11-09,2
2019-11-16,2
2019-11-23,2
2019-11-30,2
2019-12-07,2
2019-12-14,2
2019-12-21,2
2019-12-28,3
2020-01-04,3
2020-01-11,3
2020-01-18,3
2020-01-25,3
2020-02-01,3
2020-02-08,9
2020-02-15,7
2020-02-22,5
2020-02-29,4
