,Search Term,you are what you eat
214,2024-03-02,7.000000000000001
215,2024-03-09,6.0
216,2024-03-16,7.000000000000001
217,2024-03-23,6.0
218,2024-03-30,6.0
219,2024-04-06,5.0
220,2024-04-13,5.0
221,2024-04-20,5.0
222,2024-04-27,6.0
223,2024-05-04,5.0
224,2024-05-11,4.0
225,2024-05-18,3.0
226,2024-05-25,3.0
