Search Term,forks over knives
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,44
2016-12-03,48
2016-12-10,44
2016-12-17,45
2016-12-24,54
2016-12-31,78
2017-01-07,65
2017-01-14,62
2017-01-21,62
2017-01-28,57
2017-02-04,60
2017-02-11,55
2017-02-18,59
2017-02-25,61
2017-03-04,59
2017-03-11,59
2017-03-18,58
2017-03-25,59
2017-04-01,58
2017-04-08,60
2017-04-15,54
2017-04-22,57
2017-04-29,54
2017-05-06,52
2017-05-13,50
2017-05-20,48
2017-05-27,47
2017-06-03,56
2017-06-10,51
2017-06-17,60
2017-06-24,65
2017-07-01,67
2017-07-08,84
2017-07-15,78
2017-07-22,88
2017-07-29,85
2017-08-05,77
2017-08-12,68
2017-08-19,67
2017-08-26,64
2017-09-02,63
2017-09-09,58
2017-09-16,58
2017-09-23,58
2017-09-30,56
2017-10-07,60
2017-10-14,60
2017-10-21,61
2017-10-28,56
2017-11-04,57
2017-11-11,53
2017-11-18,44
2017-11-25,43
2017-12-02,54
2017-12-09,54
2017-12-16,52
2017-12-23,67
2017-12-30,98
2018-01-06,86
2018-01-13,73
2018-01-20,75
2018-01-27,80
2018-02-03,66
2018-02-10,68
2018-02-17,62
2018-02-24,65
2018-03-03,65
2018-03-10,68
2018-03-17,58
2018-03-24,58
2018-03-31,62
2018-04-07,57
2018-04-14,57
2018-04-21,53
2018-04-28,55
2018-05-05,52
2018-05-12,52
2018-05-19,50
2018-05-26,50
2018-06-02,50
2018-06-09,49
2018-06-16,49
2018-06-23,49
2018-06-30,48
2018-07-07,49
2018-07-14,53
2018-07-21,53
2018-07-28,51
2018-08-04,52
2018-08-11,49
2018-08-18,49
2018-08-25,51
2018-09-01,43
2018-09-08,46
2018-09-15,47
2018-09-22,46
2018-09-29,46
2018-10-06,47
2018-10-13,44
2018-10-20,42
2018-10-27,43
2018-11-03,45
2018-11-10,45
2018-11-17,44
2018-11-24,48
2018-12-01,45
2018-12-08,41
2018-12-15,39
2018-12-22,48
2018-12-29,62
2019-01-05,62
2019-01-12,51
2019-01-19,51
2019-01-26,52
2019-02-02,49
2019-02-09,50
2019-02-16,54
2019-02-23,48
2019-03-02,45
2019-03-09,50
2019-03-16,47
2019-03-23,47
2019-03-30,48
2019-04-06,48
2019-04-13,57
2019-04-20,48
2019-04-27,49
2019-05-04,49
2019-05-11,49
2019-05-18,47
2019-05-25,42
2019-06-01,43
2019-06-08,45
2019-06-15,46
2019-06-22,48
2019-06-29,48
2019-07-06,53
2019-07-13,52
2019-07-20,49
2019-07-27,48
2019-08-03,54
2019-08-10,54
2019-08-17,57
2019-08-24,52
2019-08-31,55
2019-09-07,53
2019-09-14,50
2019-09-21,55
2019-09-28,56
2019-10-05,63
2019-10-12,72
2019-10-19,81
2019-10-26,81
2019-11-02,82
2019-11-09,78
2019-11-16,78
2019-11-23,68
2019-11-30,65
2019-12-07,63
2019-12-14,57
2019-12-21,67
2019-12-28,100
2020-01-04,96
2020-01-11,86
2020-01-18,77
2020-01-25,75
2020-02-01,70
2020-02-08,67
2020-02-15,72
2020-02-22,70
2020-02-29,63
