Search Term,cowspiracy: the sustainability secret
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,86
2016-12-03,79
2016-12-10,76
2016-12-17,69
2016-12-24,72
2016-12-31,85
2017-01-07,82
2017-01-14,81
2017-01-21,79
2017-01-28,78
2017-02-04,68
2017-02-11,82
2017-02-18,85
2017-02-25,83
2017-03-04,72
2017-03-11,91
2017-03-18,86
2017-03-25,84
2017-04-01,72
2017-04-08,77
2017-04-15,84
2017-04-22,83
2017-04-29,79
2017-05-06,77
2017-05-13,68
2017-05-20,62
2017-05-27,73
2017-06-03,69
2017-06-10,63
2017-06-17,82
2017-06-24,89
2017-07-01,89
2017-07-08,100
2017-07-15,97
2017-07-22,95
2017-07-29,90
2017-08-05,85
2017-08-12,77
2017-08-19,70
2017-08-26,75
2017-09-02,69
2017-09-09,66
2017-09-16,69
2017-09-23,62
2017-09-30,64
2017-10-07,69
2017-10-14,59
2017-10-21,62
2017-10-28,61
2017-11-04,65
2017-11-11,60
2017-11-18,52
2017-11-25,53
2017-12-02,61
2017-12-09,53
2017-12-16,48
2017-12-23,48
2017-12-30,66
2018-01-06,59
2018-01-13,63
2018-01-20,61
2018-01-27,60
2018-02-03,52
2018-02-10,54
2018-02-17,52
2018-02-24,56
2018-03-03,57
2018-03-10,49
2018-03-17,56
2018-03-24,53
2018-03-31,55
2018-04-07,52
2018-04-14,52
2018-04-21,51
2018-04-28,51
2018-05-05,48
2018-05-12,45
2018-05-19,42
2018-05-26,46
2018-06-02,40
2018-06-09,44
2018-06-16,37
2018-06-23,34
2018-06-30,35
2018-07-07,37
2018-07-14,37
2018-07-21,36
2018-07-28,40
2018-08-04,45
2018-08-11,40
2018-08-18,46
2018-08-25,46
2018-09-01,41
2018-09-08,42
2018-09-15,40
2018-09-22,39
2018-09-29,39
2018-10-06,58
2018-10-13,54
2018-10-20,44
2018-10-27,44
2018-11-03,46
2018-11-10,51
2018-11-17,48
2018-11-24,48
2018-12-01,49
2018-12-08,39
2018-12-15,38
2018-12-22,34
2018-12-29,71
2019-01-05,58
2019-01-12,61
2019-01-19,56
2019-01-26,50
2019-02-02,51
2019-02-09,50
2019-02-16,46
2019-02-23,51
2019-03-02,44
2019-03-09,49
2019-03-16,50
2019-03-23,41
2019-03-30,46
2019-04-06,44
2019-04-13,40
2019-04-20,50
2019-04-27,52
2019-05-04,48
2019-05-11,49
2019-05-18,43
2019-05-25,41
2019-06-01,42
2019-06-08,43
2019-06-15,39
2019-06-22,38
2019-06-29,37
2019-07-06,35
2019-07-13,38
2019-07-20,37
2019-07-27,39
2019-08-03,40
2019-08-10,43
2019-08-17,74
2019-08-24,66
2019-08-31,47
2019-09-07,46
2019-09-14,48
2019-09-21,63
2019-09-28,51
2019-10-05,49
2019-10-12,49
2019-10-19,49
2019-10-26,57
2019-11-02,53
2019-11-09,55
2019-11-16,51
2019-11-23,47
2019-11-30,41
2019-12-07,40
2019-12-14,34
2019-12-21,34
2019-12-28,45
2020-01-04,58
2020-01-11,48
2020-01-18,50
2020-01-25,43
2020-02-01,40
2020-02-08,43
2020-02-15,43
2020-02-22,33
2020-02-29,35
