Search Term,forks over knives
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,71
2012-12-01,63
2012-12-08,61
2012-12-15,57
2012-12-22,73
2012-12-29,100
2013-01-05,90
2013-01-12,94
2013-01-19,90
2013-01-26,86
2013-02-02,87
2013-02-09,74
2013-02-16,83
2013-02-23,84
2013-03-02,85
2013-03-09,81
2013-03-16,84
2013-03-23,75
2013-03-30,85
2013-04-06,78
2013-04-13,78
2013-04-20,81
2013-04-27,70
2013-05-04,61
2013-05-11,64
2013-05-18,66
2013-05-25,62
2013-06-01,59
2013-06-08,60
2013-06-15,59
2013-06-22,57
2013-06-29,58
2013-07-06,64
2013-07-13,60
2013-07-20,60
2013-07-27,61
2013-08-03,59
2013-08-10,60
2013-08-17,57
2013-08-24,56
2013-08-31,51
2013-09-07,50
2013-09-14,48
2013-09-21,53
2013-09-28,49
2013-10-05,51
2013-10-12,47
2013-10-19,48
2013-10-26,47
2013-11-02,47
2013-11-09,45
2013-11-16,46
2013-11-23,43
2013-11-30,46
2013-12-07,43
2013-12-14,41
2013-12-21,42
2013-12-28,61
2014-01-04,57
2014-01-11,56
2014-01-18,55
2014-01-25,54
2014-02-01,48
2014-02-08,48
2014-02-15,49
2014-02-22,51
2014-03-01,51
2014-03-08,49
2014-03-15,49
2014-03-22,49
2014-03-29,51
2014-04-05,43
2014-04-12,46
2014-04-19,46
2014-04-26,51
2014-05-03,49
2014-05-10,46
2014-05-17,44
2014-05-24,41
2014-05-31,41
2014-06-07,40
2014-06-14,37
2014-06-21,38
2014-06-28,36
2014-07-05,42
2014-07-12,42
2014-07-19,45
2014-07-26,77
2014-08-02,48
2014-08-09,45
2014-08-16,49
2014-08-23,42
2014-08-30,46
2014-09-06,43
2014-09-13,49
2014-09-20,45
2014-09-27,42
2014-10-04,43
2014-10-11,43
2014-10-18,38
2014-10-25,45
2014-11-01,46
2014-11-08,47
2014-11-15,47
2014-11-22,39
2014-11-29,36
2014-12-06,38
2014-12-13,36
2014-12-20,35
2014-12-27,54
2015-01-03,54
2015-01-10,49
2015-01-17,56
2015-01-24,48
2015-01-31,49
2015-02-07,40
2015-02-14,47
2015-02-21,39
2015-02-28,37
2015-03-07,43
2015-03-14,41
2015-03-21,44
2015-03-28,42
2015-04-04,40
2015-04-11,40
2015-04-18,45
2015-04-25,42
2015-05-02,36
2015-05-09,42
2015-05-16,41
2015-05-23,42
2015-05-30,44
2015-06-06,40
2015-06-13,39
2015-06-20,38
2015-06-27,40
2015-07-04,45
2015-07-11,44
2015-07-18,51
2015-07-25,41
2015-08-01,45
2015-08-08,45
2015-08-15,43
2015-08-22,43
2015-08-29,39
2015-09-05,41
2015-09-12,43
2015-09-19,43
2015-09-26,46
2015-10-03,45
2015-10-10,55
2015-10-17,47
2015-10-24,54
2015-10-31,46
2015-11-07,40
2015-11-14,39
2015-11-21,36
2015-11-28,38
2015-12-05,40
2015-12-12,35
2015-12-19,37
2015-12-26,50
2016-01-02,51
2016-01-09,44
2016-01-16,43
2016-01-23,41
2016-01-30,42
2016-02-06,40
2016-02-13,38
2016-02-20,42
2016-02-27,42
2016-03-05,43
2016-03-12,39
2016-03-19,46
2016-03-26,44
2016-04-02,48
2016-04-09,42
2016-04-16,41
2016-04-23,39
2016-04-30,41
2016-05-07,34
2016-05-14,39
2016-05-21,37
2016-05-28,37
2016-06-04,35
2016-06-11,32
2016-06-18,32
2016-06-25,30
2016-07-02,34
2016-07-09,36
2016-07-16,41
2016-07-23,38
2016-07-30,36
2016-08-06,33
2016-08-13,32
2016-08-20,34
2016-08-27,33
2016-09-03,40
2016-09-10,34
2016-09-17,40
2016-09-24,36
2016-10-01,32
2016-10-08,34
2016-10-15,33
2016-10-22,33
2016-10-29,36
2016-11-05,33
2016-11-12,36
2016-11-19,38
2016-11-26,36
2016-12-03,39
2016-12-10,36
2016-12-17,37
2016-12-24,44
2016-12-31,63
