,Search Term,okja
192,2020-08-01,3.2978723404255317
193,2020-08-08,2.3556231003039514
194,2020-08-15,2.3556231003039514
195,2020-08-22,2.4498480243161094
196,2020-08-29,2.4498480243161094
197,2020-09-05,2.2613981762917934
198,2020-09-12,2.0729483282674774
199,2020-09-19,1.790273556231003
200,2020-09-26,2.2613981762917934
201,2020-10-03,1.8844984802431612
202,2020-10-10,2.2613981762917934
203,2020-10-17,1.696048632218845
204,2020-10-24,1.6018237082066868
205,2020-10-31,2.4498480243161094
206,2020-11-07,1.978723404255319
207,2020-11-14,1.790273556231003
208,2020-11-21,1.6018237082066868
209,2020-11-28,1.5075987841945289
210,2020-12-05,1.978723404255319
211,2020-12-12,1.8844984802431612
212,2020-12-19,2.0729483282674774
213,2020-12-26,2.4498480243161094
214,2021-01-02,2.2613981762917934
215,2021-01-09,2.9209726443768997
216,2021-01-16,2.9209726443768997
217,2021-01-23,2.3556231003039514
218,2021-01-30,1.8844984802431612
219,2021-02-06,1.978723404255319
220,2021-02-13,1.8844984802431612
221,2021-02-20,1.8844984802431612
222,2021-02-27,1.696048632218845
223,2021-03-06,1.6018237082066868
224,2021-03-13,1.8844984802431612
225,2021-03-20,1.6018237082066868
226,2021-03-27,1.6018237082066868
227,2021-04-03,1.6018237082066868
228,2021-04-10,1.6018237082066868
229,2021-04-17,1.6018237082066868
230,2021-04-24,1.790273556231003
231,2021-05-01,1.5075987841945289
232,2021-05-08,1.696048632218845
233,2021-05-15,2.1671732522796354
234,2021-05-22,1.696048632218845
235,2021-05-29,1.696048632218845
236,2021-06-05,1.6018237082066868
237,2021-06-12,2.0729483282674774
238,2021-06-19,1.696048632218845
239,2021-06-26,1.5075987841945289
240,2021-07-03,1.6018237082066868
241,2021-07-10,1.5075987841945289
242,2021-07-17,1.3191489361702127
243,2021-07-24,1.6018237082066868
244,2021-07-31,1.4133738601823709
245,2021-08-07,1.4133738601823709
246,2021-08-14,1.5075987841945289
247,2021-08-21,1.5075987841945289
248,2021-08-28,1.2249240121580547
249,2021-09-04,1.4133738601823709
250,2021-09-11,1.4133738601823709
251,2021-09-18,1.6018237082066868
252,2021-09-25,1.6018237082066868
253,2021-10-02,1.4133738601823709
254,2021-10-09,1.5075987841945289
255,2021-10-16,1.3191489361702127
256,2021-10-23,1.3191489361702127
257,2021-10-30,1.4133738601823709
258,2021-11-06,1.4133738601823709
259,2021-11-13,1.2249240121580547
260,2021-11-20,1.2249240121580547
261,2021-11-27,1.1306990881458967
262,2021-12-04,1.0364741641337387
263,2021-12-11,1.1306990881458967
264,2021-12-18,1.1306990881458967
265,2021-12-25,1.5075987841945289
266,2022-01-01,1.6018237082066868
267,2022-01-08,1.5075987841945289
268,2022-01-15,2.544072948328268
269,2022-01-22,1.978723404255319
270,2022-01-29,2.0729483282674774
271,2022-02-05,1.696048632218845
272,2022-02-12,1.5075987841945289
273,2022-02-19,1.5075987841945289
274,2022-02-26,1.5075987841945289
275,2022-03-05,1.696048632218845
276,2022-03-12,1.696048632218845
277,2022-03-19,1.8844984802431612
278,2022-03-26,1.790273556231003
279,2022-04-02,1.5075987841945289
280,2022-04-09,1.6018237082066868
281,2022-04-16,2.0729483282674774
282,2022-04-23,1.790273556231003
283,2022-04-30,1.696048632218845
284,2022-05-07,1.6018237082066868
285,2022-05-14,1.3191489361702127
286,2022-05-21,1.2249240121580547
287,2022-05-28,1.1306990881458967
288,2022-06-04,1.1306990881458967
289,2022-06-11,1.4133738601823709
290,2022-06-18,1.4133738601823709
291,2022-06-25,1.1306990881458967
292,2022-07-02,1.6018237082066868
293,2022-07-09,1.2249240121580547
294,2022-07-16,1.3191489361702127
295,2022-07-23,1.2249240121580547
296,2022-07-30,1.2249240121580547
297,2022-08-06,1.1306990881458967
298,2022-08-13,1.0364741641337387
299,2022-08-20,1.2249240121580547
300,2022-08-27,1.1306990881458967
301,2022-09-03,1.1306990881458967
302,2022-09-10,1.0364741641337387
303,2022-09-17,1.0364741641337387
304,2022-09-24,0.9422492401215806
305,2022-10-01,0.9422492401215806
306,2022-10-08,0.9422492401215806
307,2022-10-15,1.1306990881458967
308,2022-10-22,1.0364741641337387
309,2022-10-29,1.0364741641337387
310,2022-11-05,0.9422492401215806
311,2022-11-12,1.0364741641337387
312,2022-11-19,0.9422492401215806
313,2022-11-26,1.0364741641337387
314,2022-12-03,1.0364741641337387
315,2022-12-10,1.4133738601823709
316,2022-12-17,1.0364741641337387
317,2022-12-24,1.0364741641337387
318,2022-12-31,1.2249240121580547
319,2023-01-07,1.0364741641337387
320,2023-01-14,0.9422492401215806
321,2023-01-21,2.0729483282674774
322,2023-01-28,4.617021276595745
323,2023-02-04,3.2978723404255317
324,2023-02-11,2.7325227963525838
325,2023-02-18,2.544072948328268
326,2023-02-25,1.978723404255319
327,2023-03-04,1.790273556231003
328,2023-03-11,1.790273556231003
329,2023-03-18,1.6018237082066868
330,2023-03-25,1.6018237082066868
331,2023-04-01,1.3191489361702127
332,2023-04-08,2.0729483282674774
333,2023-04-15,1.696048632218845
334,2023-04-22,1.5075987841945289
335,2023-04-29,1.3191489361702127
336,2023-05-06,1.1306990881458967
337,2023-05-13,1.1306990881458967
338,2023-05-20,1.1306990881458967
339,2023-05-27,1.3191489361702127
340,2023-06-03,1.3191489361702127
341,2023-06-10,1.2249240121580547
342,2023-06-17,1.1306990881458967
343,2023-06-24,1.0364741641337387
344,2023-07-01,1.2249240121580547
345,2023-07-08,1.2249240121580547
346,2023-07-15,1.2249240121580547
347,2023-07-22,1.2249240121580547
348,2023-07-29,1.1306990881458967
349,2023-08-05,1.0364741641337387
350,2023-08-12,1.2249240121580547
351,2023-08-19,1.1306990881458967
352,2023-08-26,1.0364741641337387
353,2023-09-02,0.9422492401215806
354,2023-09-09,0.9422492401215806
355,2023-09-16,1.1306990881458967
356,2023-09-23,1.0364741641337387
357,2023-09-30,0.8480243161094225
358,2023-10-07,1.0364741641337387
359,2023-10-14,0.9422492401215806
360,2023-10-21,0.8480243161094225
361,2023-10-28,0.8480243161094225
362,2023-11-04,1.0364741641337387
363,2023-11-11,1.0364741641337387
364,2023-11-18,1.0364741641337387
365,2023-11-25,1.6018237082066868
366,2023-12-02,1.3191489361702127
367,2023-12-09,0.9422492401215806
368,2023-12-16,0.9422492401215806
369,2023-12-23,1.2249240121580547
370,2023-12-30,1.0364741641337387
371,2024-01-06,1.1306990881458967
372,2024-01-13,1.1306990881458967
373,2024-01-20,1.1306990881458967
374,2024-01-27,1.2249240121580547
375,2024-02-03,1.4133738601823709
376,2024-02-10,1.4133738601823709
377,2024-02-17,1.2249240121580547
378,2024-02-24,1.1306990881458967
379,2024-03-02,1.0364741641337387
380,2024-03-09,0.8480243161094225
381,2024-03-16,0.9422492401215806
382,2024-03-23,1.0364741641337387
383,2024-03-30,0.9422492401215806
384,2024-04-06,1.0364741641337387
385,2024-04-13,0.8480243161094225
386,2024-04-20,0.9422492401215806
387,2024-04-27,1.0364741641337387
388,2024-05-04,0.9422492401215806
389,2024-05-11,0.9422492401215806
390,2024-05-18,0.9422492401215806
391,2024-05-25,0.9422492401215806
