,Search Term,what the health
193,2020-08-08,4.059352517985611
194,2020-08-15,4.658273381294964
195,2020-08-22,4.45863309352518
196,2020-08-29,4.325539568345324
197,2020-09-05,4.059352517985611
198,2020-09-12,4.525179856115108
199,2020-09-19,4.79136690647482
200,2020-09-26,4.059352517985611
201,2020-10-03,4.192446043165467
202,2020-10-10,3.7266187050359707
203,2020-10-17,3.8597122302158273
204,2020-10-24,3.460431654676259
205,2020-10-31,2.8615107913669067
206,2020-11-07,3.1276978417266186
207,2020-11-14,3.0611510791366907
208,2020-11-21,2.9280575539568345
209,2020-11-28,3.0611510791366907
210,2020-12-05,2.661870503597122
211,2020-12-12,2.8615107913669067
212,2020-12-19,2.5287769784172665
213,2020-12-26,3.526978417266187
214,2021-01-02,4.125899280575539
215,2021-01-09,3.7266187050359707
216,2021-01-16,3.593525179856115
217,2021-01-23,3.393884892086331
218,2021-01-30,3.327338129496403
219,2021-02-06,3.0611510791366907
220,2021-02-13,3.393884892086331
221,2021-02-20,3.0611510791366907
222,2021-02-27,3.526978417266187
223,2021-03-06,2.9946043165467624
224,2021-03-13,3.0611510791366907
225,2021-03-20,3.327338129496403
226,2021-03-27,4.591726618705036
227,2021-04-03,4.45863309352518
228,2021-04-10,4.724820143884892
229,2021-04-17,4.392086330935252
230,2021-04-24,4.125899280575539
231,2021-05-01,3.9262589928057556
232,2021-05-08,3.593525179856115
233,2021-05-15,3.194244604316547
234,2021-05-22,3.260791366906475
235,2021-05-29,2.9280575539568345
236,2021-06-05,2.7949640287769784
237,2021-06-12,2.7284172661870505
238,2021-06-19,2.329136690647482
239,2021-06-26,2.661870503597122
240,2021-07-03,2.5287769784172665
241,2021-07-10,2.8615107913669067
242,2021-07-17,2.661870503597122
243,2021-07-24,2.39568345323741
244,2021-07-31,2.661870503597122
245,2021-08-07,2.462230215827338
246,2021-08-14,2.7949640287769784
247,2021-08-21,2.5953237410071943
248,2021-08-28,2.5953237410071943
249,2021-09-04,2.39568345323741
250,2021-09-11,2.5287769784172665
251,2021-09-18,2.5953237410071943
252,2021-09-25,2.462230215827338
253,2021-10-02,2.462230215827338
