,Search Term,forks over knives
199,2012-09-22,45.99999999999999
200,2012-09-29,44.99999999999999
201,2012-10-06,43.99999999999999
202,2012-10-13,46.99999999999999
203,2012-10-20,41.0
204,2012-10-27,38.99999999999999
205,2012-11-03,36.99999999999999
206,2012-11-10,43.0
207,2012-11-17,37.99999999999999
208,2012-11-24,41.43058823529412
209,2012-12-01,36.762352941176474
210,2012-12-08,35.595294117647065
211,2012-12-15,33.26117647058824
212,2012-12-22,42.597647058823526
213,2012-12-29,58.352941176470594
214,2013-01-05,52.51764705882353
215,2013-01-12,54.85176470588235
216,2013-01-19,52.51764705882353
217,2013-01-26,50.1835294117647
218,2013-02-02,50.76705882352941
219,2013-02-09,43.18117647058824
220,2013-02-16,48.432941176470585
221,2013-02-23,49.01647058823529
222,2013-03-02,49.60000000000001
223,2013-03-09,47.265882352941176
224,2013-03-16,49.01647058823529
225,2013-03-23,43.76470588235294
226,2013-03-30,49.60000000000001
227,2013-04-06,45.51529411764706
228,2013-04-13,45.51529411764706
229,2013-04-20,47.265882352941176
230,2013-04-27,40.847058823529416
231,2013-05-04,35.595294117647065
232,2013-05-11,37.34588235294118
233,2013-05-18,38.51294117647059
234,2013-05-25,36.178823529411765
235,2013-06-01,34.42823529411765
236,2013-06-08,35.01176470588236
237,2013-06-15,34.42823529411765
238,2013-06-22,33.26117647058824
239,2013-06-29,33.84470588235294
240,2013-07-06,37.34588235294118
241,2013-07-13,35.01176470588236
242,2013-07-20,35.01176470588236
243,2013-07-27,35.595294117647065
244,2013-08-03,34.42823529411765
245,2013-08-10,35.01176470588236
246,2013-08-17,33.26117647058824
247,2013-08-24,32.67764705882353
248,2013-08-31,29.76
249,2013-09-07,29.176470588235297
250,2013-09-14,28.00941176470588
251,2013-09-21,30.927058823529414
252,2013-09-28,28.59294117647059
253,2013-10-05,29.76
254,2013-10-12,27.425882352941176
255,2013-10-19,28.00941176470588
256,2013-10-26,27.425882352941176
257,2013-11-02,27.425882352941176
258,2013-11-09,26.258823529411764
259,2013-11-16,26.842352941176472
260,2013-11-23,25.09176470588235
261,2013-11-30,26.842352941176472
262,2013-12-07,25.09176470588235
263,2013-12-14,23.924705882352946
264,2013-12-21,24.508235294117647
265,2013-12-28,35.595294117647065
266,2014-01-04,33.26117647058824
