Search Term,cowspiracy: the sustainability secret
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,20
2020-02-01,19
2020-02-08,20
2020-02-15,20
2020-02-22,15
2020-02-29,16
2020-03-07,16
2020-03-14,14
2020-03-21,18
2020-03-28,18
2020-04-04,18
2020-04-11,19
2020-04-18,19
2020-04-25,21
2020-05-02,19
2020-05-09,19
2020-05-16,17
2020-05-23,15
2020-05-30,13
2020-06-06,18
2020-06-13,13
2020-06-20,13
2020-06-27,12
2020-07-04,13
2020-07-11,13
2020-07-18,14
2020-07-25,14
2020-08-01,12
2020-08-08,12
2020-08-15,14
2020-08-22,15
2020-08-29,13
2020-09-05,14
2020-09-12,17
2020-09-19,15
2020-09-26,14
2020-10-03,14
2020-10-10,11
2020-10-17,12
2020-10-24,11
2020-10-31,10
2020-11-07,10
2020-11-14,11
2020-11-21,9
2020-11-28,10
2020-12-05,10
2020-12-12,10
2020-12-19,7
2020-12-26,11
2021-01-02,11
2021-01-09,12
2021-01-16,10
2021-01-23,12
2021-01-30,11
2021-02-06,9
2021-02-13,11
2021-02-20,10
2021-02-27,11
2021-03-06,10
2021-03-13,12
2021-03-20,29
2021-03-27,84
2021-04-03,100
2021-04-10,63
2021-04-17,49
2021-04-24,35
2021-05-01,30
2021-05-08,24
2021-05-15,21
2021-05-22,19
2021-05-29,16
2021-06-05,16
2021-06-12,14
2021-06-19,13
2021-06-26,12
2021-07-03,12
2021-07-10,13
2021-07-17,11
2021-07-24,13
2021-07-31,10
2021-08-07,12
2021-08-14,12
2021-08-21,11
2021-08-28,10
2021-09-04,12
2021-09-11,11
2021-09-18,11
2021-09-25,9
2021-10-02,9
2021-10-09,10
2021-10-16,10
2021-10-23,9
2021-10-30,11
2021-11-06,11
2021-11-13,11
2021-11-20,10
2021-11-27,8
2021-12-04,6
2021-12-11,6
2021-12-18,6
2021-12-25,9
2022-01-01,12
2022-01-08,13
2022-01-15,10
2022-01-22,11
2022-01-29,13
2022-02-05,8
2022-02-12,10
2022-02-19,9
2022-02-26,9
2022-03-05,9
2022-03-12,9
2022-03-19,9
2022-03-26,11
2022-04-02,10
2022-04-09,8
2022-04-16,10
2022-04-23,11
2022-04-30,9
2022-05-07,9
2022-05-14,7
2022-05-21,8
2022-05-28,8
2022-06-04,8
2022-06-11,8
2022-06-18,10
2022-06-25,7
2022-07-02,7
2022-07-09,5
2022-07-16,8
2022-07-23,6
2022-07-30,7
2022-08-06,7
2022-08-13,7
2022-08-20,7
2022-08-27,9
2022-09-03,7
2022-09-10,7
2022-09-17,7
2022-09-24,6
2022-10-01,8
2022-10-08,7
2022-10-15,8
2022-10-22,9
2022-10-29,7
2022-11-05,8
2022-11-12,6
2022-11-19,6
2022-11-26,7
2022-12-03,6
2022-12-10,7
2022-12-17,5
2022-12-24,5
2022-12-31,6
2023-01-07,7
2023-01-14,6
2023-01-21,6
2023-01-28,6
2023-02-04,7
2023-02-11,6
2023-02-18,6
2023-02-25,7
2023-03-04,6
2023-03-11,7
2023-03-18,7
2023-03-25,7
2023-04-01,5
2023-04-08,6
2023-04-15,7
2023-04-22,7
2023-04-29,8
2023-05-06,6
2023-05-13,6
2023-05-20,6
2023-05-27,6
2023-06-03,6
2023-06-10,5
2023-06-17,5
2023-06-24,4
2023-07-01,4
2023-07-08,5
2023-07-15,4
2023-07-22,5
2023-07-29,4
2023-08-05,4
2023-08-12,7
2023-08-19,6
2023-08-26,4
2023-09-02,4
2023-09-09,4
2023-09-16,4
2023-09-23,5
2023-09-30,6
2023-10-07,4
2023-10-14,5
2023-10-21,5
2023-10-28,6
2023-11-04,6
2023-11-11,5
2023-11-18,6
2023-11-25,5
2023-12-02,5
2023-12-09,4
2023-12-16,4
2023-12-23,4
2023-12-30,6
2024-01-06,7
2024-01-13,6
2024-01-20,6
2024-01-27,5
2024-02-03,6
2024-02-10,5
2024-02-17,8
2024-02-24,5
2024-03-02,6
2024-03-09,5
2024-03-16,7
2024-03-23,6
2024-03-30,6
2024-04-06,5
2024-04-13,5
2024-04-20,6
2024-04-27,7
2024-05-04,4
2024-05-11,6
2024-05-18,5
2024-05-25,5
