,Search Term,the game changers
198,2020-09-12,6.156316916488223
199,2020-09-19,6.648822269807282
200,2020-09-26,6.648822269807282
201,2020-10-03,6.89507494646681
202,2020-10-10,5.910064239828695
203,2020-10-17,5.910064239828695
204,2020-10-24,5.663811563169166
205,2020-10-31,5.171306209850108
206,2020-11-07,5.417558886509637
207,2020-11-14,4.925053533190579
208,2020-11-21,5.171306209850108
209,2020-11-28,4.432548179871521
210,2020-12-05,6.156316916488223
211,2020-12-12,4.432548179871521
212,2020-12-19,4.925053533190579
213,2020-12-26,6.402569593147753
214,2021-01-02,6.648822269807282
215,2021-01-09,6.156316916488223
216,2021-01-16,5.910064239828695
217,2021-01-23,5.910064239828695
218,2021-01-30,5.663811563169166
219,2021-02-06,5.417558886509637
220,2021-02-13,5.910064239828695
221,2021-02-20,6.402569593147753
222,2021-02-27,5.910064239828695
223,2021-03-06,5.663811563169166
224,2021-03-13,5.663811563169166
225,2021-03-20,7.387580299785869
226,2021-03-27,7.6338329764453965
227,2021-04-03,7.880085653104926
228,2021-04-10,8.618843683083513
229,2021-04-17,7.880085653104926
230,2021-04-24,7.387580299785869
231,2021-05-01,6.648822269807282
232,2021-05-08,6.156316916488223
233,2021-05-15,5.910064239828695
234,2021-05-22,6.156316916488223
235,2021-05-29,6.156316916488223
236,2021-06-05,5.417558886509637
237,2021-06-12,5.417558886509637
238,2021-06-19,4.925053533190579
239,2021-06-26,4.6788008565310495
240,2021-07-03,4.925053533190579
241,2021-07-10,5.171306209850108
242,2021-07-17,5.663811563169166
243,2021-07-24,4.6788008565310495
244,2021-07-31,4.432548179871521
245,2021-08-07,4.925053533190579
246,2021-08-14,5.171306209850108
247,2021-08-21,4.925053533190579
248,2021-08-28,4.6788008565310495
249,2021-09-04,4.432548179871521
250,2021-09-11,4.432548179871521
251,2021-09-18,4.6788008565310495
252,2021-09-25,4.432548179871521
253,2021-10-02,3.940042826552463
254,2021-10-09,4.1862955032119915
255,2021-10-16,4.1862955032119915
256,2021-10-23,3.6937901498929344
257,2021-10-30,4.1862955032119915
258,2021-11-06,4.1862955032119915
259,2021-11-13,4.6788008565310495
260,2021-11-20,4.6788008565310495
261,2021-11-27,4.432548179871521
262,2021-12-04,4.1862955032119915
263,2021-12-11,4.1862955032119915
264,2021-12-18,3.940042826552463
265,2021-12-25,4.6788008565310495
266,2022-01-01,6.648822269807282
267,2022-01-08,5.910064239828695
268,2022-01-15,4.6788008565310495
269,2022-01-22,4.6788008565310495
270,2022-01-29,5.417558886509637
271,2022-02-05,4.432548179871521
272,2022-02-12,4.6788008565310495
273,2022-02-19,4.6788008565310495
274,2022-02-26,4.1862955032119915
275,2022-03-05,3.6937901498929344
276,2022-03-12,4.1862955032119915
277,2022-03-19,3.940042826552463
278,2022-03-26,3.940042826552463
279,2022-04-02,3.940042826552463
280,2022-04-09,3.447537473233405
281,2022-04-16,3.940042826552463
282,2022-04-23,4.432548179871521
283,2022-04-30,3.940042826552463
284,2022-05-07,4.432548179871521
285,2022-05-14,3.447537473233405
286,2022-05-21,3.6937901498929344
287,2022-05-28,3.2012847965738764
288,2022-06-04,3.2012847965738764
289,2022-06-11,4.6788008565310495
290,2022-06-18,4.925053533190579
291,2022-06-25,4.6788008565310495
292,2022-07-02,3.447537473233405
293,2022-07-09,3.447537473233405
294,2022-07-16,3.6937901498929344
295,2022-07-23,3.2012847965738764
296,2022-07-30,3.447537473233405
297,2022-08-06,3.447537473233405
298,2022-08-13,3.447537473233405
299,2022-08-20,2.9550321199143474
300,2022-08-27,2.9550321199143474
301,2022-09-03,3.2012847965738764
302,2022-09-10,2.9550321199143474
303,2022-09-17,2.7087794432548185
304,2022-09-24,2.9550321199143474
305,2022-10-01,2.9550321199143474
306,2022-10-08,3.2012847965738764
307,2022-10-15,2.9550321199143474
308,2022-10-22,2.7087794432548185
309,2022-10-29,2.7087794432548185
310,2022-11-05,2.7087794432548185
311,2022-11-12,3.447537473233405
312,2022-11-19,2.9550321199143474
313,2022-11-26,2.9550321199143474
314,2022-12-03,2.7087794432548185
315,2022-12-10,2.2162740899357605
316,2022-12-17,2.2162740899357605
317,2022-12-24,2.7087794432548185
318,2022-12-31,3.2012847965738764
319,2023-01-07,2.7087794432548185
320,2023-01-14,2.9550321199143474
321,2023-01-21,2.9550321199143474
322,2023-01-28,2.7087794432548185
323,2023-02-04,2.7087794432548185
324,2023-02-11,2.4625267665952895
325,2023-02-18,2.4625267665952895
326,2023-02-25,2.9550321199143474
327,2023-03-04,2.9550321199143474
328,2023-03-11,2.7087794432548185
329,2023-03-18,3.2012847965738764
330,2023-03-25,4.925053533190579
331,2023-04-01,3.6937901498929344
332,2023-04-08,4.6788008565310495
333,2023-04-15,5.663811563169166
334,2023-04-22,4.1862955032119915
335,2023-04-29,3.447537473233405
336,2023-05-06,2.9550321199143474
337,2023-05-13,3.2012847965738764
338,2023-05-20,2.7087794432548185
339,2023-05-27,2.9550321199143474
340,2023-06-03,3.2012847965738764
341,2023-06-10,3.447537473233405
342,2023-06-17,3.2012847965738764
343,2023-06-24,3.2012847965738764
344,2023-07-01,2.9550321199143474
345,2023-07-08,2.9550321199143474
346,2023-07-15,2.9550321199143474
347,2023-07-22,2.9550321199143474
348,2023-07-29,2.9550321199143474
349,2023-08-05,2.9550321199143474
350,2023-08-12,3.2012847965738764
351,2023-08-19,2.7087794432548185
352,2023-08-26,2.7087794432548185
353,2023-09-02,2.4625267665952895
354,2023-09-09,2.4625267665952895
355,2023-09-16,2.4625267665952895
356,2023-09-23,2.4625267665952895
357,2023-09-30,2.4625267665952895
358,2023-10-07,2.4625267665952895
359,2023-10-14,2.4625267665952895
360,2023-10-21,2.4625267665952895
361,2023-10-28,2.4625267665952895
362,2023-11-04,2.4625267665952895
363,2023-11-11,2.7087794432548185
364,2023-11-18,2.7087794432548185
365,2023-11-25,2.7087794432548185
366,2023-12-02,2.9550321199143474
367,2023-12-09,2.7087794432548185
368,2023-12-16,2.2162740899357605
369,2023-12-23,1.9700214132762315
370,2023-12-30,3.447537473233405
371,2024-01-06,3.6937901498929344
372,2024-01-13,2.9550321199143474
373,2024-01-20,2.7087794432548185
374,2024-01-27,2.7087794432548185
375,2024-02-03,2.7087794432548185
376,2024-02-10,2.4625267665952895
377,2024-02-17,2.7087794432548185
378,2024-02-24,2.2162740899357605
379,2024-03-02,2.2162740899357605
380,2024-03-09,2.2162740899357605
381,2024-03-16,2.2162740899357605
382,2024-03-23,1.9700214132762315
383,2024-03-30,1.9700214132762315
384,2024-04-06,1.9700214132762315
385,2024-04-13,1.9700214132762315
386,2024-04-20,1.9700214132762315
387,2024-04-27,2.2162740899357605
388,2024-05-04,2.2162740899357605
389,2024-05-11,2.2162740899357605
390,2024-05-18,2.7087794432548185
391,2024-05-25,1.9700214132762315
