Search Term,what the health
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,0
2017-03-11,0
2017-03-18,1
2017-03-25,1
2017-04-01,1
2017-04-08,4
2017-04-15,4
2017-04-22,4
2017-04-29,4
2017-05-06,4
2017-05-13,3
2017-05-20,2
2017-05-27,2
2017-06-03,3
2017-06-10,8
2017-06-17,38
2017-06-24,61
2017-07-01,74
2017-07-08,91
2017-07-15,99
2017-07-22,100
2017-07-29,81
2017-08-05,88
2017-08-12,59
2017-08-19,42
2017-08-26,41
2017-09-02,36
2017-09-09,33
2017-09-16,30
2017-09-23,26
2017-09-30,25
2017-10-07,24
2017-10-14,22
2017-10-21,21
2017-10-28,18
2017-11-04,18
2017-11-11,18
2017-11-18,10
2017-11-25,11
2017-12-02,15
2017-12-09,12
2017-12-16,12
2017-12-23,14
2017-12-30,19
2018-01-06,18
2018-01-13,17
2018-01-20,14
2018-01-27,14
2018-02-03,12
2018-02-10,12
2018-02-17,12
2018-02-24,11
2018-03-03,10
2018-03-10,10
2018-03-17,11
2018-03-24,10
2018-03-31,10
2018-04-07,11
2018-04-14,9
2018-04-21,9
2018-04-28,9
2018-05-05,9
2018-05-12,8
2018-05-19,7
2018-05-26,7
2018-06-02,7
2018-06-09,7
2018-06-16,7
2018-06-23,6
2018-06-30,6
2018-07-07,6
2018-07-14,6
2018-07-21,7
2018-07-28,7
2018-08-04,7
2018-08-11,6
2018-08-18,7
2018-08-25,6
2018-09-01,6
2018-09-08,6
2018-09-15,6
2018-09-22,6
2018-09-29,6
2018-10-06,6
2018-10-13,6
2018-10-20,6
2018-10-27,6
2018-11-03,6
2018-11-10,6
2018-11-17,5
2018-11-24,6
2018-12-01,5
2018-12-08,6
2018-12-15,5
2018-12-22,6
2018-12-29,8
2019-01-05,8
2019-01-12,7
2019-01-19,7
2019-01-26,8
2019-02-02,7
2019-02-09,7
2019-02-16,7
2019-02-23,7
2019-03-02,7
2019-03-09,6
2019-03-16,7
2019-03-23,6
2019-03-30,6
2019-04-06,6
2019-04-13,6
2019-04-20,6
2019-04-27,7
2019-05-04,6
2019-05-11,6
2019-05-18,6
2019-05-25,6
2019-06-01,5
2019-06-08,6
2019-06-15,5
2019-06-22,5
2019-06-29,5
2019-07-06,5
2019-07-13,6
2019-07-20,5
2019-07-27,6
2019-08-03,6
2019-08-10,6
2019-08-17,6
2019-08-24,5
2019-08-31,5
2019-09-07,6
2019-09-14,5
2019-09-21,5
2019-09-28,6
2019-10-05,5
2019-10-12,6
2019-10-19,7
2019-10-26,7
2019-11-02,8
2019-11-09,9
2019-11-16,8
2019-11-23,6
2019-11-30,6
2019-12-07,5
2019-12-14,6
2019-12-21,6
2019-12-28,7
2020-01-04,8
2020-01-11,8
2020-01-18,7
2020-01-25,7
2020-02-01,6
2020-02-08,6
2020-02-15,7
2020-02-22,6
2020-02-29,5
