Search Term,vegetarian recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,48
2016-12-03,45
2016-12-10,47
2016-12-17,53
2016-12-24,52
2016-12-31,70
2017-01-07,59
2017-01-14,58
2017-01-21,53
2017-01-28,55
2017-02-04,51
2017-02-11,53
2017-02-18,47
2017-02-25,50
2017-03-04,48
2017-03-11,48
2017-03-18,47
2017-03-25,47
2017-04-01,48
2017-04-08,51
2017-04-15,40
2017-04-22,44
2017-04-29,46
2017-05-06,45
2017-05-13,45
2017-05-20,40
2017-05-27,41
2017-06-03,47
2017-06-10,45
2017-06-17,50
2017-06-24,50
2017-07-01,56
2017-07-08,56
2017-07-15,57
2017-07-22,58
2017-07-29,55
2017-08-05,53
2017-08-12,56
2017-08-19,49
2017-08-26,41
2017-09-02,55
2017-09-09,54
2017-09-16,55
2017-09-23,51
2017-09-30,55
2017-10-07,57
2017-10-14,57
2017-10-21,54
2017-10-28,59
2017-11-04,61
2017-11-11,59
2017-11-18,55
2017-11-25,58
2017-12-02,56
2017-12-09,53
2017-12-16,65
2017-12-23,69
2017-12-30,92
2018-01-06,84
2018-01-13,73
2018-01-20,69
2018-01-27,72
2018-02-03,67
2018-02-10,65
2018-02-17,66
2018-02-24,58
2018-03-03,60
2018-03-10,56
2018-03-17,58
2018-03-24,60
2018-03-31,56
2018-04-07,53
2018-04-14,55
2018-04-21,49
2018-04-28,49
2018-05-05,52
2018-05-12,50
2018-05-19,48
2018-05-26,50
2018-06-02,50
2018-06-09,49
2018-06-16,48
2018-06-23,44
2018-06-30,45
2018-07-07,45
2018-07-14,49
2018-07-21,52
2018-07-28,49
2018-08-04,50
2018-08-11,55
2018-08-18,50
2018-08-25,46
2018-09-01,50
2018-09-08,48
2018-09-15,51
2018-09-22,48
2018-09-29,49
2018-10-06,55
2018-10-13,54
2018-10-20,51
2018-10-27,50
2018-11-03,58
2018-11-10,53
2018-11-17,52
2018-11-24,53
2018-12-01,49
2018-12-08,47
2018-12-15,51
2018-12-22,54
2018-12-29,84
2019-01-05,69
2019-01-12,66
2019-01-19,62
2019-01-26,63
2019-02-02,61
2019-02-09,52
2019-02-16,51
2019-02-23,48
2019-03-02,56
2019-03-09,53
2019-03-16,52
2019-03-23,49
2019-03-30,50
2019-04-06,49
2019-04-13,50
2019-04-20,48
2019-04-27,49
2019-05-04,49
2019-05-11,51
2019-05-18,45
2019-05-25,46
2019-06-01,49
2019-06-08,50
2019-06-15,48
2019-06-22,45
2019-06-29,42
2019-07-06,46
2019-07-13,51
2019-07-20,49
2019-07-27,49
2019-08-03,56
2019-08-10,49
2019-08-17,48
2019-08-24,47
2019-08-31,49
2019-09-07,51
2019-09-14,47
2019-09-21,53
2019-09-28,54
2019-10-05,52
2019-10-12,49
2019-10-19,63
2019-10-26,65
2019-11-02,65
2019-11-09,72
2019-11-16,71
2019-11-23,60
2019-11-30,61
2019-12-07,57
2019-12-14,64
2019-12-21,64
2019-12-28,100
2020-01-04,94
2020-01-11,79
2020-01-18,76
2020-01-25,71
2020-02-01,63
2020-02-08,65
2020-02-15,63
2020-02-22,64
2020-02-29,60
