,Search Term,vegetarian restaurants near me
0,2012-11-24,0.0
1,2012-12-01,0.0
2,2012-12-08,0.0
3,2012-12-15,0.0
4,2012-12-22,0.0
5,2012-12-29,0.0
6,2013-01-05,0.0
7,2013-01-12,0.0
8,2013-01-19,0.0
9,2013-01-26,0.0
10,2013-02-02,0.0
11,2013-02-09,0.0
12,2013-02-16,3.8413361169102296
13,2013-02-23,0.0
14,2013-03-02,0.0
15,2013-03-09,0.0
16,2013-03-16,0.0
17,2013-03-23,3.0730688935281836
18,2013-03-30,0.0
19,2013-04-06,0.0
20,2013-04-13,0.0
21,2013-04-20,0.0
22,2013-04-27,0.0
23,2013-05-04,0.0
24,2013-05-11,2.304801670146138
25,2013-05-18,0.0
26,2013-05-25,0.0
27,2013-06-01,0.0
28,2013-06-08,2.304801670146138
29,2013-06-15,0.0
30,2013-06-22,0.0
31,2013-06-29,0.0
32,2013-07-06,3.0730688935281836
33,2013-07-13,0.0
34,2013-07-20,0.0
35,2013-07-27,2.688935281837161
36,2013-08-03,2.304801670146138
37,2013-08-10,0.0
38,2013-08-17,2.304801670146138
39,2013-08-24,2.304801670146138
40,2013-08-31,1.9206680584551148
41,2013-09-07,0.0
42,2013-09-14,0.0
43,2013-09-21,4.609603340292276
44,2013-09-28,2.304801670146138
45,2013-10-05,2.304801670146138
46,2013-10-12,2.304801670146138
47,2013-10-19,0.0
48,2013-10-26,3.0730688935281836
49,2013-11-02,3.0730688935281836
50,2013-11-09,3.0730688935281836
51,2013-11-16,0.0
52,2013-11-23,3.0730688935281836
53,2013-11-30,0.0
54,2013-12-07,0.0
55,2013-12-14,2.688935281837161
56,2013-12-21,2.304801670146138
57,2013-12-28,3.8413361169102296
58,2014-01-04,2.688935281837161
59,2014-01-11,2.688935281837161
60,2014-01-18,2.688935281837161
61,2014-01-25,3.457202505219207
62,2014-02-01,1.9206680584551148
63,2014-02-08,3.8413361169102296
64,2014-02-15,2.304801670146138
65,2014-02-22,2.304801670146138
66,2014-03-01,3.457202505219207
67,2014-03-08,3.8413361169102296
68,2014-03-15,3.457202505219207
69,2014-03-22,2.304801670146138
70,2014-03-29,3.8413361169102296
71,2014-04-05,6.530271398747391
72,2014-04-12,4.225469728601253
73,2014-04-19,3.8413361169102296
74,2014-04-26,3.8413361169102296
75,2014-05-03,4.9937369519832995
76,2014-05-10,3.8413361169102296
77,2014-05-17,4.9937369519832995
78,2014-05-24,4.9937369519832995
79,2014-05-31,4.225469728601253
80,2014-06-07,4.225469728601253
81,2014-06-14,4.9937369519832995
82,2014-06-21,5.377870563674322
83,2014-06-28,5.762004175365345
84,2014-07-05,6.530271398747391
85,2014-07-12,4.9937369519832995
86,2014-07-19,6.530271398747391
87,2014-07-26,6.914405010438414
88,2014-08-02,7.2985386221294375
89,2014-08-09,6.146137787056367
90,2014-08-16,6.530271398747391
91,2014-08-23,8.835073068893529
92,2014-08-30,6.530271398747391
93,2014-09-06,4.9937369519832995
94,2014-09-13,7.2985386221294375
95,2014-09-20,4.225469728601253
96,2014-09-27,5.377870563674322
97,2014-10-04,6.914405010438414
98,2014-10-11,6.146137787056367
99,2014-10-18,6.914405010438414
100,2014-10-25,6.530271398747391
101,2014-11-01,6.914405010438414
102,2014-11-08,5.762004175365345
103,2014-11-15,3.0730688935281836
104,2014-11-22,1.9206680584551148
105,2014-11-29,3.457202505219207
106,2014-12-06,4.609603340292276
107,2014-12-13,4.225469728601253
108,2014-12-20,3.457202505219207
109,2014-12-27,8.450939457202505
110,2015-01-03,4.609603340292276
111,2015-01-10,5.377870563674322
112,2015-01-17,6.146137787056367
113,2015-01-24,4.225469728601253
114,2015-01-31,5.762004175365345
115,2015-02-07,5.762004175365345
116,2015-02-14,6.914405010438414
117,2015-02-21,8.450939457202505
118,2015-02-28,8.835073068893529
119,2015-03-07,8.450939457202505
120,2015-03-14,10.755741127348644
121,2015-03-21,10.755741127348644
122,2015-03-28,8.835073068893529
123,2015-04-04,8.066805845511482
124,2015-04-11,7.682672233820459
125,2015-04-18,4.609603340292276
126,2015-04-25,5.762004175365345
127,2015-05-02,4.609603340292276
128,2015-05-09,5.377870563674322
129,2015-05-16,7.2985386221294375
130,2015-05-23,7.2985386221294375
131,2015-05-30,7.2985386221294375
132,2015-06-06,8.835073068893529
133,2015-06-13,9.219206680584552
134,2015-06-20,10.755741127348644
135,2015-06-27,10.755741127348644
136,2015-07-04,14.212943632567848
137,2015-07-11,14.981210855949897
138,2015-07-18,15.365344467640918
139,2015-07-25,16.90187891440501
140,2015-08-01,17.286012526096034
141,2015-08-08,12.676409185803758
142,2015-08-15,17.286012526096034
143,2015-08-22,16.133611691022963
144,2015-08-29,13.828810020876828
145,2015-09-05,14.212943632567848
146,2015-09-12,11.139874739039666
147,2015-09-19,10.755741127348644
148,2015-09-26,12.292275574112734
149,2015-10-03,9.987473903966599
150,2015-10-10,14.981210855949897
151,2015-10-17,10.755741127348644
152,2015-10-24,10.755741127348644
153,2015-10-31,11.52400835073069
154,2015-11-07,15.365344467640918
155,2015-11-14,11.139874739039666
156,2015-11-21,11.908141962421713
157,2015-11-28,11.908141962421713
158,2015-12-05,11.52400835073069
159,2015-12-12,16.517745302713987
160,2015-12-19,19.59081419624217
161,2015-12-26,23.816283924843425
162,2016-01-02,19.206680584551147
163,2016-01-09,18.438413361169104
164,2016-01-16,16.133611691022963
165,2016-01-23,18.822546972860128
166,2016-01-30,17.286012526096034
167,2016-02-06,21.511482254697288
168,2016-02-13,24.968684759916496
169,2016-02-20,19.206680584551147
