Search Term,plant based diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,34
2012-12-29,40
2013-01-05,35
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,42
2013-02-23,0
2013-03-02,85
2013-03-09,40
2013-03-16,0
2013-03-23,31
2013-03-30,37
2013-04-06,0
2013-04-13,43
2013-04-20,0
2013-04-27,0
2013-05-04,0
2013-05-11,39
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,37
2013-06-22,0
2013-06-29,0
2013-07-06,0
2013-07-13,29
2013-07-20,32
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,0
2013-08-31,28
2013-09-07,0
2013-09-14,0
2013-09-21,0
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,0
2013-12-28,48
2014-01-04,36
2014-01-11,0
2014-01-18,27
2014-01-25,24
2014-02-01,31
2014-02-08,0
2014-02-15,31
2014-02-22,47
2014-03-01,0
2014-03-08,31
2014-03-15,36
2014-03-22,0
2014-03-29,0
2014-04-05,0
2014-04-12,0
2014-04-19,32
2014-04-26,38
2014-05-03,30
2014-05-10,0
2014-05-17,0
2014-05-24,32
2014-05-31,30
2014-06-07,0
2014-06-14,0
2014-06-21,0
2014-06-28,32
2014-07-05,0
2014-07-12,0
2014-07-19,0
2014-07-26,51
2014-08-02,0
2014-08-09,0
2014-08-16,30
2014-08-23,0
2014-08-30,0
2014-09-06,0
2014-09-13,0
2014-09-20,27
2014-09-27,29
2014-10-04,28
2014-10-11,0
2014-10-18,32
2014-10-25,0
2014-11-01,0
2014-11-08,0
2014-11-15,0
2014-11-22,0
2014-11-29,41
2014-12-06,0
2014-12-13,37
2014-12-20,0
2014-12-27,31
2015-01-03,0
2015-01-10,38
2015-01-17,28
2015-01-24,38
2015-01-31,27
2015-02-07,31
2015-02-14,33
2015-02-21,32
2015-02-28,40
2015-03-07,36
2015-03-14,0
2015-03-21,30
2015-03-28,0
2015-04-04,36
2015-04-11,27
2015-04-18,0
2015-04-25,53
2015-05-02,35
2015-05-09,35
2015-05-16,43
2015-05-23,47
2015-05-30,30
2015-06-06,29
2015-06-13,37
2015-06-20,26
2015-06-27,38
2015-07-04,0
2015-07-11,31
2015-07-18,46
2015-07-25,35
2015-08-01,27
2015-08-08,45
2015-08-15,0
2015-08-22,23
2015-08-29,0
2015-09-05,0
2015-09-12,25
2015-09-19,25
2015-09-26,40
2015-10-03,33
2015-10-10,33
2015-10-17,23
2015-10-24,28
2015-10-31,0
2015-11-07,27
2015-11-14,0
2015-11-21,26
2015-11-28,41
2015-12-05,29
2015-12-12,0
2015-12-19,0
2015-12-26,65
2016-01-02,0
2016-01-09,38
2016-01-16,23
2016-01-23,37
2016-01-30,26
2016-02-06,32
2016-02-13,34
2016-02-20,29
2016-02-27,47
2016-03-05,52
2016-03-12,43
2016-03-19,47
2016-03-26,52
2016-04-02,40
2016-04-09,30
2016-04-16,36
2016-04-23,50
2016-04-30,30
2016-05-07,35
2016-05-14,57
2016-05-21,31
2016-05-28,34
2016-06-04,37
2016-06-11,54
2016-06-18,24
2016-06-25,38
2016-07-02,26
2016-07-09,35
2016-07-16,0
2016-07-23,52
2016-07-30,36
2016-08-06,46
2016-08-13,34
2016-08-20,25
2016-08-27,45
2016-09-03,45
2016-09-10,31
2016-09-17,0
2016-09-24,26
2016-10-01,38
2016-10-08,57
2016-10-15,36
2016-10-22,29
2016-10-29,24
2016-11-05,30
2016-11-12,49
2016-11-19,58
2016-11-26,74
2016-12-03,53
2016-12-10,42
2016-12-17,56
2016-12-24,72
2016-12-31,100
