Search Term,vegetarian restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,61
2008-12-06,77
2008-12-13,59
2008-12-20,71
2008-12-27,97
2009-01-03,72
2009-01-10,68
2009-01-17,78
2009-01-24,70
2009-01-31,72
2009-02-07,100
2009-02-14,69
2009-02-21,75
2009-02-28,69
2009-03-07,73
2009-03-14,71
2009-03-21,73
2009-03-28,70
2009-04-04,80
2009-04-11,79
2009-04-18,68
2009-04-25,82
2009-05-02,79
2009-05-09,84
2009-05-16,77
2009-05-23,72
2009-05-30,61
2009-06-06,68
2009-06-13,74
2009-06-20,75
2009-06-27,70
2009-07-04,82
2009-07-11,84
2009-07-18,88
2009-07-25,76
2009-08-01,91
2009-08-08,87
2009-08-15,82
2009-08-22,75
2009-08-29,69
2009-09-05,76
2009-09-12,71
2009-09-19,77
2009-09-26,73
2009-10-03,71
2009-10-10,78
2009-10-17,75
2009-10-24,72
2009-10-31,67
2009-11-07,70
2009-11-14,74
2009-11-21,69
2009-11-28,63
2009-12-05,71
2009-12-12,64
2009-12-19,75
2009-12-26,77
2010-01-02,75
2010-01-09,78
2010-01-16,81
2010-01-23,71
2010-01-30,76
2010-02-06,91
2010-02-13,83
2010-02-20,71
2010-02-27,79
2010-03-06,75
2010-03-13,83
2010-03-20,83
2010-03-27,82
2010-04-03,79
2010-04-10,72
2010-04-17,75
2010-04-24,84
2010-05-01,73
2010-05-08,77
2010-05-15,76
2010-05-22,76
2010-05-29,80
2010-06-05,73
2010-06-12,82
2010-06-19,70
2010-06-26,74
2010-07-03,93
2010-07-10,87
2010-07-17,89
2010-07-24,87
2010-07-31,88
2010-08-07,85
2010-08-14,87
2010-08-21,85
2010-08-28,79
2010-09-04,81
2010-09-11,83
2010-09-18,87
2010-09-25,74
2010-10-02,82
2010-10-09,82
2010-10-16,79
2010-10-23,75
2010-10-30,73
2010-11-06,70
2010-11-13,75
2010-11-20,66
2010-11-27,65
2010-12-04,61
2010-12-11,59
2010-12-18,72
2010-12-25,85
2011-01-01,72
2011-01-08,73
2011-01-15,79
2011-01-22,81
2011-01-29,80
2011-02-05,87
2011-02-12,83
2011-02-19,70
2011-02-26,72
2011-03-05,76
2011-03-12,77
2011-03-19,73
2011-03-26,74
2011-04-02,84
2011-04-09,80
2011-04-16,77
2011-04-23,77
2011-04-30,75
2011-05-07,83
2011-05-14,78
2011-05-21,78
2011-05-28,78
2011-06-04,72
2011-06-11,88
2011-06-18,78
2011-06-25,79
2011-07-02,79
2011-07-09,80
2011-07-16,77
2011-07-23,83
2011-07-30,95
2011-08-06,85
2011-08-13,81
2011-08-20,79
2011-08-27,73
2011-09-03,78
2011-09-10,72
2011-09-17,74
2011-09-24,75
2011-10-01,70
2011-10-08,76
2011-10-15,75
2011-10-22,67
2011-10-29,71
2011-11-05,71
2011-11-12,72
2011-11-19,73
2011-11-26,71
2011-12-03,65
2011-12-10,71
2011-12-17,67
2011-12-24,88
2011-12-31,77
2012-01-07,78
2012-01-14,71
2012-01-21,79
2012-01-28,67
2012-02-04,72
2012-02-11,80
2012-02-18,75
2012-02-25,70
2012-03-03,74
2012-03-10,76
2012-03-17,72
2012-03-24,72
2012-03-31,73
2012-04-07,72
2012-04-14,77
2012-04-21,74
2012-04-28,73
2012-05-05,79
2012-05-12,76
2012-05-19,81
2012-05-26,74
2012-06-02,78
2012-06-09,91
2012-06-16,79
2012-06-23,85
2012-06-30,81
2012-07-07,85
2012-07-14,84
2012-07-21,84
2012-07-28,85
2012-08-04,81
2012-08-11,91
2012-08-18,92
2012-08-25,94
2012-09-01,88
2012-09-08,79
2012-09-15,76
2012-09-22,76
2012-09-29,76
2012-10-06,70
2012-10-13,83
2012-10-20,77
2012-10-27,67
2012-11-03,68
2012-11-10,67
2012-11-17,68
2012-11-24,72
2012-12-01,69
2012-12-08,66
2012-12-15,65
2012-12-22,84
2012-12-29,88
