,Search Term,vegan recipe
0,2003-12-27,0.0
1,2004-01-03,11.38802768745329
2,2004-01-10,12.886452383170829
3,2004-01-17,17.981096348610457
4,2004-01-24,10.18928793087926
5,2004-01-31,9.290233113448737
6,2004-02-07,15.583616835462397
7,2004-02-14,12.58676744402732
8,2004-02-21,11.987397565740306
9,2004-02-28,14.984246957175381
10,2004-03-06,0.0
11,2004-03-13,12.58676744402732
12,2004-03-20,10.18928793087926
13,2004-03-27,14.684562018031874
14,2004-04-03,9.889602991735751
15,2004-04-10,0.0
16,2004-04-17,15.283931896318888
17,2004-04-24,10.18928793087926
18,2004-05-01,10.788657809166274
19,2004-05-08,8.391178296018214
20,2004-05-15,8.990548174305228
21,2004-05-22,8.990548174305228
22,2004-05-29,8.391178296018214
23,2004-06-05,12.58676744402732
24,2004-06-12,15.283931896318888
25,2004-06-19,7.492123478587691
26,2004-06-26,11.38802768745329
27,2004-07-03,14.684562018031874
28,2004-07-10,14.684562018031874
29,2004-07-17,15.883301774605904
30,2004-07-24,14.384877078888367
31,2004-07-31,12.287082504883813
32,2004-08-07,12.58676744402732
33,2004-08-14,14.684562018031874
34,2004-08-21,11.987397565740306
35,2004-08-28,11.088342748309783
36,2004-09-04,9.290233113448737
37,2004-09-11,13.485822261457841
38,2004-09-18,13.485822261457841
39,2004-09-25,14.684562018031874
40,2004-10-02,15.283931896318888
41,2004-10-09,12.886452383170829
42,2004-10-16,11.38802768745329
43,2004-10-23,12.886452383170829
44,2004-10-30,11.987397565740306
45,2004-11-06,19.479521044327996
46,2004-11-13,19.479521044327996
47,2004-11-20,28.769754157776735
48,2004-11-27,13.485822261457841
49,2004-12-04,15.583616835462397
50,2004-12-11,17.68141140946695
51,2004-12-18,29.968493914350763
52,2004-12-25,18.580466226897475
53,2005-01-01,14.684562018031874
54,2005-01-08,16.18298671374941
55,2005-01-15,15.283931896318888
56,2005-01-22,16.78235659203643
57,2005-01-29,10.788657809166274
58,2005-02-05,16.48267165289292
59,2005-02-12,13.485822261457841
60,2005-02-19,15.283931896318888
61,2005-02-26,12.58676744402732
62,2005-03-05,13.186137322314337
63,2005-03-12,12.58676744402732
64,2005-03-19,15.283931896318888
65,2005-03-26,10.788657809166274
66,2005-04-02,12.287082504883813
67,2005-04-09,12.287082504883813
68,2005-04-16,12.886452383170829
69,2005-04-23,9.889602991735751
70,2005-04-30,11.38802768745329
71,2005-05-07,12.886452383170829
72,2005-05-14,11.38802768745329
73,2005-05-21,11.987397565740306
74,2005-05-28,12.287082504883813
75,2005-06-04,13.186137322314337
76,2005-06-11,12.886452383170829
77,2005-06-18,15.283931896318888
78,2005-06-25,14.384877078888367
79,2005-07-02,13.485822261457841
80,2005-07-09,13.186137322314337
81,2005-07-16,12.886452383170829
82,2005-07-23,12.886452383170829
83,2005-07-30,13.186137322314337
84,2005-08-06,15.283931896318888
85,2005-08-13,16.78235659203643
86,2005-08-20,12.886452383170829
87,2005-08-27,15.283931896318888
88,2005-09-03,12.287082504883813
89,2005-09-10,10.788657809166274
90,2005-09-17,13.785507200601351
91,2005-09-24,13.785507200601351
92,2005-10-01,14.684562018031874
93,2005-10-08,14.384877078888367
94,2005-10-15,13.485822261457841
95,2005-10-22,17.381726470323443
96,2005-10-29,14.085192139744859
97,2005-11-05,14.085192139744859
98,2005-11-12,16.48267165289292
99,2005-11-19,23.075740314050087
100,2005-11-26,12.58676744402732
101,2005-12-03,16.48267165289292
102,2005-12-10,15.283931896318888
103,2005-12-17,24.574165009767626
104,2005-12-24,16.48267165289292
105,2005-12-31,12.886452383170829
106,2006-01-07,15.283931896318888
107,2006-01-14,12.287082504883813
108,2006-01-21,14.085192139744859
109,2006-01-28,12.58676744402732
110,2006-02-04,12.287082504883813
111,2006-02-11,12.287082504883813
112,2006-02-18,11.687712626596797
113,2006-02-25,14.384877078888367
114,2006-03-04,13.186137322314337
115,2006-03-11,12.886452383170829
116,2006-03-18,12.287082504883813
117,2006-03-25,12.886452383170829
118,2006-04-01,11.987397565740306
119,2006-04-08,14.085192139744859
120,2006-04-15,10.788657809166274
121,2006-04-22,11.088342748309783
122,2006-04-29,12.58676744402732
123,2006-05-06,10.788657809166274
124,2006-05-13,12.886452383170829
125,2006-05-20,12.287082504883813
126,2006-05-27,11.987397565740306
127,2006-06-03,9.589918052592244
128,2006-06-10,11.987397565740306
129,2006-06-17,12.287082504883813
130,2006-06-24,11.987397565740306
131,2006-07-01,12.886452383170829
132,2006-07-08,13.186137322314337
133,2006-07-15,14.984246957175381
134,2006-07-22,13.186137322314337
135,2006-07-29,12.58676744402732
136,2006-08-05,13.186137322314337
137,2006-08-12,15.583616835462397
138,2006-08-19,14.384877078888367
139,2006-08-26,16.78235659203643
140,2006-09-02,13.785507200601351
141,2006-09-09,13.485822261457841
142,2006-09-16,13.186137322314337
143,2006-09-23,11.987397565740306
144,2006-09-30,14.384877078888367
145,2006-10-07,13.186137322314337
146,2006-10-14,11.38802768745329
147,2006-10-21,15.583616835462397
148,2006-10-28,16.78235659203643
149,2006-11-04,12.58676744402732
150,2006-11-11,16.48267165289292
151,2006-11-18,22.77605537490658
152,2006-11-25,12.886452383170829
153,2006-12-02,15.583616835462397
154,2006-12-09,14.684562018031874
155,2006-12-16,24.27448007062412
156,2006-12-23,20.37857586175852
157,2006-12-30,15.583616835462397
158,2007-01-06,14.384877078888367
159,2007-01-13,15.583616835462397
160,2007-01-20,11.687712626596797
161,2007-01-27,15.883301774605904
162,2007-02-03,13.485822261457841
163,2007-02-10,17.68141140946695
