Search Term,vegetarian recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,41
2008-12-06,50
2008-12-13,51
2008-12-20,66
2008-12-27,69
2009-01-03,51
2009-01-10,53
2009-01-17,49
2009-01-24,54
2009-01-31,49
2009-02-07,51
2009-02-14,47
2009-02-21,47
2009-02-28,44
2009-03-07,43
2009-03-14,47
2009-03-21,43
2009-03-28,47
2009-04-04,56
2009-04-11,40
2009-04-18,43
2009-04-25,45
2009-05-02,45
2009-05-09,45
2009-05-16,45
2009-05-23,49
2009-05-30,43
2009-06-06,45
2009-06-13,48
2009-06-20,41
2009-06-27,46
2009-07-04,48
2009-07-11,50
2009-07-18,49
2009-07-25,51
2009-08-01,48
2009-08-08,51
2009-08-15,53
2009-08-22,51
2009-08-29,51
2009-09-05,54
2009-09-12,51
2009-09-19,56
2009-09-26,62
2009-10-03,63
2009-10-10,70
2009-10-17,64
2009-10-24,65
2009-10-31,69
2009-11-07,68
2009-11-14,74
2009-11-21,95
2009-11-28,65
2009-12-05,69
2009-12-12,69
2009-12-19,100
2009-12-26,95
2010-01-02,84
2010-01-09,76
2010-01-16,75
2010-01-23,70
2010-01-30,71
2010-02-06,75
2010-02-13,72
2010-02-20,70
2010-02-27,68
2010-03-06,63
2010-03-13,62
2010-03-20,66
2010-03-27,65
2010-04-03,56
2010-04-10,61
2010-04-17,57
2010-04-24,59
2010-05-01,58
2010-05-08,63
2010-05-15,59
2010-05-22,59
2010-05-29,51
2010-06-05,54
2010-06-12,59
2010-06-19,55
2010-06-26,55
2010-07-03,59
2010-07-10,55
2010-07-17,55
2010-07-24,53
2010-07-31,58
2010-08-07,57
2010-08-14,53
2010-08-21,58
2010-08-28,55
2010-09-04,58
2010-09-11,57
2010-09-18,60
2010-09-25,57
2010-10-02,60
2010-10-09,57
2010-10-16,63
2010-10-23,61
2010-10-30,65
2010-11-06,67
2010-11-13,70
2010-11-20,87
2010-11-27,62
2010-12-04,64
2010-12-11,69
2010-12-18,93
2010-12-25,82
2011-01-01,76
2011-01-08,74
2011-01-15,70
2011-01-22,70
2011-01-29,67
2011-02-05,64
2011-02-12,61
2011-02-19,59
2011-02-26,59
2011-03-05,61
2011-03-12,55
2011-03-19,58
2011-03-26,59
2011-04-02,52
2011-04-09,54
2011-04-16,60
2011-04-23,53
2011-04-30,52
2011-05-07,56
2011-05-14,50
2011-05-21,53
2011-05-28,52
2011-06-04,56
2011-06-11,52
2011-06-18,53
2011-06-25,54
2011-07-02,51
2011-07-09,56
2011-07-16,53
2011-07-23,57
2011-07-30,60
2011-08-06,57
2011-08-13,60
2011-08-20,56
2011-08-27,58
2011-09-03,63
2011-09-10,60
2011-09-17,60
2011-09-24,63
2011-10-01,63
2011-10-08,62
2011-10-15,67
2011-10-22,61
2011-10-29,67
2011-11-05,65
2011-11-12,71
2011-11-19,84
2011-11-26,58
2011-12-03,60
2011-12-10,69
2011-12-17,87
2011-12-24,78
2011-12-31,75
2012-01-07,73
2012-01-14,73
2012-01-21,67
2012-01-28,65
2012-02-04,64
2012-02-11,56
2012-02-18,66
2012-02-25,61
2012-03-03,58
2012-03-10,59
2012-03-17,53
2012-03-24,54
2012-03-31,60
2012-04-07,53
2012-04-14,54
2012-04-21,55
2012-04-28,57
2012-05-05,55
2012-05-12,56
2012-05-19,53
2012-05-26,54
2012-06-02,59
2012-06-09,61
2012-06-16,57
2012-06-23,57
2012-06-30,57
2012-07-07,58
2012-07-14,62
2012-07-21,62
2012-07-28,59
2012-08-04,61
2012-08-11,62
2012-08-18,60
2012-08-25,60
2012-09-01,64
2012-09-08,61
2012-09-15,63
2012-09-22,64
2012-09-29,71
2012-10-06,63
2012-10-13,61
2012-10-20,61
2012-10-27,62
2012-11-03,60
2012-11-10,64
2012-11-17,77
2012-11-24,59
2012-12-01,57
2012-12-08,62
2012-12-15,75
2012-12-22,80
2012-12-29,84
