,Search Term,vegetarian restaurant near me
183,2016-05-28,17.974661784505933
184,2016-06-04,17.39483398500574
185,2016-06-11,19.714145183006508
186,2016-06-18,18.264575684256027
187,2016-06-25,17.104920085255646
188,2016-07-02,22.323370280757366
189,2016-07-09,20.87380078200689
190,2016-07-16,23.193111980007654
191,2016-07-23,25.802337077758512
192,2016-07-30,23.772939779507848
193,2016-08-06,20.87380078200689
194,2016-08-13,19.42423128325641
195,2016-08-20,20.2939729825067
196,2016-08-27,20.58388688225679
197,2016-09-03,26.092250977508613
198,2016-09-10,23.48302587975775
199,2016-09-17,20.87380078200689
200,2016-09-24,24.93259537850823
201,2016-10-01,22.033456381007273
202,2016-10-08,23.48302587975775
203,2016-10-15,22.323370280757366
204,2016-10-22,22.323370280757366
205,2016-10-29,19.42423128325641
206,2016-11-05,18.264575684256027
207,2016-11-12,20.87380078200689
208,2016-11-19,21.45362858150708
209,2016-11-26,18.733178654292345
210,2016-12-03,17.881670533642694
211,2016-12-10,19.584686774941996
212,2016-12-17,25.54524361948956
213,2016-12-24,28.951276102088176
214,2016-12-31,24.69373549883991
215,2017-01-07,27.248259860788863
216,2017-01-14,22.139211136890953
217,2017-01-21,22.990719257540608
218,2017-01-28,23.84222737819026
219,2017-02-04,21.287703016241302
220,2017-02-11,23.84222737819026
221,2017-02-18,22.990719257540608
222,2017-02-25,24.69373549883991
223,2017-03-04,24.69373549883991
224,2017-03-11,25.54524361948956
225,2017-03-18,28.951276102088176
226,2017-03-25,22.139211136890953
227,2017-04-01,28.951276102088176
228,2017-04-08,28.099767981438518
229,2017-04-15,31.505800464037126
230,2017-04-22,28.099767981438518
231,2017-04-29,23.84222737819026
232,2017-05-06,34.911832946635734
233,2017-05-13,33.20881670533643
234,2017-05-20,34.060324825986086
235,2017-05-27,35.76334106728539
236,2017-06-03,29.80278422273782
237,2017-06-10,37.46635730858469
238,2017-06-17,34.911832946635734
239,2017-06-24,52.79350348027844
240,2017-07-01,48.53596287703017
241,2017-07-08,45.981438515081216
242,2017-07-15,46.83294663573086
243,2017-07-22,43.42691415313226
244,2017-07-29,44.278422273781906
245,2017-08-05,45.981438515081216
246,2017-08-12,51.09048723897912
247,2017-08-19,47.68445475638052
248,2017-08-26,46.83294663573086
249,2017-09-02,45.981438515081216
250,2017-09-09,33.20881670533643
251,2017-09-16,45.981438515081216
252,2017-09-23,46.83294663573086
253,2017-09-30,40.8723897911833
254,2017-10-07,41.72389791183295
255,2017-10-14,41.72389791183295
256,2017-10-21,38.317865429234345
257,2017-10-28,36.61484918793504
258,2017-11-04,40.8723897911833
259,2017-11-11,36.61484918793504
260,2017-11-18,40.8723897911833
261,2017-11-25,39.16937354988399
262,2017-12-02,41.72389791183295
263,2017-12-09,34.911832946635734
264,2017-12-16,48.53596287703017
265,2017-12-23,62.160092807424604
266,2017-12-30,46.83294663573086
267,2018-01-06,40.8723897911833
268,2018-01-13,46.83294663573086
269,2018-01-20,45.12993039443156
