Search Term,vegan diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,39
2012-12-01,31
2012-12-08,31
2012-12-15,28
2012-12-22,42
2012-12-29,45
2013-01-05,45
2013-01-12,33
2013-01-19,37
2013-01-26,38
2013-02-02,32
2013-02-09,34
2013-02-16,41
2013-02-23,39
2013-03-02,33
2013-03-09,31
2013-03-16,35
2013-03-23,40
2013-03-30,39
2013-04-06,39
2013-04-13,34
2013-04-20,44
2013-04-27,30
2013-05-04,37
2013-05-11,32
2013-05-18,39
2013-05-25,28
2013-06-01,32
2013-06-08,34
2013-06-15,32
2013-06-22,34
2013-06-29,30
2013-07-06,35
2013-07-13,35
2013-07-20,30
2013-07-27,39
2013-08-03,36
2013-08-10,40
2013-08-17,35
2013-08-24,34
2013-08-31,32
2013-09-07,35
2013-09-14,33
2013-09-21,29
2013-09-28,34
2013-10-05,37
2013-10-12,32
2013-10-19,30
2013-10-26,32
2013-11-02,28
2013-11-09,27
2013-11-16,25
2013-11-23,26
2013-11-30,40
2013-12-07,40
2013-12-14,23
2013-12-21,41
2013-12-28,62
2014-01-04,54
2014-01-11,47
2014-01-18,43
2014-01-25,100
2014-02-01,65
2014-02-08,58
2014-02-15,77
2014-02-22,53
2014-03-01,56
2014-03-08,54
2014-03-15,59
2014-03-22,52
2014-03-29,47
2014-04-05,49
2014-04-12,48
2014-04-19,47
2014-04-26,47
2014-05-03,43
2014-05-10,51
2014-05-17,54
2014-05-24,41
2014-05-31,48
2014-06-07,40
2014-06-14,37
2014-06-21,39
2014-06-28,45
2014-07-05,53
2014-07-12,43
2014-07-19,48
2014-07-26,50
2014-08-02,38
2014-08-09,38
2014-08-16,35
2014-08-23,38
2014-08-30,38
2014-09-06,35
2014-09-13,32
2014-09-20,37
2014-09-27,31
2014-10-04,40
2014-10-11,42
2014-10-18,31
2014-10-25,37
2014-11-01,38
2014-11-08,36
2014-11-15,33
2014-11-22,25
2014-11-29,34
2014-12-06,30
2014-12-13,30
2014-12-20,33
2014-12-27,48
2015-01-03,44
2015-01-10,42
2015-01-17,43
2015-01-24,36
2015-01-31,60
2015-02-07,43
2015-02-14,41
2015-02-21,47
2015-02-28,37
2015-03-07,39
2015-03-14,40
2015-03-21,32
2015-03-28,39
2015-04-04,57
2015-04-11,49
2015-04-18,44
2015-04-25,44
2015-05-02,53
2015-05-09,54
2015-05-16,41
2015-05-23,45
2015-05-30,40
2015-06-06,97
2015-06-13,47
2015-06-20,47
2015-06-27,50
2015-07-04,41
2015-07-11,42
2015-07-18,50
2015-07-25,43
2015-08-01,48
2015-08-08,51
2015-08-15,44
2015-08-22,40
2015-08-29,42
2015-09-05,40
2015-09-12,37
2015-09-19,43
2015-09-26,42
2015-10-03,43
2015-10-10,41
2015-10-17,40
2015-10-24,36
2015-10-31,48
2015-11-07,44
2015-11-14,36
2015-11-21,42
2015-11-28,39
2015-12-05,42
2015-12-12,38
2015-12-19,33
2015-12-26,64
2016-01-02,56
2016-01-09,46
2016-01-16,40
2016-01-23,47
2016-01-30,46
2016-02-06,47
2016-02-13,54
2016-02-20,50
2016-02-27,55
2016-03-05,44
2016-03-12,43
2016-03-19,50
2016-03-26,48
2016-04-02,59
2016-04-09,58
2016-04-16,53
2016-04-23,49
2016-04-30,55
2016-05-07,43
2016-05-14,57
2016-05-21,45
2016-05-28,55
2016-06-04,52
2016-06-11,46
2016-06-18,49
2016-06-25,43
2016-07-02,51
2016-07-09,45
2016-07-16,47
2016-07-23,47
2016-07-30,46
2016-08-06,45
2016-08-13,41
2016-08-20,46
2016-08-27,45
2016-09-03,41
2016-09-10,43
2016-09-17,36
2016-09-24,42
2016-10-01,35
2016-10-08,31
2016-10-15,39
2016-10-22,37
2016-10-29,40
2016-11-05,35
2016-11-12,36
2016-11-19,41
2016-11-26,41
2016-12-03,33
2016-12-10,35
2016-12-17,29
2016-12-24,47
2016-12-31,61
