,Search Term,plant based restaurant
178,2020-04-25,15.0
179,2020-05-02,28.000000000000004
180,2020-05-09,23.0
181,2020-05-16,13.0
182,2020-05-23,23.0
183,2020-05-30,28.000000000000004
184,2020-06-06,39.0
185,2020-06-13,43.0
186,2020-06-20,37.0
187,2020-06-27,35.0
188,2020-07-04,40.0
189,2020-07-11,55.00000000000001
190,2020-07-18,41.0
191,2020-07-25,27.0
192,2020-08-01,48.0
193,2020-08-08,37.0
194,2020-08-15,37.0
195,2020-08-22,33.0
196,2020-08-29,35.0
197,2020-09-05,42.0
198,2020-09-12,35.0
199,2020-09-19,46.0
200,2020-09-26,45.0
201,2020-10-03,42.0
202,2020-10-10,35.0
203,2020-10-17,33.0
204,2020-10-24,40.0
205,2020-10-31,23.0
206,2020-11-07,22.0
207,2020-11-14,32.0
208,2020-11-21,22.0
209,2020-11-28,31.0
210,2020-12-05,20.0
211,2020-12-12,28.999999999999996
212,2020-12-19,35.0
213,2020-12-26,28.000000000000004
214,2021-01-02,39.0
215,2021-01-09,40.0
216,2021-01-16,38.0
217,2021-01-23,34.0
218,2021-01-30,35.0
219,2021-02-06,42.0
220,2021-02-13,38.0
221,2021-02-20,47.0
222,2021-02-27,28.000000000000004
223,2021-03-06,30.0
224,2021-03-13,27.0
225,2021-03-20,46.0
226,2021-03-27,62.0
227,2021-04-03,50.0
228,2021-04-10,43.0
229,2021-04-17,44.0
230,2021-04-24,47.0
231,2021-05-01,56.00000000000001
232,2021-05-08,45.0
233,2021-05-15,50.0
234,2021-05-22,40.0
235,2021-05-29,53.0
236,2021-06-05,53.0
237,2021-06-12,53.0
238,2021-06-19,55.00000000000001
239,2021-06-26,54.0
240,2021-07-03,53.0
241,2021-07-10,48.0
242,2021-07-17,48.0
243,2021-07-24,63.0
244,2021-07-31,47.0
245,2021-08-07,50.0
246,2021-08-14,34.0
247,2021-08-21,46.0
248,2021-08-28,61.0
249,2021-09-04,46.0
250,2021-09-11,51.0
251,2021-09-18,48.0
252,2021-09-25,73.0
253,2021-10-02,64.0
254,2021-10-09,49.0
255,2021-10-16,53.0
256,2021-10-23,36.0
257,2021-10-30,46.0
258,2021-11-06,39.0
259,2021-11-13,49.0
260,2021-11-20,48.0
261,2021-11-27,48.0
262,2021-12-04,41.0
263,2021-12-11,27.0
264,2021-12-18,51.0
265,2021-12-25,45.0
266,2022-01-01,39.0
267,2022-01-08,52.0
268,2022-01-15,44.0
269,2022-01-22,56.00000000000001
270,2022-01-29,55.00000000000001
271,2022-02-05,61.0
272,2022-02-12,56.99999999999999
273,2022-02-19,71.0
274,2022-02-26,67.0
275,2022-03-05,56.00000000000001
276,2022-03-12,50.0
277,2022-03-19,76.0
278,2022-03-26,61.0
279,2022-04-02,62.0
280,2022-04-09,56.99999999999999
281,2022-04-16,60.0
282,2022-04-23,73.0
283,2022-04-30,62.0
284,2022-05-07,57.99999999999999
285,2022-05-14,57.99999999999999
286,2022-05-21,67.0
287,2022-05-28,51.0
288,2022-06-04,52.0
289,2022-06-11,64.0
290,2022-06-18,70.0
291,2022-06-25,60.0
292,2022-07-02,52.0
293,2022-07-09,62.0
294,2022-07-16,62.0
295,2022-07-23,41.0
296,2022-07-30,56.99999999999999
297,2022-08-06,69.0
298,2022-08-13,62.0
299,2022-08-20,71.0
300,2022-08-27,71.0
301,2022-09-03,49.0
302,2022-09-10,84.0
303,2022-09-17,56.00000000000001
304,2022-09-24,60.0
305,2022-10-01,34.0
306,2022-10-08,44.0
307,2022-10-15,46.0
308,2022-10-22,39.0
309,2022-10-29,43.0
310,2022-11-05,48.0
311,2022-11-12,44.0
312,2022-11-19,25.0
313,2022-11-26,30.0
314,2022-12-03,47.0
315,2022-12-10,42.0
316,2022-12-17,48.0
317,2022-12-24,48.0
318,2022-12-31,65.0
319,2023-01-07,41.0
320,2023-01-14,54.0
321,2023-01-21,56.99999999999999
322,2023-01-28,77.0
323,2023-02-04,60.0
324,2023-02-11,69.0
325,2023-02-18,77.0
326,2023-02-25,67.0
327,2023-03-04,62.0
328,2023-03-11,45.0
