Search Term,vegetarian restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,49
2008-12-06,55
2008-12-13,46
2008-12-20,60
2008-12-27,78
2009-01-03,70
2009-01-10,67
2009-01-17,59
2009-01-24,53
2009-01-31,64
2009-02-07,82
2009-02-14,64
2009-02-21,62
2009-02-28,64
2009-03-07,65
2009-03-14,62
2009-03-21,70
2009-03-28,62
2009-04-04,71
2009-04-11,73
2009-04-18,64
2009-04-25,67
2009-05-02,72
2009-05-09,67
2009-05-16,72
2009-05-23,69
2009-05-30,82
2009-06-06,72
2009-06-13,79
2009-06-20,76
2009-06-27,75
2009-07-04,76
2009-07-11,82
2009-07-18,84
2009-07-25,80
2009-08-01,90
2009-08-08,90
2009-08-15,83
2009-08-22,78
2009-08-29,76
2009-09-05,67
2009-09-12,76
2009-09-19,72
2009-09-26,69
2009-10-03,75
2009-10-10,77
2009-10-17,69
2009-10-24,68
2009-10-31,75
2009-11-07,66
2009-11-14,69
2009-11-21,71
2009-11-28,64
2009-12-05,67
2009-12-12,64
2009-12-19,66
2009-12-26,89
2010-01-02,78
2010-01-09,72
2010-01-16,81
2010-01-23,78
2010-01-30,80
2010-02-06,88
2010-02-13,89
2010-02-20,77
2010-02-27,73
2010-03-06,79
2010-03-13,83
2010-03-20,75
2010-03-27,91
2010-04-03,76
2010-04-10,77
2010-04-17,77
2010-04-24,90
2010-05-01,85
2010-05-08,90
2010-05-15,75
2010-05-22,78
2010-05-29,90
2010-06-05,81
2010-06-12,85
2010-06-19,80
2010-06-26,87
2010-07-03,90
2010-07-10,89
2010-07-17,100
2010-07-24,83
2010-07-31,100
2010-08-07,92
2010-08-14,95
2010-08-21,84
2010-08-28,80
2010-09-04,81
2010-09-11,80
2010-09-18,78
2010-09-25,72
2010-10-02,85
2010-10-09,81
2010-10-16,80
2010-10-23,72
2010-10-30,72
2010-11-06,75
2010-11-13,76
2010-11-20,72
2010-11-27,66
2010-12-04,64
2010-12-11,63
2010-12-18,71
2010-12-25,83
2011-01-01,81
2011-01-08,78
2011-01-15,79
2011-01-22,74
2011-01-29,77
2011-02-05,87
2011-02-12,85
2011-02-19,72
2011-02-26,74
2011-03-05,76
2011-03-12,79
2011-03-19,75
2011-03-26,79
2011-04-02,84
2011-04-09,79
2011-04-16,83
2011-04-23,72
2011-04-30,74
2011-05-07,79
2011-05-14,75
2011-05-21,76
2011-05-28,82
2011-06-04,76
2011-06-11,90
2011-06-18,81
2011-06-25,81
2011-07-02,86
2011-07-09,83
2011-07-16,89
2011-07-23,89
2011-07-30,91
2011-08-06,98
2011-08-13,94
2011-08-20,76
2011-08-27,85
2011-09-03,78
2011-09-10,72
2011-09-17,73
2011-09-24,75
2011-10-01,77
2011-10-08,72
2011-10-15,79
2011-10-22,74
2011-10-29,74
2011-11-05,75
2011-11-12,69
2011-11-19,72
2011-11-26,64
2011-12-03,65
2011-12-10,66
2011-12-17,74
2011-12-24,83
2011-12-31,81
2012-01-07,81
2012-01-14,84
2012-01-21,72
2012-01-28,64
2012-02-04,82
2012-02-11,89
2012-02-18,82
2012-02-25,80
2012-03-03,82
2012-03-10,85
2012-03-17,82
2012-03-24,84
2012-03-31,76
2012-04-07,85
2012-04-14,79
2012-04-21,82
2012-04-28,85
2012-05-05,92
2012-05-12,87
2012-05-19,85
2012-05-26,88
2012-06-02,88
2012-06-09,88
2012-06-16,88
2012-06-23,90
2012-06-30,91
2012-07-07,92
2012-07-14,95
2012-07-21,95
2012-07-28,91
2012-08-04,93
2012-08-11,91
2012-08-18,92
2012-08-25,90
2012-09-01,87
2012-09-08,82
2012-09-15,86
2012-09-22,80
2012-09-29,78
2012-10-06,76
2012-10-13,75
2012-10-20,74
2012-10-27,59
2012-11-03,69
2012-11-10,71
2012-11-17,60
2012-11-24,65
2012-12-01,64
2012-12-08,61
2012-12-15,64
2012-12-22,88
2012-12-29,87
