,Search Term,vegan near me
0,2012-11-24,0.0
1,2012-12-01,0.0
2,2012-12-08,0.0
3,2012-12-15,0.0
4,2012-12-22,0.0
5,2012-12-29,0.0
6,2013-01-05,0.5458298627458082
7,2013-01-12,0.0
8,2013-01-19,0.0
9,2013-01-26,0.0
10,2013-02-02,0.5458298627458082
11,2013-02-09,0.0
12,2013-02-16,0.5458298627458082
13,2013-02-23,0.0
14,2013-03-02,0.36388657516387213
15,2013-03-09,0.0
16,2013-03-16,0.0
17,2013-03-23,0.7277731503277443
18,2013-03-30,0.36388657516387213
19,2013-04-06,0.0
20,2013-04-13,0.5458298627458082
21,2013-04-20,0.0
22,2013-04-27,0.7277731503277443
23,2013-05-04,0.0
24,2013-05-11,0.0
25,2013-05-18,0.36388657516387213
26,2013-05-25,0.0
27,2013-06-01,0.5458298627458082
28,2013-06-08,0.0
29,2013-06-15,0.0
30,2013-06-22,0.5458298627458082
31,2013-06-29,0.0
32,2013-07-06,0.5458298627458082
33,2013-07-13,0.36388657516387213
34,2013-07-20,0.5458298627458082
35,2013-07-27,0.0
36,2013-08-03,0.5458298627458082
37,2013-08-10,0.5458298627458082
38,2013-08-17,0.5458298627458082
39,2013-08-24,0.5458298627458082
40,2013-08-31,0.5458298627458082
41,2013-09-07,0.36388657516387213
42,2013-09-14,0.5458298627458082
43,2013-09-21,0.5458298627458082
44,2013-09-28,0.5458298627458082
45,2013-10-05,0.5458298627458082
46,2013-10-12,0.5458298627458082
47,2013-10-19,0.5458298627458082
48,2013-10-26,0.5458298627458082
49,2013-11-02,0.7277731503277443
50,2013-11-09,0.5458298627458082
51,2013-11-16,0.5458298627458082
52,2013-11-23,0.5458298627458082
53,2013-11-30,0.5458298627458082
54,2013-12-07,0.36388657516387213
55,2013-12-14,0.5458298627458082
56,2013-12-21,0.0
57,2013-12-28,0.9097164379096803
58,2014-01-04,0.7277731503277443
59,2014-01-11,0.5458298627458082
60,2014-01-18,0.7277731503277443
61,2014-01-25,0.7277731503277443
62,2014-02-01,0.9097164379096803
63,2014-02-08,0.7277731503277443
64,2014-02-15,1.0916597254916165
65,2014-02-22,0.9097164379096803
66,2014-03-01,0.9097164379096803
67,2014-03-08,1.2736030130735525
68,2014-03-15,1.2736030130735525
69,2014-03-22,1.0916597254916165
70,2014-03-29,1.0916597254916165
71,2014-04-05,1.2736030130735525
72,2014-04-12,1.4555463006554885
73,2014-04-19,1.0916597254916165
74,2014-04-26,1.0916597254916165
75,2014-05-03,1.4555463006554885
76,2014-05-10,1.2736030130735525
77,2014-05-17,1.0916597254916165
78,2014-05-24,1.0916597254916165
79,2014-05-31,1.2736030130735525
80,2014-06-07,0.9097164379096803
81,2014-06-14,1.4555463006554885
82,2014-06-21,0.9097164379096803
83,2014-06-28,1.0916597254916165
84,2014-07-05,1.2736030130735525
85,2014-07-12,0.9097164379096803
86,2014-07-19,1.6374895882374243
87,2014-07-26,1.4555463006554885
88,2014-08-02,1.4555463006554885
89,2014-08-09,1.6374895882374243
90,2014-08-16,1.8194328758193605
91,2014-08-23,1.4555463006554885
92,2014-08-30,1.6374895882374243
93,2014-09-06,1.2736030130735525
94,2014-09-13,2.0013761634012965
95,2014-09-20,2.0013761634012965
96,2014-09-27,1.8194328758193605
97,2014-10-04,2.0013761634012965
98,2014-10-11,1.6374895882374243
99,2014-10-18,1.8194328758193605
100,2014-10-25,1.8194328758193605
101,2014-11-01,1.6374895882374243
102,2014-11-08,1.2736030130735525
103,2014-11-15,1.4555463006554885
104,2014-11-22,1.2736030130735525
105,2014-11-29,1.2736030130735525
106,2014-12-06,1.2736030130735525
107,2014-12-13,1.2736030130735525
108,2014-12-20,1.6374895882374243
109,2014-12-27,2.0013761634012965
110,2015-01-03,1.6374895882374243
111,2015-01-10,1.4555463006554885
112,2015-01-17,1.4555463006554885
113,2015-01-24,1.8194328758193605
114,2015-01-31,1.4555463006554885
115,2015-02-07,1.6374895882374243
