Search Term,plant based recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,13
2016-12-03,9
2016-12-10,11
2016-12-17,10
2016-12-24,13
2016-12-31,19
2017-01-07,13
2017-01-14,15
2017-01-21,11
2017-01-28,11
2017-02-04,12
2017-02-11,13
2017-02-18,13
2017-02-25,10
2017-03-04,10
2017-03-11,13
2017-03-18,12
2017-03-25,13
2017-04-01,10
2017-04-08,13
2017-04-15,9
2017-04-22,11
2017-04-29,16
2017-05-06,12
2017-05-13,8
2017-05-20,11
2017-05-27,10
2017-06-03,12
2017-06-10,9
2017-06-17,18
2017-06-24,27
2017-07-01,25
2017-07-08,31
2017-07-15,34
2017-07-22,32
2017-07-29,25
2017-08-05,22
2017-08-12,29
2017-08-19,22
2017-08-26,20
2017-09-02,21
2017-09-09,15
2017-09-16,18
2017-09-23,14
2017-09-30,18
2017-10-07,18
2017-10-14,14
2017-10-21,22
2017-10-28,16
2017-11-04,17
2017-11-11,19
2017-11-18,15
2017-11-25,18
2017-12-02,15
2017-12-09,23
2017-12-16,14
2017-12-23,23
2017-12-30,26
2018-01-06,26
2018-01-13,21
2018-01-20,21
2018-01-27,20
2018-02-03,21
2018-02-10,18
2018-02-17,22
2018-02-24,21
2018-03-03,20
2018-03-10,20
2018-03-17,20
2018-03-24,17
2018-03-31,22
2018-04-07,21
2018-04-14,19
2018-04-21,15
2018-04-28,19
2018-05-05,15
2018-05-12,19
2018-05-19,18
2018-05-26,22
2018-06-02,15
2018-06-09,23
2018-06-16,17
2018-06-23,15
2018-06-30,18
2018-07-07,16
2018-07-14,18
2018-07-21,19
2018-07-28,16
2018-08-04,18
2018-08-11,18
2018-08-18,19
2018-08-25,17
2018-09-01,18
2018-09-08,19
2018-09-15,16
2018-09-22,16
2018-09-29,19
2018-10-06,17
2018-10-13,10
2018-10-20,15
2018-10-27,18
2018-11-03,21
2018-11-10,17
2018-11-17,13
2018-11-24,16
2018-12-01,17
2018-12-08,16
2018-12-15,12
2018-12-22,18
2018-12-29,20
2019-01-05,23
2019-01-12,28
2019-01-19,21
2019-01-26,24
2019-02-02,23
2019-02-09,20
2019-02-16,26
2019-02-23,25
2019-03-02,20
2019-03-09,20
2019-03-16,23
2019-03-23,23
2019-03-30,21
2019-04-06,15
2019-04-13,21
2019-04-20,21
2019-04-27,26
2019-05-04,21
2019-05-11,17
2019-05-18,21
2019-05-25,24
2019-06-01,26
2019-06-08,25
2019-06-15,21
2019-06-22,24
2019-06-29,26
2019-07-06,23
2019-07-13,24
2019-07-20,21
2019-07-27,22
2019-08-03,27
2019-08-10,35
2019-08-17,27
2019-08-24,29
2019-08-31,29
2019-09-07,30
2019-09-14,28
2019-09-21,23
2019-09-28,25
2019-10-05,35
2019-10-12,44
2019-10-19,87
2019-10-26,100
2019-11-02,95
2019-11-09,92
2019-11-16,91
2019-11-23,73
2019-11-30,68
2019-12-07,56
2019-12-14,57
2019-12-21,49
2019-12-28,99
2020-01-04,93
2020-01-11,80
2020-01-18,70
2020-01-25,70
2020-02-01,60
2020-02-08,52
2020-02-15,65
2020-02-22,52
2020-02-29,46
