Search Term,vegan restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,79
2020-02-01,75
2020-02-08,100
2020-02-15,86
2020-02-22,74
2020-02-29,71
2020-03-07,57
2020-03-14,23
2020-03-21,13
2020-03-28,13
2020-04-04,14
2020-04-11,16
2020-04-18,16
2020-04-25,20
2020-05-02,22
2020-05-09,26
2020-05-16,30
2020-05-23,31
2020-05-30,38
2020-06-06,40
2020-06-13,49
2020-06-20,57
2020-06-27,48
2020-07-04,53
2020-07-11,49
2020-07-18,51
2020-07-25,53
2020-08-01,56
2020-08-08,54
2020-08-15,58
2020-08-22,55
2020-08-29,56
2020-09-05,53
2020-09-12,49
2020-09-19,55
2020-09-26,50
2020-10-03,51
2020-10-10,47
2020-10-17,46
2020-10-24,42
2020-10-31,37
2020-11-07,38
2020-11-14,36
2020-11-21,32
2020-11-28,34
2020-12-05,35
2020-12-12,35
2020-12-19,35
2020-12-26,44
2021-01-02,39
2021-01-09,40
2021-01-16,43
2021-01-23,39
2021-01-30,38
2021-02-06,41
2021-02-13,41
2021-02-20,45
2021-02-27,41
2021-03-06,47
2021-03-13,48
2021-03-20,48
2021-03-27,52
2021-04-03,54
2021-04-10,51
2021-04-17,54
2021-04-24,55
2021-05-01,54
2021-05-08,60
2021-05-15,61
2021-05-22,61
2021-05-29,64
2021-06-05,63
2021-06-12,65
2021-06-19,67
2021-06-26,65
2021-07-03,64
2021-07-10,70
2021-07-17,74
2021-07-24,67
2021-07-31,68
2021-08-07,67
2021-08-14,65
2021-08-21,64
2021-08-28,63
2021-09-04,59
2021-09-11,63
2021-09-18,55
2021-09-25,58
2021-10-02,58
2021-10-09,61
2021-10-16,61
2021-10-23,54
2021-10-30,59
2021-11-06,60
2021-11-13,57
2021-11-20,51
2021-11-27,49
2021-12-04,54
2021-12-11,52
2021-12-18,51
2021-12-25,62
2022-01-01,56
2022-01-08,53
2022-01-15,49
2022-01-22,51
2022-01-29,49
2022-02-05,59
2022-02-12,58
2022-02-19,56
2022-02-26,56
2022-03-05,55
2022-03-12,63
2022-03-19,63
2022-03-26,61
2022-04-02,60
2022-04-09,64
2022-04-16,60
2022-04-23,58
2022-04-30,60
2022-05-07,53
2022-05-14,53
2022-05-21,57
2022-05-28,51
2022-06-04,54
2022-06-11,56
2022-06-18,57
2022-06-25,55
2022-07-02,56
2022-07-09,58
2022-07-16,55
2022-07-23,53
2022-07-30,58
2022-08-06,58
2022-08-13,54
2022-08-20,54
2022-08-27,59
2022-09-03,50
2022-09-10,48
2022-09-17,45
2022-09-24,47
2022-10-01,47
2022-10-08,48
2022-10-15,43
2022-10-22,48
2022-10-29,45
2022-11-05,45
2022-11-12,42
2022-11-19,41
2022-11-26,42
2022-12-03,45
2022-12-10,42
2022-12-17,44
2022-12-24,55
2022-12-31,52
2023-01-07,53
2023-01-14,48
2023-01-21,45
2023-01-28,45
2023-02-04,46
2023-02-11,43
2023-02-18,53
2023-02-25,47
2023-03-04,48
2023-03-11,46
2023-03-18,47
2023-03-25,48
2023-04-01,48
2023-04-08,46
2023-04-15,46
2023-04-22,46
2023-04-29,47
2023-05-06,46
2023-05-13,39
2023-05-20,47
2023-05-27,46
2023-06-03,46
2023-06-10,49
2023-06-17,45
2023-06-24,49
2023-07-01,53
2023-07-08,54
2023-07-15,47
2023-07-22,49
2023-07-29,49
2023-08-05,49
2023-08-12,49
2023-08-19,42
2023-08-26,48
2023-09-02,45
2023-09-09,40
2023-09-16,41
2023-09-23,43
2023-09-30,43
2023-10-07,39
2023-10-14,42
2023-10-21,39
2023-10-28,36
2023-11-04,38
2023-11-11,41
2023-11-18,38
2023-11-25,36
2023-12-02,37
2023-12-09,40
2023-12-16,42
2023-12-23,46
2023-12-30,51
2024-01-06,48
2024-01-13,43
2024-01-20,47
2024-01-27,45
2024-02-03,46
2024-02-10,52
2024-02-17,45
2024-02-24,44
2024-03-02,42
2024-03-09,44
2024-03-16,46
2024-03-23,47
2024-03-30,45
2024-04-06,46
2024-04-13,46
2024-04-20,41
2024-04-27,44
2024-05-04,44
2024-05-11,41
2024-05-18,40
2024-05-25,41
