Search Term,vegan restaurants near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,26
2016-12-03,28
2016-12-10,28
2016-12-17,31
2016-12-24,32
2016-12-31,35
2017-01-07,31
2017-01-14,32
2017-01-21,34
2017-01-28,33
2017-02-04,32
2017-02-11,40
2017-02-18,39
2017-02-25,37
2017-03-04,36
2017-03-11,38
2017-03-18,40
2017-03-25,40
2017-04-01,39
2017-04-08,40
2017-04-15,35
2017-04-22,28
2017-04-29,29
2017-05-06,26
2017-05-13,32
2017-05-20,35
2017-05-27,43
2017-06-03,41
2017-06-10,46
2017-06-17,50
2017-06-24,65
2017-07-01,66
2017-07-08,78
2017-07-15,87
2017-07-22,78
2017-07-29,85
2017-08-05,85
2017-08-12,89
2017-08-19,85
2017-08-26,81
2017-09-02,81
2017-09-09,79
2017-09-16,79
2017-09-23,60
2017-09-30,75
2017-10-07,75
2017-10-14,71
2017-10-21,68
2017-10-28,61
2017-11-04,63
2017-11-11,54
2017-11-18,58
2017-11-25,57
2017-12-02,47
2017-12-09,45
2017-12-16,49
2017-12-23,57
2017-12-30,60
2018-01-06,62
2018-01-13,66
2018-01-20,71
2018-01-27,69
2018-02-03,63
2018-02-10,76
2018-02-17,76
2018-02-24,71
2018-03-03,71
2018-03-10,72
2018-03-17,72
2018-03-24,83
2018-03-31,77
2018-04-07,68
2018-04-14,64
2018-04-21,60
2018-04-28,51
2018-05-05,51
2018-05-12,48
2018-05-19,47
2018-05-26,50
2018-06-02,53
2018-06-09,62
2018-06-16,75
2018-06-23,78
2018-06-30,78
2018-07-07,81
2018-07-14,83
2018-07-21,79
2018-07-28,80
2018-08-04,80
2018-08-11,77
2018-08-18,69
2018-08-25,67
2018-09-01,63
2018-09-08,54
2018-09-15,54
2018-09-22,51
2018-09-29,51
2018-10-06,55
2018-10-13,57
2018-10-20,51
2018-10-27,50
2018-11-03,51
2018-11-10,50
2018-11-17,51
2018-11-24,48
2018-12-01,48
2018-12-08,48
2018-12-15,52
2018-12-22,64
2018-12-29,71
2019-01-05,57
2019-01-12,56
2019-01-19,63
2019-01-26,57
2019-02-02,59
2019-02-09,62
2019-02-16,66
2019-02-23,52
2019-03-02,59
2019-03-09,66
2019-03-16,69
2019-03-23,68
2019-03-30,72
2019-04-06,68
2019-04-13,76
2019-04-20,68
2019-04-27,71
2019-05-04,73
2019-05-11,71
2019-05-18,69
2019-05-25,67
2019-06-01,72
2019-06-08,76
2019-06-15,77
2019-06-22,80
2019-06-29,79
2019-07-06,77
2019-07-13,81
2019-07-20,78
2019-07-27,78
2019-08-03,74
2019-08-10,80
2019-08-17,71
2019-08-24,70
2019-08-31,70
2019-09-07,62
2019-09-14,62
2019-09-21,63
2019-09-28,68
2019-10-05,60
2019-10-12,65
2019-10-19,70
2019-10-26,69
2019-11-02,70
2019-11-09,75
2019-11-16,77
2019-11-23,73
2019-11-30,64
2019-12-07,71
2019-12-14,67
2019-12-21,84
2019-12-28,100
2020-01-04,90
2020-01-11,80
2020-01-18,86
2020-01-25,74
2020-02-01,72
2020-02-08,86
2020-02-15,79
2020-02-22,70
2020-02-29,73
