Search Term,vegan restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,95
2020-02-01,86
2020-02-08,100
2020-02-15,95
2020-02-22,88
2020-02-29,86
2020-03-07,65
2020-03-14,27
2020-03-21,19
2020-03-28,17
2020-04-04,21
2020-04-11,22
2020-04-18,22
2020-04-25,26
2020-05-02,27
2020-05-09,33
2020-05-16,38
2020-05-23,40
2020-05-30,49
2020-06-06,52
2020-06-13,57
2020-06-20,63
2020-06-27,75
2020-07-04,65
2020-07-11,67
2020-07-18,73
2020-07-25,75
2020-08-01,75
2020-08-08,79
2020-08-15,82
2020-08-22,77
2020-08-29,78
2020-09-05,82
2020-09-12,70
2020-09-19,66
2020-09-26,66
2020-10-03,65
2020-10-10,57
2020-10-17,55
2020-10-24,53
2020-10-31,40
2020-11-07,42
2020-11-14,39
2020-11-21,36
2020-11-28,38
2020-12-05,42
2020-12-12,41
2020-12-19,41
2020-12-26,46
2021-01-02,41
2021-01-09,43
2021-01-16,53
2021-01-23,44
2021-01-30,40
2021-02-06,47
2021-02-13,49
2021-02-20,48
2021-02-27,46
2021-03-06,48
2021-03-13,50
2021-03-20,50
2021-03-27,58
2021-04-03,52
2021-04-10,54
2021-04-17,55
2021-04-24,54
2021-05-01,61
2021-05-08,65
2021-05-15,67
2021-05-22,69
2021-05-29,73
2021-06-05,69
2021-06-12,79
2021-06-19,76
2021-06-26,75
2021-07-03,88
2021-07-10,89
2021-07-17,98
2021-07-24,86
2021-07-31,83
2021-08-07,86
2021-08-14,84
2021-08-21,78
2021-08-28,75
2021-09-04,75
2021-09-11,78
2021-09-18,74
2021-09-25,73
2021-10-02,74
2021-10-09,72
2021-10-16,74
2021-10-23,72
2021-10-30,75
2021-11-06,76
2021-11-13,71
2021-11-20,67
2021-11-27,64
2021-12-04,69
2021-12-11,69
2021-12-18,60
2021-12-25,72
2022-01-01,71
2022-01-08,66
2022-01-15,65
2022-01-22,69
2022-01-29,72
2022-02-05,75
2022-02-12,81
2022-02-19,74
2022-02-26,83
2022-03-05,76
2022-03-12,82
2022-03-19,86
2022-03-26,84
2022-04-02,76
2022-04-09,84
2022-04-16,77
2022-04-23,79
2022-04-30,80
2022-05-07,77
2022-05-14,72
2022-05-21,75
2022-05-28,72
2022-06-04,75
2022-06-11,76
2022-06-18,75
2022-06-25,77
2022-07-02,81
2022-07-09,78
2022-07-16,87
2022-07-23,79
2022-07-30,81
2022-08-06,84
2022-08-13,85
2022-08-20,81
2022-08-27,77
2022-09-03,74
2022-09-10,68
2022-09-17,70
2022-09-24,73
2022-10-01,76
2022-10-08,68
2022-10-15,71
2022-10-22,68
2022-10-29,65
2022-11-05,62
2022-11-12,67
2022-11-19,62
2022-11-26,62
2022-12-03,64
2022-12-10,68
2022-12-17,67
2022-12-24,79
2022-12-31,70
2023-01-07,70
2023-01-14,69
2023-01-21,71
2023-01-28,67
2023-02-04,73
2023-02-11,73
2023-02-18,78
2023-02-25,68
2023-03-04,72
2023-03-11,66
2023-03-18,74
2023-03-25,73
2023-04-01,70
2023-04-08,72
2023-04-15,62
2023-04-22,71
2023-04-29,70
2023-05-06,65
2023-05-13,67
2023-05-20,69
2023-05-27,73
2023-06-03,68
2023-06-10,71
2023-06-17,73
2023-06-24,71
2023-07-01,70
2023-07-08,76
2023-07-15,77
2023-07-22,78
2023-07-29,74
2023-08-05,70
2023-08-12,74
2023-08-19,62
2023-08-26,73
2023-09-02,68
2023-09-09,62
2023-09-16,63
2023-09-23,63
2023-09-30,62
2023-10-07,63
2023-10-14,62
2023-10-21,61
2023-10-28,63
2023-11-04,59
2023-11-11,61
2023-11-18,60
2023-11-25,59
2023-12-02,58
2023-12-09,58
2023-12-16,61
2023-12-23,69
2023-12-30,79
2024-01-06,76
2024-01-13,65
2024-01-20,68
2024-01-27,68
2024-02-03,69
2024-02-10,75
2024-02-17,67
2024-02-24,67
2024-03-02,67
2024-03-09,66
2024-03-16,66
2024-03-23,90
2024-03-30,70
2024-04-06,66
2024-04-13,66
2024-04-20,66
2024-04-27,67
2024-05-04,65
2024-05-11,64
2024-05-18,65
2024-05-25,64
