Search Term,vegan restaurant near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,15
2016-12-03,15
2016-12-10,16
2016-12-17,16
2016-12-24,22
2016-12-31,25
2017-01-07,17
2017-01-14,19
2017-01-21,14
2017-01-28,20
2017-02-04,22
2017-02-11,21
2017-02-18,22
2017-02-25,17
2017-03-04,21
2017-03-11,25
2017-03-18,22
2017-03-25,23
2017-04-01,25
2017-04-08,24
2017-04-15,24
2017-04-22,18
2017-04-29,23
2017-05-06,20
2017-05-13,25
2017-05-20,24
2017-05-27,27
2017-06-03,26
2017-06-10,31
2017-06-17,28
2017-06-24,36
2017-07-01,48
2017-07-08,42
2017-07-15,49
2017-07-22,46
2017-07-29,48
2017-08-05,52
2017-08-12,51
2017-08-19,53
2017-08-26,46
2017-09-02,42
2017-09-09,43
2017-09-16,44
2017-09-23,41
2017-09-30,40
2017-10-07,39
2017-10-14,38
2017-10-21,37
2017-10-28,36
2017-11-04,44
2017-11-11,40
2017-11-18,45
2017-11-25,39
2017-12-02,33
2017-12-09,38
2017-12-16,49
2017-12-23,46
2017-12-30,51
2018-01-06,54
2018-01-13,51
2018-01-20,52
2018-01-27,54
2018-02-03,54
2018-02-10,59
2018-02-17,55
2018-02-24,51
2018-03-03,57
2018-03-10,55
2018-03-17,55
2018-03-24,55
2018-03-31,57
2018-04-07,58
2018-04-14,50
2018-04-21,53
2018-04-28,56
2018-05-05,54
2018-05-12,55
2018-05-19,51
2018-05-26,52
2018-06-02,59
2018-06-09,61
2018-06-16,62
2018-06-23,62
2018-06-30,70
2018-07-07,59
2018-07-14,62
2018-07-21,58
2018-07-28,64
2018-08-04,62
2018-08-11,64
2018-08-18,64
2018-08-25,62
2018-09-01,63
2018-09-08,55
2018-09-15,53
2018-09-22,59
2018-09-29,57
2018-10-06,56
2018-10-13,61
2018-10-20,59
2018-10-27,53
2018-11-03,60
2018-11-10,54
2018-11-17,50
2018-11-24,47
2018-12-01,54
2018-12-08,52
2018-12-15,57
2018-12-22,73
2018-12-29,83
2019-01-05,71
2019-01-12,65
2019-01-19,68
2019-01-26,60
2019-02-02,63
2019-02-09,62
2019-02-16,71
2019-02-23,64
2019-03-02,74
2019-03-09,68
2019-03-16,78
2019-03-23,77
2019-03-30,80
2019-04-06,79
2019-04-13,80
2019-04-20,74
2019-04-27,74
2019-05-04,71
2019-05-11,69
2019-05-18,72
2019-05-25,72
2019-06-01,66
2019-06-08,69
2019-06-15,82
2019-06-22,83
2019-06-29,92
2019-07-06,78
2019-07-13,88
2019-07-20,86
2019-07-27,84
2019-08-03,83
2019-08-10,90
2019-08-17,86
2019-08-24,75
2019-08-31,78
2019-09-07,73
2019-09-14,72
2019-09-21,74
2019-09-28,77
2019-10-05,69
2019-10-12,70
2019-10-19,88
2019-10-26,83
2019-11-02,84
2019-11-09,84
2019-11-16,87
2019-11-23,81
2019-11-30,69
2019-12-07,72
2019-12-14,75
2019-12-21,96
2019-12-28,100
2020-01-04,96
2020-01-11,90
2020-01-18,87
2020-01-25,88
2020-02-01,83
2020-02-08,97
2020-02-15,90
2020-02-22,79
2020-02-29,84
