Search Term,vegetarian restaurants near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,10
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,8
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,0
2013-05-04,0
2013-05-11,6
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,6
2013-06-15,0
2013-06-22,0
2013-06-29,0
2013-07-06,8
2013-07-13,0
2013-07-20,0
2013-07-27,7
2013-08-03,6
2013-08-10,0
2013-08-17,6
2013-08-24,6
2013-08-31,5
2013-09-07,0
2013-09-14,0
2013-09-21,12
2013-09-28,6
2013-10-05,6
2013-10-12,6
2013-10-19,0
2013-10-26,8
2013-11-02,8
2013-11-09,8
2013-11-16,0
2013-11-23,8
2013-11-30,0
2013-12-07,0
2013-12-14,7
2013-12-21,6
2013-12-28,10
2014-01-04,7
2014-01-11,7
2014-01-18,7
2014-01-25,9
2014-02-01,5
2014-02-08,10
2014-02-15,6
2014-02-22,6
2014-03-01,9
2014-03-08,10
2014-03-15,9
2014-03-22,6
2014-03-29,10
2014-04-05,17
2014-04-12,11
2014-04-19,10
2014-04-26,10
2014-05-03,13
2014-05-10,10
2014-05-17,13
2014-05-24,13
2014-05-31,11
2014-06-07,11
2014-06-14,13
2014-06-21,14
2014-06-28,15
2014-07-05,17
2014-07-12,13
2014-07-19,17
2014-07-26,18
2014-08-02,19
2014-08-09,16
2014-08-16,17
2014-08-23,23
2014-08-30,17
2014-09-06,13
2014-09-13,19
2014-09-20,11
2014-09-27,14
2014-10-04,18
2014-10-11,16
2014-10-18,18
2014-10-25,17
2014-11-01,18
2014-11-08,15
2014-11-15,8
2014-11-22,5
2014-11-29,9
2014-12-06,12
2014-12-13,11
2014-12-20,9
2014-12-27,22
2015-01-03,12
2015-01-10,14
2015-01-17,16
2015-01-24,11
2015-01-31,15
2015-02-07,15
2015-02-14,18
2015-02-21,22
2015-02-28,23
2015-03-07,22
2015-03-14,28
2015-03-21,28
2015-03-28,23
2015-04-04,21
2015-04-11,20
2015-04-18,12
2015-04-25,15
2015-05-02,12
2015-05-09,14
2015-05-16,19
2015-05-23,19
2015-05-30,19
2015-06-06,23
2015-06-13,24
2015-06-20,28
2015-06-27,28
2015-07-04,37
2015-07-11,39
2015-07-18,40
2015-07-25,44
2015-08-01,45
2015-08-08,33
2015-08-15,45
2015-08-22,42
2015-08-29,36
2015-09-05,37
2015-09-12,29
2015-09-19,28
2015-09-26,32
2015-10-03,26
2015-10-10,39
2015-10-17,28
2015-10-24,28
2015-10-31,30
2015-11-07,40
2015-11-14,29
2015-11-21,31
2015-11-28,31
2015-12-05,30
2015-12-12,43
2015-12-19,51
2015-12-26,62
2016-01-02,50
2016-01-09,48
2016-01-16,42
2016-01-23,49
2016-01-30,45
2016-02-06,56
2016-02-13,65
2016-02-20,50
2016-02-27,53
2016-03-05,43
2016-03-12,55
2016-03-19,53
2016-03-26,52
2016-04-02,55
2016-04-09,56
2016-04-16,51
2016-04-23,63
2016-04-30,65
2016-05-07,64
2016-05-14,60
2016-05-21,60
2016-05-28,75
2016-06-04,55
2016-06-11,75
2016-06-18,81
2016-06-25,86
2016-07-02,79
2016-07-09,81
2016-07-16,95
2016-07-23,97
2016-07-30,100
2016-08-06,70
2016-08-13,64
2016-08-20,90
2016-08-27,72
2016-09-03,75
2016-09-10,78
2016-09-17,69
2016-09-24,72
2016-10-01,67
2016-10-08,69
2016-10-15,79
2016-10-22,68
2016-10-29,76
2016-11-05,68
2016-11-12,72
2016-11-19,65
2016-11-26,57
2016-12-03,70
2016-12-10,74
2016-12-17,86
2016-12-24,96
2016-12-31,96
